,HEBT:XCB12:CUR,HEBT:YCB12:CUR,HEBT2:XCB2:CUR,HEBT2:YCB2:CUR
0,0.33331989368026904,0.34819963865194337,0.3444096861777776,0.3418734624620645
1,0.32028100537856585,0.33740114707779645,0.34029524388602145,0.3298583499005991
2,0.3133701693994674,0.3306528714588659,0.335941071327216,0.3264303974879493
3,0.30983850221534165,0.325690242238021,0.3307815549633393,0.324202860121816
4,0.3067032856873608,0.3202945175005689,0.32898887899996865,0.32132180117971876
5,0.30386911743465017,0.31681858059931484,0.3274940062003213,0.31845172271782785
6,0.3014629136700146,0.3137918071097352,0.3256912820947849,0.3169205561927655
7,0.29871585725334604,0.3106657456046952,0.3243864747658619,0.31608411935834496
8,0.29639783765805366,0.3071154583563237,0.3233773417031415,0.31596819895363615
9,0.29432545826388695,0.30525728865210316,0.32199425155838807,0.31535451524982955
10,0.29155474707395845,0.30350764334900515,0.3214050808121164,0.31480795414794316
11,0.2898111303010918,0.30182177139111344,0.3209826641563405,0.3143874627783427
12,0.2882586440547153,0.3002964350421202,0.3205244722909027,0.3139955031218157
13,0.28676511193292614,0.2988037600336505,0.3202763806803235,0.313713496440143
14,0.2854198029006723,0.29741504810472974,0.3200062554030542,0.3134226007116312
15,0.2847026118791128,0.2966389243548058,0.31918651311308915,0.3123727382209833
16,0.2826654421790831,0.2955020744799016,0.31882267186086993,0.312616452482502
17,0.2815220534181705,0.29110302072683725,0.3199893392238751,0.31228347943672097
18,0.2805544641710952,0.28868587910596266,0.319291858365214,0.31253797810599704
19,0.27918669511231503,0.2866759619618218,0.3192608782128262,0.31242582063165264
