,train_x,train_y
0,"[8.186173170276714, 38.921683104439694, 0.05107631508147015, -14.157333684934104, -0.2586358135004613, -0.796105806993384]",2006.8359374999998
1,"[0.993222433563496, 17.137837692355614, 28.312599539952604, -6.414665917933739, 0.4308408090902585, 0.9683729462794703]",0.0
2,"[9.216846279110282, 29.539857403779454, -10.342534578775595, -18.913104284638756, -0.2713924463347177, 1.163996493675395]",14.648437499999998
3,"[-12.519880778052316, 19.362836573119374, -21.99391836353631, 8.149743694844316, -0.36590863337788604, 0.189570916403384]",4277.34375
4,"[-9.407888090466512, 13.700119214724431, 18.367527226099117, 9.90146431961297, 0.6181828061176392, -0.32405862715177175]",13183.59375
5,"[-21.297450981277226, 10.269452442090664, -14.171216568679448, 0.857078305066219, 0.06293504901934846, 0.7835675599107124]",58.59374999999999
6,"[20.230268639855005, -8.0147809801395, -13.06307729962177, -10.138863269252685, 0.20115116390226556, 0.8101023905670554]",0.0
7,"[-30.666811541171594, -9.411746138251868, 30.040116066835104, 11.654904630673173, 0.5542875879201253, -0.7515060110510423]",3940.4296875000005
8,"[35.27597576753686, 24.19927940001123, -13.206426434037851, -2.199615886780533, 0.067561445064226, -0.5615097467738687]",2402.34375
9,"[-8.673891100999317, 13.352214808514482, -2.587222645940632, 16.597900922680722, 0.2504462691045458, -0.028942013493400462]",11030.2734375
10,"[7.59731801893461, 31.6366003519946, 2.609135773942894, -0.3966880763525132, 0.5309489671761798, -0.5473461146417861]",8452.1484375
11,"[-21.155159593180638, 19.639925603287132, 30.4138869635818, -15.61950126835676, -0.07774273365731975, -0.41443888547053453]",11821.2890625
12,"[33.654259304913616, 12.611958650683723, -12.261564082100818, 10.703245813670073, -0.05271544488439844, -0.9841530743651437]",5566.40625
13,"[-19.69595090936768, 22.35601940466112, 25.466352434475038, 16.740145185633615, 0.5372501978162587, -0.29132654696351235]",15190.4296875
14,"[-26.292992027039208, 27.58902273992073, 37.77766754058483, 7.368391549383616, 0.866195156197627, -0.23990801688987795]",13110.3515625
15,"[-16.81935724926162, 23.237144362984267, 32.797855802215075, 36.081939811108846, 0.3144188406475856, -0.31651349746048224]",9316.40625
