,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2.6611328125e-07,2.6611328125e-07,2.6611328125e-07,2.6611328125e-07,3.41796875e-09,3.41796875e-09,3.41796875e-09,3.41796875e-09,3.41796875e-09,3.41796875e-09,3.41796875e-09,3.41796875e-09,3.41796875e-09,3.41796875e-09,3.41796875e-09,3.41796875e-09,3.41796875e-09,2.978515625e-09,2.978515625e-09,2.978515625e-09
1,2.978515625e-09,2.978515625e-09,1.91748046875e-09,1.91748046875e-09,1.91748046875e-09,1.91748046875e-09,1.91748046875e-09,1.91748046875e-09,1.91748046875e-09,1.91748046875e-09,1.91748046875e-09,1.91748046875e-09,1.91748046875e-09,1.91748046875e-09,1.91748046875e-09,1.9013671875e-09,1.9013671875e-09,1.9013671875e-09,1.9013671875e-09,1.9013671875e-09
2,2.2558593750000003e-09,2.2558593750000003e-09,2.2558593750000003e-09,2.2558593750000003e-09,2.2558593750000003e-09,2.2558593750000003e-09,2.2558593750000003e-09,2.2558593750000003e-09,2.2558593750000003e-09,2.2558593750000003e-09,2.2558593750000003e-09,2.2558593750000003e-09,2.04638671875e-09,2.04638671875e-09,2.04638671875e-09,2.04638671875e-09,2.04638671875e-09,2.04638671875e-09,2.04638671875e-09,2.04638671875e-09
3,1.5791015625000001e-09,1.5791015625000001e-09,1.5791015625000001e-09,1.5791015625000001e-09,1.5791015625000001e-09,1.5791015625000001e-09,1.5791015625000001e-09,1.5791015625000001e-09,1.5791015625000001e-09,1.5791015625000001e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09
4,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09,1.40185546875e-09,1.40185546875e-09,1.40185546875e-09,1.40185546875e-09,1.40185546875e-09,1.40185546875e-09,1.40185546875e-09,1.40185546875e-09,1.40185546875e-09,1.40185546875e-09,1.40185546875e-09,1.40185546875e-09,1.40185546875e-09
5,1.3857421875e-09,1.3857421875e-09,1.3857421875e-09,1.3857421875e-09,1.016748046875e-08,1.016748046875e-08,1.016748046875e-08,1.016748046875e-08,1.016748046875e-08,1.016748046875e-08,1.016748046875e-08,1.016748046875e-08,1.016748046875e-08,1.016748046875e-08,1.016748046875e-08,1.016748046875e-08,1.016748046875e-08,1.632275390625e-08,1.632275390625e-08,1.632275390625e-08
6,1.632275390625e-08,1.632275390625e-08,1.30517578125e-09,1.30517578125e-09,1.30517578125e-09,1.30517578125e-09,1.30517578125e-09,1.30517578125e-09,1.30517578125e-09,1.30517578125e-09,1.30517578125e-09,1.30517578125e-09,1.30517578125e-09,1.30517578125e-09,1.30517578125e-09,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09
7,3.4643554687500003e-09,3.4643554687500003e-09,3.4643554687500003e-09,3.4643554687500003e-09,3.4643554687500003e-09,3.4643554687500003e-09,3.4643554687500003e-09,3.4643554687500003e-09,3.4643554687500003e-09,3.4643554687500003e-09,3.4643554687500003e-09,3.4643554687500003e-09,3.4643554687500003e-09,3.4160156250000002e-09,3.4160156250000002e-09,3.4160156250000002e-09,3.4160156250000002e-09,3.4160156250000002e-09,3.4160156250000002e-09,3.4160156250000002e-09
8,4.3022460937500004e-09,4.3022460937500004e-09,4.3022460937500004e-09,4.3022460937500004e-09,4.3022460937500004e-09,4.3022460937500004e-09,4.3022460937500004e-09,4.3022460937500004e-09,4.3022460937500004e-09,4.3022460937500004e-09,4.17333984375e-09,4.17333984375e-09,4.17333984375e-09,4.17333984375e-09,4.17333984375e-09,4.17333984375e-09,4.17333984375e-09,4.17333984375e-09,4.17333984375e-09,4.17333984375e-09
9,3.4321289062500004e-09,3.4321289062500004e-09,3.4321289062500004e-09,3.4321289062500004e-09,3.4321289062500004e-09,3.4321289062500004e-09,3.4321289062500004e-09,2.7070312500000003e-09,2.7070312500000003e-09,2.7070312500000003e-09,2.7070312500000003e-09,2.7070312500000003e-09,2.7070312500000003e-09,2.7070312500000003e-09,2.7070312500000003e-09,2.7070312500000003e-09,2.7070312500000003e-09,2.7070312500000003e-09,2.7070312500000003e-09,2.7070312500000003e-09
10,2.75537109375e-09,2.75537109375e-09,2.75537109375e-09,2.75537109375e-09,2.75537109375e-09,2.5942382812500003e-09,2.5942382812500003e-09,2.5942382812500003e-09,2.5942382812500003e-09,2.5942382812500003e-09,2.5942382812500003e-09,2.5942382812500003e-09,2.5942382812500003e-09,2.5942382812500003e-09,2.5942382812500003e-09,2.5942382812500003e-09,2.5942382812500003e-09,2.5942382812500003e-09,2.642578125e-09,2.642578125e-09
11,2.642578125e-09,2.642578125e-09,2.642578125e-09,2.1430664062500003e-09,2.1430664062500003e-09,2.1430664062500003e-09,2.1430664062500003e-09,2.1430664062500003e-09,2.1430664062500003e-09,2.1430664062500003e-09,2.1430664062500003e-09,2.1430664062500003e-09,2.1430664062500003e-09,2.1430664062500003e-09,2.1430664062500003e-09,2.1430664062500003e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09,2.11083984375e-09
12,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09,1.27294921875e-09,1.20849609375e-09,1.20849609375e-09,1.20849609375e-09,1.20849609375e-09,1.20849609375e-09,1.20849609375e-09,1.20849609375e-09
13,4.4150390625e-09,4.4150390625e-09,4.4150390625e-09,4.4150390625e-09,4.4150390625e-09,4.4150390625e-09,4.4150390625e-09,4.4150390625e-09,4.4150390625e-09,4.4150390625e-09,4.4150390625e-09,8.056640625e-11,8.056640625e-11,8.056640625e-11,8.056640625e-11,8.056640625e-11,8.056640625e-11,8.056640625e-11,8.056640625e-11,8.056640625e-11
14,5.3466796875e-10,5.3466796875e-10,5.3466796875e-10,5.3466796875e-10,5.3466796875e-10,5.3466796875e-10,5.3466796875e-10,5.3466796875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10
