,MEBT:Q6:CUR,MEBT:Q7:CUR,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:Q8:CUR,MEBT:Q9:CUR,MEBT:XCB9:CUR,MEBT:YCB9:CUR,MEBT:Q10:CUR,MEBT:Q11:CUR,MEBT:YCB11:CUR,MEBT:Q12:CUR,MEBT:XCB12:CUR,MEBT:Q13:CUR
0,0.1047322224639169,0.4037960933594976,0.4064451904565979,0.11308864818459576,0.43921086509511653,0.4044398571880016,0.4154241053079017,0.3484529389705041,0.44254869602199676,0.39034296624362297,0.3285277042516418,0.40171104671468516,0.401212517576215,0.4133119748792458
1,0.08471430903585633,0.3955631301053718,0.4053538610380701,0.1103698448965523,0.4364442674303358,0.39744324019288224,0.4114674701656939,0.3427133660470768,0.4279826182460168,0.38493962132345927,0.31403095029948214,0.38529823152260717,0.39668103977825014,0.4015126117416633
2,0.16204041400683608,0.3551918589376527,0.3629336700400389,0.141016552849673,0.38387597120920924,0.37591179503808453,0.35511699585516787,0.36338018189167,0.3877170556843318,0.354896279553861,0.05211766140076893,0.3683646535013767,0.36419198406172965,0.38368342598021543
3,0.1648042794750021,0.3551459676923748,0.36379371359291085,0.13990397261675194,0.3827084734995364,0.3791443313286041,0.3544274995562815,0.36157802121953253,0.38708353184431493,0.35432161769799,0.051169552198142364,0.37099793214980853,0.3633850870428122,0.38355213633572305
4,0.15400374047436072,0.36294767084902035,0.27050378157803495,0.19764407663867964,0.38605232450216365,0.24390571222855684,0.3795751565706596,0.35736900775824315,0.3892999856386291,0.32688617222451477,0.3399172702517471,0.36303693282286165,0.28344363875837597,0.3808952382639052
5,0.2617967917737069,0.33070143752638725,0.03842688402661539,0.24658190149178075,0.3544217590193971,0.40228616675059387,0.3505724767835149,0.35676193991064037,0.4078064992745718,0.3514036485831935,0.23798377099948148,0.35684547796732485,0.3747400829413935,0.3697446928541452
6,0.15808445488048395,0.3708357753168582,0.29762049468266305,0.1812084519348101,0.3930616478093706,0.2830253848801752,0.3869050523194251,0.3628648487633364,0.40041679212649006,0.31099988950596247,0.34848957814318043,0.36301579131370276,0.29632394211153007,0.384455061746638
7,0.18904383641755917,0.38343791302362473,0.34534257090081927,0.20549184133289794,0.3930134148006266,0.26707803284250553,0.38791203573664457,0.37427892665358004,0.4133176365286148,0.32633293971238037,0.3548030345568616,0.3651147627890963,0.3392122964061872,0.3901755634982618
8,0.14853882007688987,0.36930175248937047,0.34924310218262394,0.1970410912959603,0.3721042134524401,0.2955603267220106,0.38248991483451417,0.36468125276611585,0.39591539977702633,0.32887431894792424,0.3654268156860253,0.3604124391842005,0.33569439011531144,0.379232301744182
9,0.16952091040581063,0.36583628642527805,0.35621036782442644,0.23010953942907178,0.40072333218425893,0.30842587955360706,0.3815381332470337,0.3766510766089589,0.38463013897028364,0.3449850572082686,0.3705233804863722,0.35457833088141,0.3354070730083923,0.37778739486347385
