,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:XCB9:CUR,MEBT:YCB9:CUR,MEBT:YCB11:CUR,MEBT:XCB12:CUR
0,0.25557616250114057,0.19753114131502658,0.24492324410574132,0.4415199534709195,0.4332031003367315,0.49367652210954693
1,0.3043883931290494,0.2626313667591838,0.32291117477111275,0.4989733388147392,0.476924968790145,0.5311232418289208
2,0.299315778802087,0.25343370374868474,0.3083832629825748,0.4987117367227406,0.4722259087341195,0.5242548362881909
3,0.280996468532438,0.2474209144506881,0.30523387501482735,0.45886432184694803,0.47283518519400414,0.5173305468678945
4,0.24657717668435944,0.25489653614026897,0.2955942477705714,0.44871938435768344,0.45972212266671486,0.48360368992088787
5,0.2529441094858996,0.25820258316981526,0.31422795027507977,0.43652096092152876,0.44799382479918115,0.39469176950092244
6,0.24829214576192776,0.25067928854955673,0.31711386360631477,0.43190769774560034,0.500930557143839,0.4655424427310507
7,0.26875503053970384,0.25804522558906096,0.3376357509349954,0.41095514972928193,0.5083338866517388,0.45337395601687774
8,0.289168041303976,0.25588966819255243,0.34184818405392275,0.40070356579000543,0.5212272777508025,0.46558644554920203
9,0.2959998613460869,0.25875032126665715,0.3326743402871135,0.4056248423367746,0.5244151687014033,0.4865368440816711
10,0.2996437624917665,0.23438595685509178,0.3467923847829253,0.4148117990135428,0.5196018720971551,0.43048267834752696
11,0.2961330983896105,0.23737692250629835,0.3475785630363017,0.4219393590736425,0.520493839002391,0.4339972286213491
12,0.2794168018748947,0.2432638876526517,0.3421634412933617,0.4381872699726375,0.515520622624682,0.4538402706009599
13,0.3215829486613674,0.2332559979355136,0.37234564485472643,0.4340110746911686,0.55776154902007,0.5146184745365483
14,0.3895882954107179,0.24482864535126347,0.38028071118927875,0.4290458107081461,0.4992507193094443,0.3470053966249491
15,0.3792927956665266,0.2530533917814272,0.3624966968899108,0.43353881787075504,0.503197077059545,0.3499266926977501
16,0.4076362214790175,0.2517303727869195,0.34010469128170573,0.4376136514439715,0.5620271782732097,0.3467177694321116
17,0.4196174885826767,0.2507496713939153,0.33650069009512984,0.4413105815053563,0.5910400283080879,0.3404466324427291
18,0.38480969166011947,0.24845139785807274,0.3455913953104941,0.4450725384486854,0.5831879680017428,0.34540950116094704
19,0.3486684739086073,0.25191359841790595,0.34928398343045475,0.4595699435807334,0.5637824821950952,0.3574118683592943
20,0.36621536413398587,0.2501724692854798,0.3503070735624135,0.4520981671216605,0.5807388381434962,0.3585172188160185
21,0.3914254669415891,0.2502416092140689,0.357285438273046,0.4504807825566734,0.5936837460090236,0.351230750948537
22,0.36840013972069596,0.25459670027717823,0.3635169002262795,0.45396241828493167,0.5939632658881949,0.35144429820724726
23,0.3693051650343502,0.25492645113396717,0.36677347248432096,0.4566912891002233,0.60039439033653,0.3502034356560878
24,0.36305040750818374,0.2548918690161378,0.3690793272231142,0.4547499509865339,0.5998289558095198,0.34732000139319685
25,0.37512467344746836,0.2544339368880962,0.3684603285237371,0.4518724418484421,0.6008072077110347,0.34730654814207484
26,0.37298202430589783,0.2537128699359616,0.3724372006618206,0.44851036248861487,0.5978796959756281,0.3436982466826119
27,0.3867021012764833,0.25083323771209914,0.37762190253177713,0.44916483481128955,0.610602149561237,0.3147867335715512
28,0.39136930463762354,0.25336774578124877,0.37735847119880067,0.4522983080477866,0.6025153820010782,0.32783456512980963
29,0.4578575980103533,0.27063514999323107,0.30675745097400864,0.4617474624677313,0.5332923259223337,0.32385763767052295
