,train_x,train_y
0,"[0.0, 0.0, 0.0, 0.0, 30.0, 30.0, 0.0, 0.0, 30.0, 195.24, 166.31]",1.190185546875
1,"[0.4257544405777144, -0.6526282631320292, 36.410582313109266, -50.007792553512914, 24.3835302284761, 21.24, -6.300064819584997, -7.336699666901346, 15.12, 197.85249240842398, 163.7403622348114]",1.77001953125
2,"[0.10600487785463812, 0.8960415868133201, 12.637686978125837, 20.571603760792417, 28.86, 21.24, 15.534364122172317, -31.59687112762315, 15.12, 188.4616344411353, 172.6286567644803]",-1.6174316406250002
3,"[0.056589020004044685, 0.20453635816174692, 9.338787989017618, -29.427715726635526, 26.817949632904792, 21.24, -3.2922616598843812, 2.4374558452524564, 15.12, 200.6488456140199, 162.69214444521967]",-2.227783203125
4,"[0.2968715244531985, 0.3161735320826044, 23.461949132408325, 8.191532618485217, 28.86, 20.572483048034933, -1.418717080046038, -18.269787571865145, 15.12, 191.31494197521084, 159.7678098926409]",1.4648437500000002
5,"[0.6430143183612194, -0.5341292820871446, 14.895199082016005, -5.984016992476359, 28.86, 21.24, -10.180094169908283, 11.116854545722695, 15.12, 192.46305363420706, 156.7623049304714]",2.01416015625
6,"[-0.5429562952609499, 0.22588591560711524, 25.121807401538145, -6.260521370479064, 27.657911965562725, 21.24, 9.455271369877273, 6.72028722047481, 15.12, 201.25967132696766, 160.94847147292535]",19.22607421875
7,"[-0.3295572233505047, -0.6264923760148997, 5.71869690283069, 18.662762814864262, 28.86, 21.24, 0.32240507189145995, 7.384596484139703, 15.12, 189.75259835503164, 157.72628796327396]",0.42724609375000006
8,"[-0.34682539370096477, 1.4485701244564604, -64.62027424779016, -11.266482155233488, 28.86, 21.24, -5.604902380867619, -3.5915320602130656, 15.12, 197.14534025663198, 168.62726039660603]",8.6669921875
9,"[0.4633859979617545, -0.03391007160275571, -0.10429654627771259, -31.232423056850315, 28.86, 21.24, -5.934750381124282, -3.7420191438672763, 15.12, 196.30520400417916, 165.0053407750022]",4.2724609375
10,"[0.47431168199041723, 0.44897652230828544, 33.01108369595444, -6.852796540304561, 28.86, 21.24, -21.60910232932531, -20.56014829717828, 15.12, 197.77726243888063, 164.0931566063157]",1.6479492187499998
11,"[0.42187748908422523, 1.1279330391209514, 48.91593225888822, 1.8152874189380253, 28.86, 21.24, -4.9236969524159875, -5.1179190875431, 15.12, 199.9523950494381, 169.57887114242243]",0.27465820312500006
12,"[-0.771549731777735, 0.7223299534631519, 1.840752753552578, 17.04095073292278, 28.86, 21.24, 9.48236410402017, -15.179694210923774, 15.12, 182.6561465021953, 165.8382093719833]",2.7465820312500004
