,HEBT2:XCB2:CUR,HEBT2:YCB2:CUR,HEBT2:XCB4:CUR,HEBT2:YCB4:CUR,HEBT2:Q5:CUR,HEBT2:Q6:CUR,HEBT2:XCB6:CUR,HEBT2:YCB6:CUR,HEBT2:Q7:CUR
0,0.3447964824448234,0.345849415529217,0.35602636021683864,0.32965959169032655,0.2102791323524074,0.33703013891659434,0.3628819980564657,0.3251104741521155,0.33444954618447087
1,0.3248938523934313,0.33426465659674615,0.3416961231123748,0.3157536904662538,0.27339332188830745,0.33502482758575286,0.3460357748171301,0.3227012356759391,0.33442930665565107
2,0.32348304989132276,0.3292896487838558,0.3392273261979031,0.3153229481433426,0.28067114345632244,0.33490734042699516,0.3442430757480571,0.3223930923966321,0.3250790341697911
3,0.3221445062644783,0.32842918537936444,0.3381561470709836,0.3115738069120838,0.28579298013935667,0.3348180689988415,0.34277563681706613,0.31410633433629875,0.3254693145630731
4,0.3208002509925174,0.32813397960042434,0.3349222419049103,0.3107931669663128,0.2930803706759334,0.3347939531824181,0.3332848210359006,0.31117323293997784,0.32628917791730067
5,0.3196985734376822,0.3276675786897297,0.33251969986721447,0.310618638492409,0.29559473479270126,0.33472938270999714,0.32720601977042935,0.3119567008790543,0.32662334178371516
6,0.3193206732424666,0.326127025089721,0.3321494389176957,0.3064972995380808,0.2661493227859036,0.39822878209995355,0.3242003323312579,0.3003727719106853,0.32289945664183434
7,0.32756078347637396,0.36885374325894127,0.3838790233303049,0.3055843490590037,0.2324048929487082,0.41147034146675976,0.34241402556148964,0.2713493856012365,0.31463390588665424
8,0.37317731511843644,0.3848132705235779,0.37654241500703,0.3511385748086025,0.2601572230869702,0.3389248162998038,0.37885068290395146,0.3005041109796362,0.3308491305478601
9,0.3574685333975685,0.3594019789602634,0.37610899838112183,0.35620583911940046,0.2724611951184837,0.33893585890356936,0.3606179731926834,0.3207569330325611,0.32901584926529337
10,0.0539683840874452,0.4344414885455355,0.37391747634743117,0.42412836687339106,0.3609395004831541,0.2621334669676471,0.404648753715983,0.3819571588019108,0.29240626217653787
11,0.05579464211957067,0.43217483232488996,0.42498132372230524,0.4371678237711754,0.3741458715550421,0.26930877021028843,0.41993063087417287,0.3848202783331843,0.28994592397166635
12,0.06701397145112804,0.2196399921674087,0.429864969826966,0.08775300200891717,0.2945625208475271,0.37475572759496895,0.34948910886440077,0.34321511613502736,0.31754451151372665
13,0.06613302592675635,0.21751470316797003,0.3706191061825994,0.10632482465358493,0.30327047615911984,0.3468212379576894,0.3483731883109584,0.35234873885944223,0.32149703955823666
14,0.09685400316511075,0.285562809336553,0.38297530458679063,0.26492937473727624,0.3268098244247013,0.34823957875011563,0.3270331346956229,0.29740487143220806,0.3256990086373124
15,0.34014260639207783,0.11396459765726924,0.44876055530990655,0.07605690155239724,0.2736462581663446,0.4385580310342112,0.2505588365835193,0.3480321198072553,0.3322037242093796
16,0.33608563507454614,0.11279642347037398,0.4346608283551654,0.07960270044293101,0.27601047211374596,0.4277650452558117,0.24328483010422247,0.3378967076894329,0.33222759546391534
17,0.3141935834382129,0.10740596470288716,0.4647989877914613,0.08975538909804502,0.2997805281109174,0.4516675616077795,0.21848186456115654,0.0818539216912914,0.33407901129001905
18,0.04593193736706168,0.35211952527617124,0.41205501734295624,0.08864375428482814,0.3079504761612486,0.32160126336157013,0.27471817416298433,0.09276093791738486,0.33130555292699204
19,0.047560966686174024,0.3541753170826825,0.42069013783813686,0.09146761133466766,0.31241090984228304,0.2848655092592497,0.2686550451523632,0.09686448962511462,0.33084011923288015
20,0.3078622634024852,0.057004874595314954,0.37398273074930727,0.3819909114274006,0.32795991016784776,0.12645650846593542,0.3704342214466834,0.28074931256266444,0.336407544249814
21,0.04113186963112427,0.35836798111935675,0.38553300867264023,0.09010912577644742,0.33113665308925666,0.37391165486256633,0.06321593053947219,0.11199447557057908,0.32967220903207733
22,0.04033632790975676,0.3679247920287245,0.3789600656936746,0.08943149136407826,0.3344752507099333,0.3824139468068293,0.06197863826411986,0.11091077271389459,0.32970494092464175
23,0.03879892929433287,0.30681781759886534,0.39052385124223177,0.32139995370013336,0.058431446406379664,0.35834607647915456,0.0533117953810824,0.25559950924311214,0.33097710233889505
24,0.03812617485959824,0.31235981473140495,0.3926756134753709,0.32829822200161357,0.057860064550556436,0.37822366548624636,0.0523848058228522,0.25734411363309634,0.330936161077512
25,0.03918222933038263,0.3259848279923371,0.38907714701593227,0.17029615074918936,0.06064553426813206,0.3865473996556379,0.05567042073335973,0.21833312465985696,0.33004526496409836
26,0.03550655106221389,0.3603849593834949,0.39153258460161244,0.1634988842970307,0.05569069046650086,0.35976943559551305,0.05343011574134074,0.29335217348311265,0.33048206191801305
27,0.05790234228991835,0.3693956789199124,0.35982622416638377,0.18014352726411798,0.06604133799810721,0.1235197756578784,0.05836759044622526,0.36641522742876076,0.33125576937358947
28,0.056534852980812525,0.357656045940149,0.36118675680786627,0.18928994666522728,0.06820276608499544,0.15539298102813667,0.06302260840329593,0.34851798062154465,0.33118101207130984
29,0.05465024367765191,0.363109590937375,0.3708918260323129,0.19994004390938203,0.07604423474270851,0.2607501733827231,0.06945015922283576,0.1627955373694604,0.3307073011250797
30,0.06433746249603665,0.3478243304591763,0.3735280130763586,0.21523968860096965,0.05309405155417332,0.09302016863007279,0.05372055908502307,0.18047807065654115,0.33294964003700306
31,0.06922386740687357,0.3041047212793276,0.3125615828159859,0.22330306081700224,0.045184094667559856,0.08106721057210008,0.04844783176909849,0.20539451002179995,0.3338588883762059
32,0.07125292094583817,0.35481894184277657,0.22929210356694046,0.2345765891477953,0.05247183614376502,0.09212740189875737,0.05220987126194006,0.19931931996000668,0.333339257562763
33,0.08500906640049384,0.3829711916014597,0.11839650543537651,0.2206096970052336,0.04196516020616046,0.08152573425468251,0.04383538247691471,0.2083213792341588,0.3341177695657713
34,0.0817671979778909,0.3861909025558517,0.11057126507941675,0.2144127371285107,0.03994443892054316,0.08042683534225022,0.04262450507304654,0.21279432118097313,0.3342303132083675
35,0.2060177353398322,0.40075166705979154,0.1031005196392915,0.21848837113519715,0.03937019536713308,0.07871259924468664,0.03583547334197541,0.22267247251411304,0.33580561862820374
36,0.28368109528202023,0.38086618011509327,0.10107633739252776,0.2172709758444122,0.0385347933306346,0.07902115793453832,0.03476286685167376,0.2165434009621533,0.3345017533996629
37,0.27967992850089635,0.4559778278230293,0.10078073327863699,0.21930178750382293,0.03736676914147243,0.07977613806087139,0.03502406740429646,0.22173180596464823,0.3346334511396948
38,0.365456499012582,0.4865007178442167,0.10010472417847929,0.2149955146760568,0.03787100058039553,0.0795917800041044,0.03425986463534521,0.22271691749556102,0.3344558173020815
39,0.4017146202137121,0.4431572782284561,0.09736083639668817,0.18512460942570536,0.033935930788993145,0.07819056219586011,0.034109248205320866,0.23119161179544703,0.3350421962571865
40,0.19837118111011204,0.4343408678024975,0.1327525912243129,0.28010898116526584,0.04253079256470084,0.06809300586684974,0.04569516521804138,0.06616224155186007,0.3339964875100522
