,HEBT2:XCB2:CUR,HEBT2:YCB2:CUR,HEBT2:XCB4:CUR,HEBT2:YCB4:CUR,HEBT2:Q5:CUR,HEBT2:Q6:CUR,HEBT2:XCB6:CUR,HEBT2:YCB6:CUR,HEBT2:Q7:CUR
0,0.3058355653762598,0.33990607640034665,0.3451622902481324,0.3106705332476186,0.28818334021964176,0.33444249535759685,0.2835920677241264,0.3520728276572045,0.33444249156277545
1,0.3064518022325495,0.3393333118710587,0.3438546972063809,0.3143443173499118,0.29468678322221287,0.3344439630472538,0.2866869795287302,0.3485745018993139,0.33444396317723446
2,0.30555670297264226,0.33899745804900655,0.3432403048893308,0.3146442925981083,0.2945307752013681,0.3344416802117416,0.28610484767923694,0.34733444657624934,0.3344416773231069
3,0.30323646179563535,0.3395519908441801,0.3425440858772122,0.31313433993830175,0.28913573701312967,0.33764857484654426,0.28152634952517336,0.34711236281798163,0.33443104131592827
4,0.5197338889530054,0.4220579124512512,0.5573362931653357,0.5331469491491989,0.028219629887669514,0.4149648065499743,0.5186426305151607,0.6115984231175744,0.3344345192496902
5,0.29440037363952065,0.3525410362395783,0.35441299852733893,0.29805095699642775,0.25034703824006055,0.33517328445403494,0.28348490061020004,0.35415748249054163,0.33444433486126973
6,0.49448390450201885,0.10248208147712368,0.5133064486779542,0.5189791435300183,0.024630220070771845,0.3668100870744106,0.4812370549989343,0.5905383984670962,0.3348341785187837
7,0.5035023473157223,0.11678016702000474,0.5239907102830529,0.5264993821585884,0.023591358767275562,0.3679416074311655,0.4941264676575679,0.6014845398379522,0.33512841516654257
8,0.10894615878878978,0.11194972266438274,0.3512492281283447,0.044893335762969395,0.3725553947057843,0.35934159327340265,0.23972789622879417,0.41870635430424696,0.33455396183086933
9,0.1081168067562139,0.22397087105312613,0.12832944086845727,0.05652097220244561,0.38709645077800225,0.3509267727364389,0.3895854342569405,0.39740961795891244,0.334395873425971
