,MEBT:XCB5:CUR,MEBT:YCB5:CUR,MEBT:Q6:CUR,MEBT:Q7:CUR,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:Q8:CUR,MEBT:Q9:CUR,MEBT:XCB9:CUR,MEBT:YCB9:CUR,MEBT:Q10:CUR,MEBT:Q11:CUR,MEBT:YCB11:CUR,MEBT:Q12:CUR,MEBT:XCB12:CUR,MEBT:Q13:CUR
0,0.08886436623751084,0.42948010580538715,0.1646842036421882,0.38023717991864997,0.44549255220906225,0.29982776238470166,0.464050232568341,0.3878485375758905,0.4248051443124167,0.4789963286230587,0.2781489847303217,0.4180780513337927,0.41356187074508155,0.28604601191622236,0.3368697033157911,0.5384903762739853
1,0.08826618094113715,0.41064296412472584,0.16851809977820117,0.3680479365498243,0.4259773071256303,0.2979200460705522,0.44501293030142175,0.3759133971373895,0.4118248557828694,0.4562840388241831,0.27572893371254215,0.39974493425290053,0.40187842609569663,0.2877742832287763,0.34636469982908086,0.5079847203075664
2,0.0902301983858039,0.40516198441698226,0.17323649553547077,0.36013280792011404,0.4232103752666935,0.28713192230303425,0.4437863371210469,0.3403256640211354,0.400527947521007,0.4502115368093916,0.28347315882703766,0.3912684758098301,0.3923803929437391,0.30420231280117394,0.3532297313804539,0.4351694818746115
3,0.09071124973855535,0.41364328002975154,0.16910824463529153,0.3707399922573877,0.43382077102577354,0.28129461127683664,0.45675406959094356,0.3627896435744091,0.406000074040873,0.46485955727142414,0.281784141261975,0.39505081037640033,0.3924733725916269,0.2961556413741918,0.35017532439603904,0.47924909535872307
4,0.09060053269328418,0.4048981126558298,0.17404389835727838,0.3705666426293577,0.4331642174708426,0.28348511318628933,0.45547710762575744,0.3630950630509045,0.40658180954372364,0.4346385644391084,0.29008274457655797,0.39334052142588505,0.3814433413319118,0.3006076631887919,0.35052159143938766,0.48128978726077515
5,0.08973519855632106,0.4070181524239008,0.17134905633848316,0.37182285688049527,0.43821476888350724,0.27807061165775365,0.4690567353564482,0.37377327579064945,0.40631336938071994,0.4462783924236465,0.28612907174776275,0.3961826888849243,0.38672001512508775,0.2991755483738004,0.34748528475773044,0.472648714308041
6,0.13657031589466764,0.3412763629911732,0.34437842396174934,0.3287538677221728,0.3891920046241165,0.36067308592082153,0.2710051991368406,0.3575034412419041,0.4097285411071141,0.3105632984141477,0.29026335785879587,0.3953607518967505,0.39676327401760497,0.35196402080516404,0.37951047111992164,0.3377469765892924
7,0.15448751943064848,0.32267469181972824,0.35961822590312664,0.38981970020778883,0.41637963957021484,0.3481991059497323,0.2852476831692136,0.3946224912898062,0.4507946750186396,0.2886237605743977,0.34506129107476174,0.4338044831090884,0.4654262326495333,0.4074303218810795,0.4383844055117704,0.3787254579480434
8,0.1515699206159163,0.3151245876566491,0.363915033882844,0.39693259945071885,0.4200359454069125,0.44070968673451005,0.28771277346267427,0.40431680728505165,0.4591826682455077,0.29474796290552685,0.35720585059394294,0.4426854479374253,0.47640564785236494,0.4109836655579679,0.45179214121164357,0.37311761712187913
9,0.31398393312794104,0.4262100090734274,0.32546495956914884,0.41162468281379516,0.37048188153712824,0.48844777944298096,0.13144378865375392,0.4034037821025649,0.4343942786396725,0.46138723890027983,0.34702185712187616,0.380432397877754,0.4254818918982873,0.45483329427134883,0.3431375187663059,0.3993684779312533
