,0,1
0,5.50048828125e-10,6.459353786778587e-13
1,5.469665527343749e-10,3.3838751535624617e-12
2,3.0364990234375004e-10,4.037096116736754e-12
3,1.6479492187500002e-12,3.811644286131835e-13
4,2.1057128906250003e-12,2.263244167204487e-13
5,4.732666015625e-10,4.2759472383147145e-12
6,5.3717041015625e-10,2.7776026008258608e-12
7,2.44140625e-12,0.0
8,6.5673828125e-11,1.810595333763588e-12
9,5.3692626953125e-10,1.4695029864921747e-11
10,5.723876953125e-10,2.114319833458261e-13
11,4.6368408203125e-10,2.127493293204767e-12
12,3.52386474609375e-10,4.163720659034077e-12
13,2.13623046875e-12,2.363881436894175e-13
14,5.54779052734375e-10,1.2111288350210106e-12
15,5.350036621093751e-10,5.507704246755787e-11
