,MEBT:Q6:CUR,MEBT:Q7:CUR,MEBT:Q8:CUR,MEBT:Q9:CUR,MEBT:Q10:CUR,MEBT:Q11:CUR,MEBT:Q12:CUR,MEBT:Q13:CUR
0,0.27734662123789156,0.3635146189887542,0.20825281950201613,0.32439730192958693,0.36821375284532376,0.34814902833074585,0.37888709233596746,0.32248690467405183
1,0.2517339582778312,0.35249312565933655,0.17827888790321952,0.2799076084276404,0.3250987848530016,0.3167573882093288,0.35852300229552636,0.3470203375402864
2,0.30779343616256244,0.3429781638880113,0.18673523614338902,0.3986341190000566,0.3470983074540729,0.349556279952027,0.14608472837428094,0.36032044503954264
3,0.3072239930361893,0.3496857837979768,0.2226550783526485,0.3522293285414927,0.3519510040920128,0.3045368103195804,0.14754863143511893,0.3513441120511769
4,0.2760654366892965,0.39249233119917915,0.2230492719501709,0.37894898816768513,0.42082218351834205,0.29945344573361576,0.14239849355313022,0.36593027390902566
5,0.38523572217777663,0.3699925773391433,0.3147513936873103,0.23399321541056256,0.24890718067526318,0.3621707346628717,0.24064856510160243,0.3247384646525324
6,0.4326976887949844,0.34932980203595543,0.2835554800017209,0.31585084872309255,0.4074397300159029,0.2695463869824134,0.2105115172789502,0.46582589772277244
7,0.4684808585439395,0.42722500854323436,0.3153868682406953,0.43613840557628436,0.49847471334287546,0.3505256218625101,0.2697402637375096,0.5101859430057548
8,0.46533725548230087,0.40282007459561986,0.3074443664980173,0.4177174975999958,0.4986233606137846,0.33839133452625436,0.22538667424730618,0.49300614246881524
9,0.46056137594480584,0.42064375575471363,0.18723508657590365,0.3912180897770475,0.4966926746163136,0.3353957162323085,0.263872776330831,0.5131449951352101
10,0.45450065474193985,0.40482973682187917,0.18600052486023466,0.3738005247890047,0.47740312338354984,0.3405176686951311,0.2745314181505496,0.5044472443770213
11,0.46102634900473716,0.4168427808899961,0.18927120273242723,0.423190759131143,0.49867435439773533,0.3295314716065944,0.252984716031947,0.5824830588473546
12,0.23602035680446412,0.4266978750257759,0.20562362697745012,0.4081576582931084,0.42498108896448067,0.32576722234128186,0.26462049594101295,0.582706033889413
13,0.30089279036751065,0.4127452537317471,0.19058624735842777,0.4147932319598099,0.49214105892540816,0.3504796732750204,0.2785740397657582,0.6163684951617829
14,0.1723481999614746,0.4119256165868347,0.36991449297025,0.37885860085565154,0.45664788610944773,0.3196083593699173,0.22412019412564865,0.5299249807237962
15,0.19081382659901172,0.3646038234201498,0.2794634075045761,0.11951622613679853,0.3624215013564528,0.3073849859222775,0.33603266587267927,0.48708582635130715
16,0.31439301917842616,0.39940955309386983,0.30662224525400245,0.37997406603243433,0.1569388477547415,0.39083339975399956,0.3031022003954117,0.5299810382440394
17,0.4047817587930615,0.37140477758646673,0.29172232355240657,0.21236349365607107,0.32726870613800474,0.3799458923857593,0.3732770567505579,0.513993758925583
18,0.3839377420223855,0.3955153903245213,0.2850335057324785,0.2097250265874285,0.2949228598091019,0.3768182366792001,0.38694747720390427,0.5400012348812804
19,0.3608358786871989,0.39761924062627396,0.2860103530272409,0.20191101893424745,0.25453709334200214,0.3701023061570156,0.4075600692428268,0.5485895486274257
