,MEBT:Q8:CUR,MEBT:Q9:CUR,MEBT:XCB9:CUR,MEBT:YCB9:CUR,MEBT:Q10:CUR,MEBT:Q11:CUR,MEBT:YCB11:CUR,MEBT:Q12:CUR,MEBT:XCB12:CUR,MEBT:Q13:CUR,HEBT:XCB0:CUR,HEBT:YCB0:CUR,HEBT:XCB2:CUR,HEBT:YCB2:CUR
0,0.0609467934686433,0.6916951134141387,0.9930031997400859,0.7880732279900082,0.6869901871815091,0.877993854409491,0.25540401009478925,0.8311839034234257,0.8619342923942518,0.8618243450406243,0.6929619444104066,1.0426250403621902,0.6102849336015305,0.9609933334381682
1,0.10616478733499528,0.41228182968367677,0.4154961308265832,0.4049362115838345,0.3600946184453669,0.37661007247625977,0.3269531450715628,0.3603075567862615,0.3619269189240641,0.42061829344618484,0.35998085231745364,0.4418795457032782,0.29331824143265645,0.4278574031902096
2,0.10016102095059443,0.49249344603336276,0.4791083239128896,0.45626182730606885,0.4972893203266038,0.4966489810073885,0.46041249216279356,0.4792702485765279,0.4439253204654451,0.503313128285638,0.46800294129667674,0.5380771840377303,0.05638592362810183,0.5132637421283849
3,0.09778640037760113,0.5063135071926621,0.49514766429935486,0.4688948481647977,0.5129863242579671,0.5109983208350788,0.47825058387125563,0.493244414709618,0.4568331349615049,0.5192467238224563,0.4822660723303126,0.5552526461576434,0.05468163741581826,0.528498712297035
4,0.21575571490405612,0.48008080685255594,0.49830167791776636,0.4345549123748605,0.4468833713567836,0.43037715332752574,0.03136173036571672,0.4787777947784321,0.37884704043937606,0.2298838392081023,0.40376511443601504,0.5275245227661011,0.31470088114023465,0.51205790490226
5,0.0114615311896019,0.6166353591509506,0.6651930418592163,0.5785900819427485,0.6112622470820354,0.6602666311319534,0.6714176763272381,0.6472214251925207,0.627001683707091,0.6777864748392802,0.5995464880902336,0.6602779074162106,0.6381773368295629,0.6832806665657893
6,0.00988473236532643,0.6832042444601966,0.7440177994176621,0.6226707069191018,0.6794091304031189,0.7417390649398043,0.7583417978505116,0.7293120793888661,0.694742779756656,0.7578851112705857,0.6610601207654981,0.7351497475267803,0.7165415287462646,0.7642353923464461
7,0.010425928258481093,0.6435977428679868,0.6755260609753708,0.6138191291552109,0.6290350580596588,0.6901960336480075,0.6909205896162227,0.6744170620148925,0.6404024962786016,0.6970817325273542,0.625333250455677,0.6893846519367024,0.6674635197786973,0.6937692803011511
8,0.009766077060920206,0.7020796084448797,0.7384311862091868,0.6664463150668468,0.6840525353814675,0.7558208702954778,0.7575064237106879,0.7397227548386462,0.694263409408375,0.7613724137660308,0.683060608863658,0.7521804030941381,0.7281982018804035,0.7547989047408747
9,0.009475427498822093,0.6187359436432374,0.634315142254959,0.5808715760445066,0.5948224207470711,0.6613731863177195,0.6557314420758807,0.6459323172894955,0.5955568084944651,0.6632441106899979,0.5951394751893947,0.6547029472746277,0.6343134903504217,0.6436070081716933
10,0.016934185975221897,0.57942134695681,0.5724883918472683,0.547614745775501,0.48527197541631717,0.6254016537066212,0.5554704515472599,0.5372156678411316,0.06101541884489841,0.5934883845374803,0.5371196053554907,0.5955351774734814,0.5759769789866827,0.592159390769974
11,0.017654473515819804,0.6305485432060243,0.6375049607961156,0.6066064388287975,0.5785729723021348,0.6788502257724444,0.6406452835050596,0.6378421343272742,0.6362082981317023,0.6960843328996547,0.621050406440417,0.6714720277143944,0.6344654139038945,0.06697920590151386
12,0.017202052410686904,0.5917529555592533,0.5852351033345943,0.5580324342512909,0.4891317177285538,0.6397762920090787,0.5638546909934501,0.5477265226520887,0.06054799637269495,0.6060989424320374,0.5471724280876518,0.6063848636602766,0.5875230519768491,0.603843209845458
13,0.07986751748100114,0.63779834931641,0.6492190247911295,0.6277210299009442,0.5826609798218836,0.676257575466369,0.5627800672366227,0.23528608686323405,0.05240920859237449,0.6829221691197397,0.6400429257078246,0.7033783595523273,0.25789703278260084,0.6537721414220837
14,0.018235097278870394,0.5993981961149817,0.600207241383948,0.5669184071152955,0.491512181652097,0.6502278064530024,0.5648342449695893,0.5433080921481115,0.05993825325579632,0.6141126288146551,0.5578493400124911,0.6160552672866738,0.595927110311176,0.6137709203075937
15,0.02416265324600253,0.6193411146818154,0.6226828230687582,0.07451469689941478,0.26315602350694944,0.6865456214888341,0.6301527914544724,0.6132893478198358,0.6242811045471224,0.6825500573281901,0.6172465205801788,0.6475369948095208,0.585262832126418,0.6749588589163988
16,0.02302065166470662,0.5279178456293777,0.4946106114334379,0.12989720427147183,0.06102360541134734,0.5252975113909134,0.5558890796496908,0.4982215919677271,0.5363019093044071,0.5768275642303343,0.5118975142053079,0.5781587403870101,0.560841798532679,0.5667425022969648
17,0.023116629984798652,0.5198714531585684,0.47215101046130353,0.12182015299854483,0.06650645367016945,0.495776357636348,0.5501459559761321,0.48807003809665395,0.523135422862671,0.5688478178261456,0.5007597251978815,0.5624786362983694,0.5506701708844722,0.5529070187223442
18,0.023137818769252517,0.5177749090045352,0.47109558170248267,0.11896788134711234,0.06508814565536719,0.4879504787373652,0.547432344983625,0.4879259907546447,0.5259206949700962,0.5669991367021523,0.503501756197523,0.5625429613325696,0.5516624544490887,0.5545435612981315
19,0.02318649038447897,0.5176836802253182,0.46849438003945243,0.12353631887227723,0.06787005008379868,0.4959676090955829,0.5479971897467701,0.4837709138077498,0.5216371413233256,0.5673114410047584,0.4954234629633554,0.5581156039371138,0.5423482728483904,0.5489018892146599
20,0.02041224740031615,0.39318406491222885,0.4505846879344979,0.43168728776628634,0.409769048211576,0.10974718601245387,0.42463305143948255,0.42392322456325154,0.4450249826261128,0.4663372322608653,0.4523222364310671,0.49126692590432036,0.4423874771506417,0.03512795097729703
21,0.42810626220358855,0.5034495850413494,0.5492189826095779,0.5369808009297322,0.5234223803499936,0.5385315387281189,0.510700746178139,0.5177171401415237,0.04591438931868052,0.5568045465068971,0.5214165941595653,0.5833204743336149,0.06165539992779442,0.5233781286767971
22,0.01615523101710287,0.36175933567712437,0.43421835265900155,0.4541910816176943,0.415584754601539,0.4528770346806932,0.4473920240253857,0.36457812517088606,0.4283000118477083,0.4390272348124378,0.42909418637396696,0.45524899148652387,0.41476904061032327,0.04304110979721089
23,0.016450336935781122,0.35496648259912694,0.43408919223757136,0.4521491621548647,0.4100531290494447,0.4564084874109909,0.44452583964112546,0.3505526364675095,0.4234577028963416,0.4300182092703337,0.42639617266603325,0.44951737146028725,0.4085765210289899,0.04543194361684706
24,0.016333217024983845,0.3420751713873674,0.4271004995913902,0.44828667754291085,0.405310004320086,0.4477962242529647,0.4400581898278052,0.3376144895354352,0.42061065649385965,0.4252790400025499,0.42212442869217154,0.44315286895451506,0.40113559141096944,0.04477685264376858
25,0.016244095279853998,0.32711213609014583,0.42092606639925767,0.44582392645911806,0.4004539385833762,0.43948597669545497,0.4362961007173765,0.32444859230634104,0.4178915956880182,0.42108252355259834,0.41833678721155193,0.43762120966652296,0.39627834093509523,0.044250268500487806
26,0.01617309341760706,0.30896476042077814,0.4140760446086009,0.44379298245833976,0.3953412360014005,0.43115945938965494,0.4320365024299415,0.30653272742650917,0.41511844138708853,0.4163033138944984,0.4147627926038312,0.4322411262566044,0.3935781296129494,0.04383752019706319
27,0.015509140848305732,0.024629538120367535,0.3399717619076701,0.40803531070639043,0.3523781453074367,0.32977702927252256,0.33080811119942294,0.05232530781980587,0.36418336014294456,0.3526141955673445,0.37733345200872975,0.403929925530551,0.3682988657531498,0.03910549187374976
28,0.015426129784552538,0.024552855430995443,0.3318059733337222,0.41004098545228385,0.35364187980158085,0.3278902125905895,0.31678010152128105,0.05485425259130853,0.36587740089635984,0.35275278544664734,0.37956823062902034,0.402955367522262,0.37484156333553237,0.03913411593193439
29,0.015270417523475546,0.02421577669412046,0.3388320856350938,0.40885358325482946,0.34399069869618826,0.3366371835509296,0.3351395423329966,0.05895468238109709,0.36485000074001284,0.3550809116179628,0.3662512334402987,0.40169121400745944,0.3770005029935283,0.039254185384710455
30,0.011776920178958813,0.017397635908800963,0.17977643446785907,0.28519919421777207,0.272939348069126,0.3769879074083594,0.28629784352199034,0.3566489523293654,0.3680929318510726,0.3414361132283358,0.30104731265267065,0.40973151038478844,0.38100591476871515,0.03453628111596349
31,0.014337906996840224,0.021558835763439095,0.36339058580321193,0.440746636891467,0.37456481039151285,0.3652998495627363,0.3661335985355133,0.36231216685646933,0.3761471515285805,0.39414988028363046,0.3796016541231962,0.4128222135739935,0.3640329134406592,0.04001057144044557
32,0.01432956368440027,0.02156897085375191,0.3630957691080901,0.4428064717376438,0.37371114239045905,0.3650195046725667,0.3638326102855417,0.36242532964147195,0.3752670595198258,0.39274350272767244,0.3772571222476475,0.41208200545522394,0.3626261058560726,0.040017355347322356
33,0.014362988978546305,0.021464608346938526,0.3697502986231086,0.4432402274212058,0.37465729352797084,0.37179755652862495,0.3727043171346555,0.36622064816143823,0.37667150069671534,0.39352990029937773,0.37685761628108966,0.41224021328027677,0.36770596684120216,0.039928022311157184
34,0.014371677149524528,0.021356155292142586,0.3763734972980697,0.4419408946048176,0.378501214052851,0.37266638343225067,0.37567387452320644,0.36255733455971295,0.3791981945162769,0.3971687381371736,0.38139468921406416,0.42394049715367454,0.37493952724641966,0.039855800193803144
35,0.014348474022335366,0.02125966091946077,0.3761170443834937,0.4441636210414206,0.38660264029708286,0.37275127140689174,0.37532910818226906,0.36555886292144474,0.3863997087015247,0.40369738202455974,0.3851870104885389,0.424167928014206,0.38325204889268943,0.03971981997502652
36,0.014349996418115882,0.02117146483495618,0.3731245352285548,0.4506734887495699,0.38773795682984435,0.37461739411109124,0.37761886539130707,0.37437576345938656,0.3945145387212331,0.40522144029241547,0.3886399848894742,0.4270704334607722,0.3838690964202432,0.03963979845299382
37,0.01436775522596869,0.02110104963948683,0.377178401087038,0.4523925075245395,0.39174514759624235,0.37507501121470943,0.37769387840633145,0.38270152930765333,0.40213417865998413,0.4128977482482168,0.39031364016745657,0.43187973730977763,0.37966639161607346,0.03955661102971721
38,0.014354042690909658,0.021013438173680645,0.37810462103313625,0.45834821641277934,0.39212726774115714,0.3802308451659555,0.38315016908143745,0.3825655978468721,0.4189045287492494,0.4263146996593975,0.3924236427852139,0.4386649103516472,0.3822256213044833,0.039463588343581664
39,0.014322034886469576,0.020950041923317266,0.37946791412062775,0.46204734842424844,0.39841331720552287,0.3763885774696189,0.3882993867221374,0.3853799638740486,0.42740057168898327,0.43305061324735994,0.4032449476816325,0.44251504837411154,0.38594679212828364,0.039333698868513046
40,0.014289064422652134,0.020953020428354886,0.38282909722445424,0.4526202194558161,0.39765404299911605,0.37205199209023265,0.3883029423127898,0.3090929733944,0.4273686630168027,0.4284338547835243,0.39409305288736474,0.44888065829602564,0.38946344711982134,0.03937693410810229
41,0.014277408597963533,0.02088142649955552,0.3890467250053986,0.4490207806857192,0.39897857005728316,0.3715526034327158,0.39034676373250143,0.29295636422504673,0.42576289390533745,0.4311234347237973,0.3916901488924103,0.45358423831546396,0.3917176164018382,0.039243465130188594
42,0.014251003647743208,0.02091065695275044,0.38704398553516484,0.458056533994221,0.40000067814222434,0.3768487857670396,0.39245379503438427,0.2949081044487504,0.4275754381920809,0.4331450617350246,0.3901758911615466,0.4511383056092919,0.391623527522616,0.03925728870537028
43,0.014311612720972455,0.020761676894002906,0.3915389330204633,0.4522785381326814,0.3980435646703891,0.3771789288817251,0.38637543075193526,0.2903643644868944,0.430649787176078,0.4292303725781849,0.39409116788542375,0.4534745184578645,0.3849564101034202,0.03917101786441427
44,0.01430556000983799,0.02077553048587147,0.3842250783874443,0.459588881782127,0.40312468596071027,0.37806540920892234,0.3911881943101024,0.29259365116836694,0.42792844280941944,0.4284971647224955,0.39396722869213907,0.4531921730440575,0.3891889272350856,0.03917253339636324
45,0.014171437183538964,0.020698119849187836,0.38746496865426,0.45448773650042446,0.40270161895114,0.38064360458678526,0.39136531612801684,0.2956876900952181,0.43464970296099015,0.43085477681632,0.3893352987006658,0.45418902653793575,0.39256025552589313,0.03907422197300678
46,0.014199650430044987,0.02054672866312243,0.3897253094502894,0.44906199804319247,0.4058687240084575,0.3891267296041367,0.4011027043088096,0.29236433402187384,0.43354472759453966,0.4364649439073043,0.391272543297317,0.4559073511541194,0.3947229465517892,0.03881499220155092
47,0.014208677664227561,0.020565699436327238,0.39430249363738845,0.45287584586253565,0.4061505554882837,0.3855717407828501,0.3935530242680695,0.2909460153250813,0.43756316244423976,0.43775203238299365,0.3956780386443647,0.4559457345852473,0.39726210546605684,0.03884519496214555
48,0.014188612401193776,0.02056497786243033,0.3907135253905973,0.4532741253111342,0.4065719758791207,0.38531352856957324,0.40057574945452107,0.29035920164997825,0.4342536054927217,0.4352205924159834,0.39370756373028987,0.45484389882554643,0.39336234099371103,0.038830084493002584
49,0.014182400028394902,0.020569773401790465,0.3900849028023547,0.45304018107304866,0.39805525649821205,0.3885662599836108,0.3837702248043529,0.289380022600882,0.4300883250757173,0.4293753557056949,0.3872449512984807,0.4594252467697697,0.38217376894701116,0.038824080980339126
50,0.014170725606146706,0.020563605160513452,0.3878950727076055,0.45396147489967026,0.4053805874589316,0.387986317101515,0.4011001008332819,0.29193575053404014,0.4337018423454454,0.43623284727094547,0.3934790953070217,0.4549859495981007,0.3882219677892929,0.03880748382496379
51,0.014202348950045095,0.02046941723215329,0.3889821812254952,0.4589798791119407,0.39869017219836916,0.3921389415869171,0.38635426297660225,0.2928218845652944,0.44385296076088193,0.44538166500988957,0.3978479816997555,0.4571348871551322,0.3792348036079988,0.03878600166109064
52,0.014161338618994032,0.02030080288579359,0.391434105852233,0.4600675715469221,0.4059766236191004,0.39043197854253137,0.3920383285657877,0.29853022782232386,0.4405858275607903,0.4531930762836315,0.3841776134476849,0.461031380126829,0.3772982602909087,0.03874307133274835
53,0.014069636202701203,0.020116650830816304,0.38071981882212774,0.4516011288704081,0.42174761208848605,0.37500361603096377,0.3896601596884233,0.30453950975845123,0.45463989413861716,0.4526526097772946,0.390671651922218,0.4585961012521018,0.37734034769931896,0.03850354663275893
54,0.013993527539337546,0.02003290128890107,0.37755495882023676,0.4613684708888425,0.40347493412872365,0.3763863216294667,0.3718209161684199,0.2851843110497826,0.46235977913002296,0.46092833873221006,0.38855549383213867,0.47036828365361366,0.37884918069493706,0.038333007857888096
