,0,1
0,3.5095214843749997e-09,2.036919750484038e-09
1,9.59228515625e-10,7.49755859375e-10
2,7.178955078125e-10,3.635649649943241e-10
3,7.694091796875001e-10,4.674761151775865e-10
4,1.0052490234374999e-10,1.4102696877711213e-10
5,1.715087890625e-10,1.1205895117327933e-11
6,4.2608642578125e-10,4.4417332199241555e-10
7,7.895507812500001e-10,7.250976562500001e-10
8,4.8980712890625e-11,7.0160569183339095e-12
9,1.92132568359375e-09,4.0715555971685705e-09
10,2.87841796875e-10,7.16589125792785e-11
11,1.67724609375e-10,1.2292183471849708e-11
12,6.12548828125e-10,3.86962890625e-10
13,1.1737060546875e-10,5.129622718060361e-11
14,5.676269531249999e-10,1.8817889965400984e-10
15,2.75982666015625e-09,4.6573555641121735e-09
16,4.888916015625e-11,2.308509050548577e-11
17,5.7373046874999994e-11,2.9067092040504535e-11
18,7.156982421875001e-10,4.2096341510003454e-10
19,4.3301391601562503e-10,1.017844214309108e-09
20,4.676269531250001e-09,7.653781726552726e-09
21,1.050384521484375e-08,6.721835176597327e-10
22,8.670959472656251e-10,6.794432764467935e-10
23,5.938720703125e-11,2.127493293204755e-12
24,4.04052734375e-11,1.124571718709772e-11
25,1.3101196289062498e-10,1.3340755001461415e-12
26,4.3914794921875e-11,6.789732501613462e-13
27,6.01806640625e-10,3.97705078125e-10
28,1.0408172607421875e-08,1.5220543348866895e-08
29,3.1585693359375e-11,1.5789801999780985e-11
30,1.651611328125e-10,2.286986571679101e-12
31,3.1704711914062505e-10,4.601175391926722e-10
32,3.80072021484375e-09,6.234891242688225e-10
33,2.2258483886718752e-08,1.3846435516607635e-08
34,1.95343017578125e-08,3.8631014839946155e-08
35,4.39453125e-11,9.147946286716404e-12
36,2.972412109375e-11,1.8201887064085152e-11
37,5.047607421875e-11,6.297869942109315e-12
38,6.99981689453125e-10,4.4427483002224084e-10
39,1.0002136230468751e-09,2.56354646696418e-09
40,1.519073486328125e-09,1.081554066189908e-09
41,5.767822265624999e-11,1.2055795328160294e-11
42,5.239868164062501e-11,2.010473866134897e-11
43,7.71484375e-11,2.790902180164695e-11
44,2.9449462890625e-11,1.7636282398997938e-11
45,2.6403808593750004e-10,2.1777494284618453e-11
46,5.00457763671875e-10,4.401242186466395e-10
47,6.968994140625e-10,7.332760217245731e-10
48,8.32244873046875e-10,3.481937055381431e-10
49,2.105224609375e-09,7.972840188804857e-09
50,4.38232421875e-10,3.7841442475659027e-10
51,4.04443359375e-09,2.9003906250000004e-09
52,4.632568359375001e-10,5.148533769555514e-10
53,8.22357177734375e-10,3.68776584683255e-10
54,1.8353271484375e-10,5.267598310183675e-10
55,5.8837890625e-11,1.8105953337635938e-12
56,3.1762695312500003e-10,2.6538085937500003e-10
57,2.499755859375e-09,1.1620841143771766e-09
58,2.1219177246093753e-09,6.603673725723405e-10
59,4.3581481933593755e-08,2.810596452047772e-08
60,3.3538818359375e-06,8.881611456820832e-08
61,4.130859374999999e-06,1.691455866766486e-08
62,2.15972900390625e-06,5.103114885027008e-07
63,1.409912109375e-06,8.245847350486592e-08
64,3.0932617187499997e-06,2.7099609374999997e-07
65,2.0843505859375e-06,1.4291320253248062e-06
66,8.858947753906249e-07,2.365125279544803e-07
67,1.8450927734375e-06,7.116351110931775e-07
68,3.4698486328125e-06,3.16854183408629e-08
69,2.51068115234375e-06,6.676570293253236e-07
70,3.1359863281249997e-06,8.746361316508447e-07
71,4.014892578125e-06,1.480023883420648e-08
72,4.1336059570312505e-06,8.576199643796643e-08
73,4.23980712890625e-06,1.300134790291805e-08
74,4.0966796875e-06,0.0
75,4.2742919921875005e-06,6.656750566169982e-08
76,4.330749511718749e-06,1.6955803690294463e-08
77,4.349365234374999e-06,2.114319833458016e-09
78,4.3859863281250004e-06,2.114319833458016e-09
79,4.42138671875e-06,2.6855468750000176e-08
80,4.393310546874999e-06,3.171479750187171e-08
81,4.376220703124999e-06,2.1143198334580162e-09
82,4.432373046875001e-06,9.689030680168204e-09
83,4.514770507812499e-06,2.6002695805835892e-08
84,4.539794921875e-06,4.727762873788363e-09
85,4.416503906249999e-06,5.3432784736912414e-08
86,4.5208740234375e-06,9.50562550225885e-08
87,4.62982177734375e-06,7.568113261497366e-09
88,4.68048095703125e-06,2.422257670041946e-09
89,4.7052001953125e-06,3.1685418340862704e-08
90,4.453125e-06,0.0
91,4.615173339843749e-06,9.279301085538411e-08
92,4.697265625e-06,0.0
93,4.611816406249999e-06,2.441406250000324e-09
94,4.6984863281249996e-06,4.8629356169536205e-08
95,4.706726074218749e-06,1.1819407184470394e-09
96,4.71832275390625e-06,2.263244167204395e-09
97,4.694824218749999e-06,4.228639666916399e-09
98,4.76318359375e-06,7.3242187499997016e-09
99,4.77294921875e-06,9.455525747576725e-09
100,4.753723144531251e-06,3.633386505063045e-08
101,4.766845703125e-06,1.0571599167290446e-08
102,4.774475097656249e-06,1.5842709170431547e-08
103,4.838867187499999e-06,1.691455866766486e-08
104,4.80712890625e-06,4.727762873788363e-08
105,4.8785400390625e-06,7.091644310682647e-09
106,1.8286132812499998e-06,2.3544259111465985e-06
107,4.72442626953125e-10,4.6483124688106837e-10
108,4.46746826171875e-06,1.174221074602639e-07
109,4.6374511718749995e-06,1.065793374818501e-07
110,4.279785156249999e-06,4.6515036336078554e-08
111,4.71923828125e-06,9.293391753258919e-08
112,4.798583984375e-06,1.0571599167290446e-08
113,4.664001464843749e-06,8.826652252097494e-08
114,4.691162109375e-06,2.748615783495531e-08
115,4.79339599609375e-06,4.602289573079866e-08
116,4.80224609375e-06,2.1972656249999952e-08
117,4.658203125e-06,1.8911051495153454e-08
118,4.55963134765625e-06,8.962353379155579e-08
119,4.68902587890625e-06,5.858659700601631e-08
120,4.8199462890625e-06,1.6148384466946304e-09
121,4.6679687499999995e-06,1.611328124999998e-07
122,3.681640625e-06,2.2693261794184081e-07
123,3.338623046875e-06,1.2498849577416951e-06
124,4.315185546875001e-06,3.197380124455499e-07
125,4.00787353515625e-06,3.824882642575584e-07
126,4.3890380859375e-06,2.0831415962361603e-07
127,4.47906494140625e-06,1.235351411721443e-07
128,4.72412109375e-06,1.733742263435643e-07
129,4.453125e-06,5.8593750000000154e-08
130,4.8046875e-06,3.41796875000003e-08
131,4.620361328124999e-06,1.5390060336990512e-07
132,4.8602294921875e-06,4.526488334409182e-09
133,4.88311767578125e-06,6.789732501613577e-09
134,4.5019531249999995e-06,3.2148787541760786e-07
135,4.6679687499999995e-06,8.45727933383243e-09
136,4.88555908203125e-06,8.01578915299651e-08
137,4.95361328125e-06,1.3702358594142757e-08
138,4.1009521484375e-06,2.9597394124713375e-07
139,4.86480712890625e-06,3.8475150842475884e-08
