,HEBT:XCB0:CUR,HEBT:YCB0:CUR,HEBT:XCB2:CUR,HEBT:YCB2:CUR,HEBT:XCB5:CUR,HEBT:YCB5:CUR,HEBT:XCB8:CUR,HEBT:YCB8:CUR,HEBT:XCB10:CUR,HEBT:YCB10:CUR,HEBT:XCB12:CUR,HEBT:YCB12:CUR,HEBT2:XCB2:CUR,HEBT2:YCB2:CUR
0,0.311317602672619,0.3217176008496826,0.32485135004525706,0.3308673633954568,0.33163386854201565,0.3147211222451167,0.32912339346827113,0.3094234252412922,0.3258202930747464,0.3313635494429538,0.33275192665093745,0.32961238749294763,0.33494249056364434,0.30199767957365575
1,0.32085920749558305,0.3277308865422461,0.33088335482829756,0.33244058998416837,0.3330602077098888,0.3249561567848388,0.33244681418302086,0.3201352138221399,0.3307265245217399,0.33323490805063233,0.3334873200446899,0.3310724891175826,0.33499247858154907,0.3169464020831292
2,0.3240548493960412,0.32947356342855283,0.3323157975952688,0.33310217807958004,0.3335847376575114,0.32771523764828836,0.33320307474910094,0.3238699474885679,0.3321459773523813,0.3338870398632551,0.33385781350427624,0.33181223662007014,0.3351390966944012,0.3214209306237471
3,0.32587447719351875,0.3304487164586071,0.33303179943706385,0.33348613907936586,0.3338994826740248,0.32914794979802825,0.3335866057260005,0.32587650793542916,0.33288309561232704,0.3342146089822684,0.33410969630351073,0.33227488419181467,0.33526608479428266,0.3238279462978403
4,0.3271691494432458,0.3311504424307344,0.333513407988517,0.33377505972791643,0.3341373834253,0.33012052160962063,0.3338710532466431,0.3273063770968403,0.33338488369111796,0.3344452688958018,0.33430838414451725,0.332627768249176,0.3353754187455289,0.32547292008108347
5,0.3279294767680839,0.33154845750148665,0.33378388266442066,0.3339441936490407,0.3342778266598061,0.33068441676661614,0.3340297593364266,0.3281282035556794,0.33366519922022875,0.33457345970481756,0.33442395911890244,0.33283407755172684,0.3354356853583509,0.32642922820535136
6,0.3287758879203986,0.3320266490139244,0.33401947439163204,0.33375063308281494,0.33443074415700497,0.33122234421670227,0.33415440131410307,0.32908515659118626,0.3339473459453971,0.33463679265774215,0.33392223999806214,0.3329303195438677,0.33545021802743724,0.32751349834097643
7,0.32943643497140723,0.33213089213030633,0.3342111645831945,0.33353892726861056,0.3343263861294077,0.3317091981641276,0.334009520373937,0.3297083734502069,0.33411257796566246,0.33427012576409126,0.33351637539673457,0.333102616188089,0.3354365413988377,0.3281356441082055
8,0.33001487291250264,0.33237985762575456,0.3340755050766971,0.3337083230086124,0.3344513983127896,0.3312576311720695,0.3337569334106879,0.3302753959401782,0.334282775305508,0.333922385939327,0.33351542087703806,0.3331254095266791,0.3354322053587182,0.3287896506418651
9,0.3303994680874826,0.3324479927407438,0.3337677355123836,0.3336946437031816,0.3344910282327822,0.3312716640596919,0.33329836463953916,0.33076644315417486,0.33437904751670167,0.3335717679423609,0.33362217996440036,0.33323680391983324,0.3353230220232256,0.32915636136095106
