,HEBT2:XCB2:CUR,HEBT2:YCB2:CUR,HEBT2:XCB4:CUR,HEBT2:YCB4:CUR,HEBT2:Q5:CUR,HEBT2:Q6:CUR,HEBT2:XCB6:CUR,HEBT2:YCB6:CUR,HEBT2:Q7:CUR,HEBT2:Q8:CUR
0,0.2964905552368571,0.32517164138082477,0.3238479483289872,0.32635367387013847,0.32254900280241383,0.32814357904635005,0.33773103884781375,0.3289326578219858,0.33445241964422123,0.3344524196699954
1,0.2958917847243681,0.32269844627897243,0.32292068095854143,0.32531854143140604,0.3222899748834083,0.328054534504004,0.33504475404117096,0.32780777781179227,0.3344572806227957,0.3344572806360357
2,0.2959149260389633,0.32187900567004313,0.3224864350297452,0.3249319409321422,0.3188538635438849,0.3278510902055184,0.3336069224312308,0.3271483720214221,0.33541055824603044,0.3372865418412635
3,0.2950487844726868,0.3211004064454417,0.3213933116616144,0.3243359384556904,0.31821102682642793,0.3277332137986473,0.3333120096361311,0.3261466288870321,0.3354493788541834,0.3373436184145413
4,0.2942172615552937,0.32027617994235785,0.3206664345906279,0.32374586617602524,0.31785132709885866,0.3275828560407451,0.3334601194371099,0.3256304774682193,0.3342004915634331,0.3374090448380025
5,0.2931814613055016,0.3199270783555305,0.319936010098779,0.32296514370106255,0.317656658498029,0.32745465007710967,0.3330962653259746,0.32473981080606545,0.3342161145235492,0.33722406464168414
6,0.2919126351331581,0.3192954045801858,0.3185910259011584,0.32153768881438816,0.3182296864948279,0.3272757736844987,0.33324250427312396,0.3229930624049564,0.33440985333114215,0.3373704359773374
7,0.28803595259325876,0.3191819610146917,0.31770513220991536,0.31890689871234146,0.3196507258672809,0.32724450549133366,0.33390166477187005,0.3229221939443815,0.33460488395478005,0.3376914659832907
8,0.28612498243548623,0.3166627483956343,0.31719747248092206,0.3183990817357882,0.3209439437594349,0.3270288771728652,0.33499221019838876,0.3227348659943614,0.3348874674511993,0.3361229190354673
9,0.28495877813344345,0.3166501143304706,0.31661942862866516,0.315940349319668,0.32207460170616675,0.32690936805746046,0.3355984429580503,0.32267495723278017,0.33320080460305934,0.33633116558176335
10,0.28366585123739946,0.31582514176074705,0.315981799544856,0.3154737546323857,0.3225942259805269,0.3268065030825294,0.3356106236073602,0.32250532010673677,0.3332378066466427,0.33569430267540046
11,0.28284378798633136,0.3155462176564984,0.3153885390534181,0.315095423075993,0.3226139329554555,0.32590149570044674,0.3357877162523751,0.32224691949709866,0.33321314098568877,0.33570318904485297
12,0.2816546891189304,0.3150215400593062,0.31481909105355166,0.3145441164061301,0.3231940278675005,0.3258080223488013,0.3362555807464054,0.32198179637622,0.3321507125301285,0.33582285857115507
13,0.2794250707344337,0.31425209947832944,0.31364583970706,0.31356490530998826,0.3245418522441758,0.32583149546580065,0.33557980435367685,0.3218833942271366,0.3324711342509568,0.3363127922178908
14,0.2773654186641835,0.31443015631983096,0.3131940560129807,0.31149729330783615,0.3257625047582023,0.32580487559265636,0.33569718769180573,0.32065052531945065,0.3328472242193447,0.33684052320082186
15,0.2775508727004569,0.31404798782036525,0.3134363749200005,0.31112911111381686,0.32508762842286687,0.32565684358276425,0.335433007083491,0.32039144813333054,0.33267409560167005,0.3367107146818972
16,0.27636266198945725,0.31404845572057505,0.31147856737028795,0.3104604649073957,0.32684037891280937,0.3255871841748142,0.3362145956523425,0.3190575658845729,0.33280565446321153,0.33606363863501953
17,0.27382570577147564,0.31169696790225665,0.3111790422623166,0.3094771057082837,0.32827321613913324,0.32563500250841315,0.3370971338519556,0.31886895642796775,0.33309581578734776,0.33645904206781063
18,0.27317812314976103,0.31133244889251055,0.3109332729862069,0.3092860558437998,0.32807457397851125,0.32554048785729556,0.3369842008032071,0.31864442949694494,0.33298777135730023,0.33647595563600835
19,0.27187057056498776,0.31068947008140435,0.31001838428575906,0.30847232191605023,0.3297753406241968,0.32460445729076265,0.3379346001088068,0.31705883044096583,0.33326428882484216,0.3369680272923635
20,0.27015953313719093,0.3099961299553739,0.30917930747858635,0.3071483990078834,0.3303223379485845,0.3246343919445997,0.33881659266116415,0.31679447403406735,0.33349055415523376,0.3372877461682897
21,0.26678228473577875,0.31024586563698753,0.30707096192750105,0.30632934156295133,0.33235315610907823,0.3246230593055871,0.33934021407039855,0.317078025481681,0.3337703389470156,0.3368916840365139
22,0.2661608833466775,0.3098436442639565,0.3066703023991166,0.306020763506592,0.3321267205227354,0.32450972285965474,0.3394612856600837,0.3169498662655936,0.3340103278291424,0.33676318091235785
23,0.265791382492371,0.30945318396053495,0.30665388011997297,0.3058171719586659,0.33183673239826667,0.3246567477624903,0.33939825478550456,0.31659585038290067,0.3338319241075811,0.3365847855908872
24,0.26355786518003593,0.3094542213891742,0.30551555911937905,0.30543217107585535,0.33359983688873324,0.32467542067564886,0.3406933938773966,0.31599832947595063,0.3335458152557756,0.3355300184476195
25,0.2615247273936533,0.3091690417097083,0.3036604244509812,0.3051808956004925,0.3347606060882568,0.32470084411648836,0.3409546741280167,0.3157819037460192,0.33382569895636577,0.3359909781651972
26,0.26046547577208595,0.30885175405534987,0.3032530037471368,0.30474451061759905,0.3351028679862664,0.32461376002226516,0.34116896783476747,0.31555844732174926,0.3337686917123278,0.33597884033159275
27,0.25911652591291073,0.30866952163400424,0.30286742932345734,0.30423287958969325,0.3355884556902842,0.324341328772013,0.3414375274156472,0.3153326439824973,0.333747529242051,0.3359807985098046
28,0.25765534642112087,0.30854518125049224,0.3025489913401592,0.30394993763822237,0.3362811073919194,0.3237219786419589,0.3415806750439196,0.3153605515956751,0.33332956640113187,0.33609006249758866
29,0.2557749946112077,0.308352887658218,0.30214178206228265,0.3035860572504564,0.3366856749415413,0.323673089053173,0.34196727983454867,0.3151961970714452,0.3332893732451643,0.336124613738256
30,0.25348890099628035,0.30716131257782464,0.30172763205263203,0.3030753699297525,0.3382736147424353,0.32256496549543295,0.3431699150963545,0.31503572660882334,0.3336205982433764,0.3365162402261136
31,0.25235857953370305,0.3068704402190476,0.30136991669726987,0.30285764973884244,0.33852147834781937,0.32251730571051584,0.3432821848453711,0.31491135897124134,0.33351553376463783,0.3364532362997084
32,0.25003932907137955,0.3056779150681499,0.30069631480636405,0.30141552410800615,0.3397425195116732,0.32251970886633924,0.3443153089511125,0.3151166840475352,0.33372212045583455,0.3367069057216184
33,0.2477738064077158,0.3055107054606849,0.30039494084599305,0.3011236673475753,0.34048293494014936,0.3224665133141732,0.34459280831021805,0.3150054741574091,0.3335291504596122,0.33665691621105914
