,IOS:XCB1:VOL,IOS:YCB1:VOL,IOS:YCB1A:VOL,IOS:Q2:POS:VOL,IOS:YCB3:VOL,IOS:YCB4:VOL,IOS:Q5:POS:VOL,IOS:YCB6:VOL
0,0.2490938839504611,0.29486233527617844,0.40702980093736224,0.039993586850392414,0.26407657400746914,0.47984011964577283,0.4316792652199391,0.48627227672536
1,0.35413269273250947,0.3186510374902326,0.39128076398309747,0.19588050321328868,0.31280914932242654,0.32387616306402117,0.3439636625293447,0.36356082432693754
2,0.9464827502943439,0.16765575235060742,0.6843157836057364,0.8574841207164471,0.029905254428322377,0.9944493555384077,0.5861544747555142,0.9907772033714976
3,0.9442044754591328,0.10673972429950092,0.08711777600161957,1.1281044039508767,0.14928159181335754,0.9176508586449801,0.587877005082563,0.9299958567754999
4,0.9691266582769746,0.0840042785130828,0.3079217759343078,1.1518178871476983,0.06797346302697525,0.9932619074241809,0.6062378473632064,1.0185325390503652
5,1.0183157973730774,0.09183708724656435,0.3499385911206574,1.202248073760186,0.07084085995540117,1.035774716380983,0.6368472225687325,1.0702214380372035
6,1.0621187032229698,0.09853489892602062,0.41184991103511165,1.2515834553454863,0.07969075283481805,1.077691529805897,0.5758207999567531,1.125772226115336
7,0.9204264431287469,0.11442687622850037,0.7437675444406433,0.21379612894404654,0.06648771123721085,0.852088613967163,0.3955128365177369,0.9177528047063616
8,0.8857667746808551,0.08247237703972223,0.09101425680772394,0.9601496160200587,0.12833697749122316,0.8711955818047972,0.5041749595860809,0.9132190446103675
9,0.7375604348906772,0.09428625346277449,0.08891587928684826,0.24645900702392,0.15105483397320388,0.7821492026890378,0.45564913867043283,0.7928951490812427
10,0.47581808259082814,0.12328486136156386,0.3082354339594311,0.6594233483259169,0.06579342388037962,0.5133521517048646,0.10643712879659648,0.5450355494699306
11,0.48892102397175374,0.11057433544935745,0.3269024001492257,0.6357613488139695,0.056879699395882784,0.5510015752795491,0.08400269547071977,0.5701255710658146
12,0.48201211157033363,0.11384619851367207,0.3103449816091615,0.6489090650749657,0.06305943129652386,0.5304355743770307,0.0960468320169783,0.5557810913903872
13,0.4815406770724829,0.11296257254639341,0.3114424077278903,0.6476619036626937,0.06207955093820009,0.5330144260858776,0.09470180638928456,0.5575948139249729
14,0.4963299473841569,0.10824052946979584,0.19590728077856165,0.6835557983553707,0.11515231887137832,0.5487569177222283,0.10246915614772491,0.5790911486718732
15,0.464085569244303,0.1157841226979859,0.3289544441764129,0.603728706482196,0.052209559106595256,0.5230842542307071,0.09149926309295892,0.5504512141807846
16,0.4617955731279637,0.11494826795569356,0.330870116662064,0.6030630507815717,0.05048227139256735,0.5251552541803135,0.08955310130017594,0.5515420174651275
17,0.45896720226155224,0.11412830107291291,0.3333626427868894,0.5968512095295824,0.04837601411575525,0.5268891128548466,0.0870535267134053,0.5524495727571831
18,0.45749919745981615,0.1138304598427676,0.3372490835669583,0.5874049248098033,0.046231468274323256,0.5281861072402104,0.08448030178762868,0.5538933438827786
19,0.42818674395904555,0.08870377540469095,0.29266001105676465,0.5704545641830951,0.05133296281578746,0.07477974837380864,0.3555745262530341,0.5124123154996155
20,0.4280573559766802,0.08902026244067085,0.2919277644678555,0.5740307301709275,0.05127844637836036,0.07587101527446255,0.3548698370585486,0.5135873230098225
21,0.42830761257616656,0.08900360929086429,0.2919237197011809,0.5751391374350564,0.051132461065691685,0.07604166488430175,0.35585885865331335,0.5146600192457715
22,0.4292355830354445,0.08898263049249829,0.2924923203064542,0.5773485499669098,0.05103148483710234,0.07620524471376282,0.3567286215643466,0.5155505164027991
23,0.4394482004272351,0.08788617014878837,0.29231190197956197,0.5668196188751059,0.05063796870307159,0.07492223798491075,0.35480825401314153,0.5277458500994799
24,0.46868424289376087,0.08669868843139879,0.2874088970111513,0.5388053362359182,0.05075934857844411,0.07308381408649774,0.3425935974126673,0.5161932451409831
25,0.4597655361379802,0.0888250814637023,0.14943444256456756,0.5691150869172041,0.10900727673255653,0.07025215482249043,0.35912514406631746,0.523395844024057
26,0.3927369214666985,0.09013814443618823,0.14016249784275808,0.5671745732869322,0.16184811652989162,0.06797607079820174,0.3600620329126431,0.5414774592507087
27,0.3464217962706964,0.07595728130938253,0.12974457441012247,0.6429100337715804,0.3889666440929745,0.06503646363540334,0.3751157170970085,0.5717930311930515
28,0.3502301298747153,0.07135791896226937,0.131954841114134,0.6521660689316854,0.45640263254497393,0.06231976451569642,0.37818988736766773,0.5796178558388687
29,0.3525928742738867,0.06837938114495982,0.13140904676576562,0.6467775133710355,0.4851197117259523,0.05990230661585237,0.3816839169941231,0.5871210501956293
30,0.3501312734461209,0.0693752775286195,0.13098622869976656,0.6475778991967355,0.4787857676570912,0.06055123854662622,0.38009436095322996,0.5847913964497328
31,0.3561054055036956,0.06915621655832474,0.13287799537278028,0.6633122236631059,0.5149013170706209,0.06063309659116589,0.3757031052324066,0.583220772764627
32,0.3606746393749274,0.06857073523009585,0.13343880382546494,0.6663739752472466,0.5422745930788141,0.05972644813749779,0.37438892710894744,0.5838491443126068
33,0.36005484897507534,0.06722583877320293,0.13207053833163498,0.6585155769227942,0.5607343326974058,0.058371738049888176,0.37499929991067554,0.5822844948079355
34,0.36162955374059036,0.06632382150886633,0.13130882235009195,0.6498381490867493,0.5551344543929515,0.057275540604474165,0.37728013773459396,0.5953839156655377
35,0.3588089332692567,0.06578934305675842,0.13021887086161033,0.6420100890103355,0.5582228467906889,0.05659144150650172,0.383810531659363,0.5953160873152528
36,0.3540688193019081,0.06504374934673743,0.1287786463987925,0.624640964475684,0.5700919795819034,0.05526404944303464,0.415130503019446,0.5778011586575809
37,0.35426281940051507,0.06883172812692209,0.13217839915737023,0.6287044386399787,0.5607642404187888,0.05643435120236784,0.4120625382841976,0.5643430448138568
38,0.3546657593159814,0.08089783182396224,0.14194522108553992,0.6433211084392627,0.5387970075173554,0.058364012629494526,0.4171174270294452,0.5846163744200203
39,0.3618674639163122,0.10738724511163124,0.16256221519399863,0.6936605421354387,0.5268152216884575,0.06339181593753106,0.44042163094906256,0.6284535100403419
40,0.3724366795118416,0.1310661663630842,0.19064245073351677,0.8056650015116722,0.5478900473893697,0.07325697567038247,0.4704673869969688,0.6824326626039336
41,0.38137002342337023,0.1418965820723527,0.20820148554667506,0.8770791814704308,0.5817623175184345,0.08083463050761211,0.4866532361338086,0.7362199865999561
42,0.392543474192297,0.14914892200738197,0.22097753692187594,0.9261495650399508,0.6139341828385114,0.08756358647843801,0.4945377241722073,0.7766961051147601
43,0.3970528243827837,0.15070960865223715,0.22411822728832892,0.9404355355635251,0.6289839668404401,0.08948031674510483,0.5041644015856278,0.7885058886772724
44,0.40676485096418824,0.1583486830576782,0.2374636243641518,1.0049160191902369,0.6519555432617216,0.09787065182672262,0.49048069448086806,0.83377657427363
45,0.5485330559832351,0.22156073688749975,0.27544515379085915,0.7297217139831333,0.4960411385062373,0.15735770129870652,0.1271197908601489,0.766496898126497
46,0.18175740387459158,0.2524830049735829,0.12612954832374396,0.13690508527634024,0.7842689121545297,0.047503954060150955,0.37688561356379885,0.5775309131480246
