,HEBT2:XCB2,HEBT2:YCB2,HEBT2:XCB4,HEBT2:YCB4,HEBT2:XCB6,HEBT2:YCB6,HEBT2:Q5:CUR,HEBT2:Q6:CUR,HEBT2:Q7:CUR
0,0.06173682131307805,0.06609677442289148,0.729856143571887,0.7958995365267315,0.7587680868424973,0.4456472250151772,0.7302373570158489,0.7285535260160685,0.5389357334640436
1,0.6077383735802424,0.13393241462361,0.7295624748389825,0.7611590796909151,0.8130028483049396,0.04106141464767049,0.748867739426646,0.7248500248938038,0.5263355322689065
2,0.30384545836544247,0.19741367088067815,0.3671019069084649,0.37789175670962977,0.3667820610257178,0.21867995171571344,0.3644494416306785,0.3801761484580351,0.34774481019875253
3,0.32340704239631707,0.20866853350340342,0.3609848337805043,0.3689318816649501,0.3604659000703653,0.24021087546773293,0.3612455601896583,0.37132172728522933,0.3447330646144577
4,0.3353750816840238,0.22789248921708447,0.3561120187831863,0.3602161207238787,0.35337875891873377,0.2655262708241446,0.3566527539166244,0.3622278018215172,0.34179081961092056
5,0.3386403814038044,0.2414920307368471,0.35330420359842474,0.35558333856264124,0.34948812295542553,0.27954287369707703,0.3533546142200437,0.3572200852097586,0.34025404428596734
6,0.3397948222595918,0.2520560444430094,0.3513428409590532,0.35261930428220783,0.3470268790670347,0.2886578677890856,0.3509678086908546,0.3539639949994655,0.33935681363338344
7,0.3402565743758864,0.260517799492493,0.3499006946273753,0.3505799168644654,0.3454191223218559,0.2949983762666326,0.34923516422827255,0.3517111679030654,0.3387365103102138
8,0.3404104875733599,0.267370527274162,0.34875013808024485,0.34904370228523657,0.34426221176357313,0.29979811921048155,0.3478819190956721,0.3500046312711923,0.3383522088986512
9,0.3404514296979626,0.27313180689966016,0.347844785463116,0.34787799143272835,0.343428155917359,0.30369119567970276,0.34684007076702905,0.3486966503790454,0.3380493529253682
10,0.34042503119755585,0.25400336146005437,0.3542247849907457,0.35720280622921413,0.3495926686931685,0.2796064251584695,0.35238656605298785,0.3570160300081663,0.3399959969290629
11,0.3399361036045029,0.2561868692971356,0.3518510079619592,0.3528539810117005,0.3475821321438648,0.2851730995872581,0.35059148459554756,0.35339981044228796,0.3393678299248681
12,0.35344898057160673,0.2715692367037684,0.36048343253624743,0.3525056398365797,0.3629809786485549,0.3129309484566027,0.3598934643029095,0.34519910611105153,0.34356915150118106
13,0.3500963518646149,0.26913217985933946,0.35652031208486035,0.34992016169002105,0.35834817936279517,0.3108728151757637,0.35638340213461733,0.3435412814524476,0.3421656628461509
14,0.3481126045506574,0.26892323541067403,0.3540097121049937,0.3483196266649964,0.35527055593578133,0.3102232400160497,0.35415421591971,0.3429074209953732,0.34132429512415
15,0.3467753176628386,0.2698708299460279,0.35226637295627494,0.3471870730559083,0.3530767138275639,0.31038713722809996,0.35252964790777136,0.34294434173613464,0.34058343170150385
16,0.3465063888155444,0.2697203528076926,0.35207780841969666,0.3471079610882923,0.3527444889143397,0.30996719104671716,0.3523198799334936,0.3431830245144276,0.34050149314415545
17,0.3443468739938122,0.2724569475966068,0.3500527192450994,0.3467505425207928,0.350574419985843,0.3096309030811111,0.3504912890397946,0.3436404403507988,0.3400630232574593
18,0.3431488523676481,0.2732316468296564,0.3490275140105867,0.3448949300635556,0.34920907765667664,0.3102800377725445,0.3481677588318612,0.3439847225160461,0.3396584694425578
19,0.34295672472188593,0.27271929603352746,0.3489115442284444,0.3451282227426167,0.34903441968054294,0.31010329911764273,0.3481499935923172,0.34422200657271984,0.3396240134596288
20,0.341788316778476,0.27540633072591275,0.34728012631789207,0.34251539975193224,0.34703061072449987,0.3109907072697139,0.3475094987959776,0.3440417424743387,0.3392811289277131
21,0.34130969995815763,0.27780335502224396,0.3466752091899374,0.3418821809112978,0.3457960009732257,0.3099727488940675,0.3469598432473984,0.34286957914128297,0.33897725404340345
22,0.3409890409327784,0.27924314973331715,0.3462836767113493,0.34205471867144915,0.3418841273042236,0.31060039763855574,0.3460861383098265,0.3430589237102002,0.33874264940220955
23,0.34072118026410475,0.28192935841114264,0.34574989699305614,0.34101185641561904,0.34048308411004785,0.3096952861071574,0.34462281556210383,0.34296784489794735,0.3385559847187226
24,0.3405733928945228,0.284968828463187,0.3436204650867164,0.34116704183482854,0.3401449240934039,0.30991490102832936,0.3422548834053253,0.3425294810641097,0.3383308974279997
25,0.3403303551298467,0.28438769669533964,0.34215954270947874,0.341247123708045,0.3400128332134622,0.3112778150889887,0.34087081445731954,0.34255148268326135,0.3382039973787624
26,0.3400916216755513,0.2871702857397424,0.3416558995342596,0.34003848027572936,0.3389239148037114,0.3103576118966844,0.34075916585249716,0.3420160838570624,0.33806614469424767
27,0.33997389504946945,0.28693140526478284,0.3403326335501236,0.33981528802126293,0.33849264117995254,0.3115440915880366,0.3404834797429498,0.3419203751274618,0.3379840701329523
28,0.3390381817945879,0.2880750666718871,0.3404048142212968,0.3397178502622009,0.3383495834779899,0.3120097572926752,0.34044469982243675,0.34206149482309267,0.33795558685764693
29,0.33622177935263686,0.29011776752743373,0.34018451735145333,0.33898665473962064,0.3381012741815257,0.3121099442955995,0.3400230470382275,0.3421349202041779,0.337812555995102
30,0.33610151798856647,0.2916397657718237,0.339626573698312,0.33790799712704783,0.33788256720389254,0.31282751589206526,0.338545982840129,0.3422395901957044,0.337629925537027
31,0.3345180311149978,0.2782844003414258,0.34262003629662846,0.3400461923069872,0.34592334110013595,0.31924562399212636,0.3436399210508511,0.3403046394024031,0.33901711584230926
32,0.33588700539643684,0.2788973482150883,0.34193923514856467,0.3396358155657631,0.3445053316246294,0.318603755206316,0.3429865360221115,0.34009448893935895,0.33863585838910865
33,0.33669192508344103,0.27908261478895796,0.3416139345829353,0.33950947872470827,0.3438266289053698,0.31843128603755844,0.34269903019047226,0.3399936309629311,0.33843226245898816
