,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.546875e-06,1.546875e-06,1.546875e-06,1.546875e-06,1.546875e-06,1.546875e-06,1.546875e-06,1.546875e-06,1.546875e-06,1.546875e-06,1.546875e-06,1.546875e-06,5.3710937499999995e-08,5.3710937499999995e-08,5.3710937499999995e-08,5.3710937499999995e-08,5.3710937499999995e-08,5.3710937499999995e-08,5.3710937499999995e-08,5.3710937499999995e-08
1,5.3710937499999995e-08,5.3710937499999995e-08,5.3710937499999995e-08,5.3710937499999995e-08,5.3710937499999995e-08,5.3710937499999995e-08,5.3710937499999995e-08,5.3710937499999995e-08,5.859375e-09,5.859375e-09,5.859375e-09,5.859375e-09,5.859375e-09,5.859375e-09,5.859375e-09,5.859375e-09,5.859375e-09,5.859375e-09,5.859375e-09,5.859375e-09
2,5.5913085937500005e-09,5.5913085937500005e-09,5.5913085937500005e-09,5.5913085937500005e-09,5.5913085937500005e-09,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,4.3408203125e-08
3,4.3408203125e-08,4.3408203125e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,7.890625e-07,7.890625e-07,7.890625e-07,7.890625e-07,7.890625e-07
4,2.4414062499999998e-09,2.4414062499999998e-09,2.4414062499999998e-09,2.4414062499999998e-09,2.4414062499999998e-09,2.4414062499999998e-09,2.4414062499999998e-09,2.4414062499999998e-09,2.4414062499999998e-09,2.4414062499999998e-09,2.4414062499999998e-09,2.4414062499999998e-09,2.587890625e-09,2.587890625e-09,2.587890625e-09,2.587890625e-09,2.587890625e-09,2.587890625e-09,2.587890625e-09,2.587890625e-09
5,8.04052734375e-09,8.04052734375e-09,8.04052734375e-09,8.04052734375e-09,8.04052734375e-09,8.04052734375e-09,8.04052734375e-09,8.04052734375e-09,8.04052734375e-09,5.65576171875e-09,5.65576171875e-09,5.65576171875e-09,5.65576171875e-09,5.65576171875e-09,5.65576171875e-09,5.65576171875e-09,5.65576171875e-09,5.65576171875e-09,5.65576171875e-09,5.65576171875e-09
6,5.72021484375e-09,5.72021484375e-09,5.72021484375e-09,5.72021484375e-09,5.72021484375e-09,5.72021484375e-09,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,9.995117187500001e-08
7,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,2.1630859375e-07,2.1630859375e-07,2.1630859375e-07,2.1630859375e-07,2.1630859375e-07,2.1630859375e-07,2.1630859375e-07,2.1630859375e-07,2.1630859375e-07,2.1630859375e-07,2.1630859375e-07,2.1630859375e-07,2.1630859375e-07,2.3779296874999998e-07,2.3779296874999998e-07,2.3779296874999998e-07
8,2.3779296874999998e-07,1.5185546874999999e-07,1.5185546874999999e-07,1.5185546874999999e-07,1.5185546874999999e-07,1.5185546874999999e-07,1.5185546874999999e-07,1.5185546874999999e-07,1.5185546874999999e-07,1.5185546874999999e-07,1.5185546874999999e-07,1.5185546874999999e-07,1.5185546874999999e-07,1.5185546874999999e-07,1.318359375e-07,1.318359375e-07,1.318359375e-07,1.318359375e-07,1.318359375e-07,1.318359375e-07
9,3.41796875e-08,3.41796875e-08,3.41796875e-08,3.41796875e-08,3.41796875e-08,3.41796875e-08,3.41796875e-08,3.41796875e-08,3.41796875e-08,3.41796875e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08
10,9.995117187499999e-07,9.995117187499999e-07,9.995117187499999e-07,9.995117187499999e-07,9.995117187499999e-07,9.995117187499999e-07,9.995117187499999e-07,1.7626953125e-06,1.7626953125e-06,1.7626953125e-06,1.7626953125e-06,1.7626953125e-06,1.7626953125e-06,1.7626953125e-06,1.7626953125e-06,1.7626953125e-06,1.7626953125e-06,1.7626953125e-06,1.7626953125e-06,1.7626953125e-06
