,IOS:XCB1:VOL,IOS:YCB1:VOL,IOS:YCB1A:VOL,IOS:YCB3:VOL,IOS:YCB4:VOL,IOS:YCB6:VOL
0,0.33202453897428624,0.07846829054202266,0.6043077779781817,0.08311192951640924,0.6653405832514597,0.2522874167207537
1,0.3174226746326543,0.0747832678762902,0.5837140658415904,0.04826643398867332,0.5954187532542777,0.4874415233156117
2,0.32967480963151696,0.07564216951286097,0.5990758907740278,0.04716063740765426,0.6081955527574181,0.4692540409739251
3,0.3183968829753414,0.07510831521702975,0.6414722014084342,0.045140480940885706,0.6166732533438894,0.31536553877155704
4,0.23009792849699914,0.07561662252409306,0.18587293164064414,0.06557757863926575,0.6126458094644209,0.4178679044943885
5,0.2179537745567337,0.09364687684611758,0.16814671555916086,0.09805779099679938,0.4894078353928279,0.3482590012899587
6,0.24135819007793408,0.10005316039256766,0.18142278651187768,0.11347200702863482,0.55204406272446,0.3853505656590374
7,0.37682228263193673,0.1361487749579262,0.32796945017709245,0.16883381224314092,0.34682568646167733,0.5508572063529669
8,0.9100870961912748,0.579068854833778,0.9077013447355972,0.4807007741842041,0.19798538037423638,0.977858251786781
9,0.19078028893231339,1.8624237660766285,1.6318643626728484,1.8520129882050809,1.5869182514089084,1.7932446823937074
10,0.10045204228881885,1.7974161698787445,1.7316218270550126,1.8686468385115806,1.8857653506000762,1.7629216762815465
11,0.17957435454659346,1.6235052232275347,1.3109538555836306,1.5993360143241666,1.4388040549352545,0.30232039171056174
12,0.6393165388141572,1.8223440430838234,1.7002788533822681,0.1492949194113819,2.0624464469030395,1.88776154348275
13,1.4453533265549066,1.6211374284292728,0.46586763730716385,0.12197183386701929,1.8034631675046215,0.9685837260899566
14,1.3540976617578695,1.5148116642694822,1.1068165288180385,0.16253224103143687,1.6016111817980216,0.2072930710965737
15,1.3034215227530759,1.3384415173618018,0.5772312854127035,0.15205976985628517,1.4041341025819019,0.15584407089277363
16,1.396928443325516,1.3857588388353979,1.2026833273257587,0.9827735061690469,0.3747288126131195,0.07813264031161661
17,1.39169649078102,1.378567666908136,1.1962930698795549,0.9729674397725585,0.3704398031053797,0.07758061070989096
18,1.2292970247533277,1.2322179495493604,0.7130198232704812,0.13771417233930247,1.2898306563003066,0.10714935489504142
19,1.1666521776850758,1.124501569810048,0.19142455003001693,0.8346737720226464,0.3810503533449882,0.08230037056786131
20,1.0372077298793618,1.0205077713840705,0.17270582693404174,0.14978010780083575,1.0710474597482935,0.10779119300544386
21,0.15806750190922667,0.9449393288304283,0.20932176466810146,0.5427658986644301,0.8735226812092786,0.08531713728508922
22,0.12032896077584096,0.8159453279210436,0.18941928995321913,0.4180035142762575,0.8710915119813314,0.06478947481103658
23,0.12014729920139527,0.8400023942841669,0.19158123624523704,0.4280409619549631,0.8764392255994542,0.06481671066734022
24,0.21278925413882094,0.33556971545761044,0.18645354596912964,0.247563744399637,0.8227251852228601,0.0729465497212816
25,0.24584708945425973,0.35038786663617694,0.1891117744118955,0.24014934347583658,0.8337161237603564,0.07422932986424129
26,0.24426392141036338,0.36781850734037747,0.19217136331507387,0.2160412583287884,0.6008706987992034,0.08150516423038871
27,0.24322530864728797,0.5330449561060085,0.21447307802570953,0.23496497233170194,0.7855194781264064,0.10564941630196091
28,0.2627970389772315,0.6181026744610463,0.2605659852276686,0.2878332773436518,0.8669539259212364,0.15543654206630297
29,0.2768879664784344,0.754981404766688,0.28307943577241756,0.3216101812536476,1.0175879002836739,0.1859133580186717
30,0.2793455315771214,0.7935293517695932,0.2860636649356726,0.3247242729731558,1.0560407152911022,0.1883001779649759
31,0.2748468944548016,0.8660638630315967,0.2856029641914528,0.32620530290239846,1.070761421726368,0.1904274968270684
32,0.2770647310631674,0.8821000324270845,0.2898395789065622,0.32205716028751374,1.1891554612417483,0.19384907794657602
33,0.06581445625029365,0.5488602717275808,1.0679971837831657,1.167412207049526,1.265571532194727,0.3879735368834881
34,0.06596940441388753,0.549871954468445,1.0077465524358877,1.1328145771785334,1.2120404627516923,0.3635379960676825
35,0.06665363446626531,0.5766946488582191,0.8950343886754519,1.099892776094814,1.161453649015132,0.37615618982631627
36,0.06698889273374921,0.558415671812125,0.9786429762200111,1.1808732501323782,1.1491831423602887,0.3943704172349698
37,0.06675774295933276,0.5601080662745511,0.9784301610505612,1.1825937905760577,1.1580637524731832,0.38877511162041006
38,0.06668464509241526,0.565648484013509,0.9813956987219496,1.1886656642691047,1.1458246348271042,0.38848539724112563
39,0.06679392507881338,0.5596536911599252,0.9959949928505505,1.1989004621712325,1.1846738398138377,0.40117465716880896
40,0.06687461502555572,0.5427869277070889,1.0539684193536973,1.2252520140589387,1.1846737511936356,0.406665836338991
41,0.06680844857160577,0.534844451487215,1.0713019797405905,1.2364425250925677,1.1927046245500394,0.4109165259735595
42,0.06677368545576999,0.5298529581343109,1.0807823709206728,1.2017488582348776,1.1481199209003463,0.4154864537772033
43,0.06726203713245613,0.5390472881245261,0.9980324245733083,1.201998662974213,1.1978363903406926,0.424936638363331
44,0.06761067258841799,0.5428729437594876,0.9965476846051102,1.2184188739806092,1.2040925225230625,0.42778954796304053
