,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:XCB9:CUR,MEBT:YCB9:CUR,MEBT:YCB11:CUR,MEBT:XCB12:CUR
0,0.31376586979998616,0.22202929798798748,0.4065372111852697,0.2144609212825669,0.3254595243178451,0.39948339279062134
1,0.36549975401074186,0.2534888370030114,0.42658876859543604,0.2616527387022497,0.37805607069706176,0.43321102101344894
2,0.3736287977833936,0.25775774141323377,0.41051626631578175,0.2765457864707733,0.4078927643982305,0.43180655805789586
3,0.3650284499858125,0.23640047200292358,0.38797181647636514,0.28784630571892783,0.42197979175082667,0.40498604466702276
4,0.36183176142281637,0.23851910162559606,0.4435638667819523,0.2817167139449044,0.4111576033552783,0.4606807976027521
5,0.3949402180799805,0.23369300314628919,0.4829042089115142,0.2814840837232969,0.4114352479951203,0.4742011327314204
6,0.4011429659307829,0.23934788544813868,0.49432694337971705,0.27990501476085095,0.40855325444962176,0.46641536039497133
7,0.3970856671502059,0.2380099328273393,0.5003987398901384,0.2923733339472108,0.4079849965624378,0.46973173509672494
8,0.40701900591189355,0.2279277494738039,0.4892729970352344,0.27336324635258485,0.4268264533048658,0.49290345531526525
9,0.4081085220522024,0.22857850353111164,0.4994607176434426,0.2695405973594281,0.4328630219393262,0.5068109674832291
10,0.42367346991254135,0.23398094979860978,0.5344470727660761,0.27786606729110674,0.4179704278122196,0.5051090573106616
11,0.41753754350658245,0.23029265794154663,0.5366573788944274,0.28149640640829426,0.4164048755966773,0.5476385209992357
12,0.4191126912537512,0.22862162563991567,0.5334179746303372,0.2745165181848688,0.4033187176875843,0.5518816900700628
13,0.4736859584560502,0.2230338990753029,0.5195908339187105,0.26145018700723643,0.40820748729099493,0.6117936064972308
14,0.46316073643125466,0.23124318342604308,0.5184971974690759,0.2979117064449888,0.40818279243840194,0.5005047909342111
15,0.4310360277567919,0.23156209042008918,0.5130933406014555,0.26046486864312735,0.41015273034468747,0.5252565913475858
16,0.39528782679868746,0.2395306758014534,0.5497490824009872,0.2700348866089758,0.3607766091099134,0.5398433566251812
17,0.4315379739967044,0.23436046745125852,0.538123835026141,0.2752835570486315,0.3784489482873006,0.5437493982087214
18,0.4994666151966414,0.22908644417709811,0.5249765541823466,0.2787074045208072,0.3906642901995401,0.536608896415693
19,0.5185134058793409,0.22694574049742744,0.5734578203522402,0.27548424514538594,0.38666462657201417,0.5418990539950646
