,0,1
0,-1.9531249999999997e-12,2.1492696364329847e-12
1,1.2207031249999978e-13,2.486761326594649e-12
2,-5.18798828125e-13,1.6955803690294313e-12
3,1.556396484375e-12,1.2111288350210221e-12
4,6.072998046875e-12,4.752812751129423e-12
5,1.922607421875e-12,2.18003190303784e-12
6,5.3710937500000004e-12,0.0
7,3.0303955078125e-11,7.998866224414785e-13
8,2.86865234375e-12,1.3579465003226922e-12
9,6.77490234375e-12,1.1819407184470876e-12
10,-3.0517578125000046e-14,1.6955803690294315e-12
11,-2.3803710937500003e-12,2.263244167204487e-12
12,6.408691406250001e-13,1.3340755001461423e-12
13,1.64794921875e-12,2.4588912449320907e-12
14,-2.50244140625e-12,1.5904314234369365e-12
15,-8.239746093749999e-13,3.3948662508067304e-12
16,1.64794921875e-12,2.363881436894176e-13
17,3.90625e-12,2.9296875000000004e-12
18,3.3843994140624996e-11,3.148934971054657e-12
19,1.495361328125e-11,1.8095662939909166e-12
20,1.6326904296875e-11,5.717466429197753e-13
21,3.7597656249999994e-11,8.4572793338324e-13
22,2.4261474609375e-11,7.266773010126135e-13
23,4.1351318359375005e-11,1.3340755001461415e-12
24,2.13623046875e-12,2.2500376698201613e-12
25,1.9470214843750002e-11,2.363881436894173e-13
26,3.9978027343750005e-11,7.091644310682526e-13
27,6.54296875e-11,1.6914558667664802e-12
28,8.685302734375001e-11,4.844515340084069e-13
29,1.4465332031250001e-11,2.363881436894181e-13
30,7.623291015625e-11,1.1434932858395505e-12
31,4.376220703125e-11,2.363881436894165e-13
32,5.5725097656250005e-11,1.905822143065918e-12
33,1.77001953125e-11,2.114319833458107e-13
34,1.7395019531250002e-12,2.489568583924936e-12
35,3.0517578125e-11,4.150390625e-12
36,1.4404296875000001e-11,2.4414062500000057e-13
37,4.2205810546875004e-11,2.489568583924937e-12
38,9.277343749999999e-12,8.457279333832414e-13
39,6.384277343750001e-11,2.715893000645385e-12
40,4.7607421875e-11,2.4414062499999895e-13
41,4.84619140625e-11,3.1714797501871536e-12
42,5.6213378906250003e-11,3.3911607380588606e-12
43,8.2275390625e-11,1.2207031250000012e-12
44,6.259155273437501e-11,1.58427091704314e-12
45,5.4351806640625e-11,1.0460898743287726e-12
46,1.1529541015625002e-10,1.3579465003226924e-12
47,7.531738281250001e-11,2.7486157834955323e-12
48,1.0491943359375e-10,1.0194881035455357e-12
49,6.5948486328125e-11,6.789732501613432e-13
50,1.0693359375e-10,9.765625000000023e-13
51,1.0510253906250001e-10,6.342959500374279e-13
52,5.8837890625e-11,2.1143198334581016e-12
53,8.02001953125e-11,2.7486157834955323e-12
54,8.935546875000002e-11,1.69145586676648e-12
55,8.203125000000001e-11,1.69145586676648e-12
56,7.4554443359375e-11,2.2632441672044773e-13
57,1.1517333984375e-10,1.1434932858395505e-12
58,1.11480712890625e-10,1.3340755001461415e-12
59,7.122802734375e-11,1.1819407184470888e-12
60,8.285522460937501e-11,3.148934971054657e-12
61,8.856201171875001e-11,1.87428619784962e-12
62,1.2231445312499999e-10,3.173828124999993e-12
63,1.23687744140625e-10,4.602289573079897e-12
64,1.1883544921875e-10,2.4222576700420467e-12
65,1.0021972656250001e-10,2.114319833458149e-13
66,3.1707763671875004e-11,1.5389455179593473e-12
67,1.1474609375e-10,0.0
68,9.930419921875002e-11,1.654717005825928e-12
69,1.2762451171875e-10,9.8982389771892e-13
70,1.0638427734374999e-10,1.3579465003226924e-12
71,1.2426757812499998e-10,1.8105953337635819e-12
72,1.1636352539062499e-10,3.394866250806728e-12
73,1.217041015625e-10,1.057159916729052e-12
74,1.1132812500000001e-10,1.69145586676648e-12
75,1.3049316406249998e-10,2.114319833458149e-13
76,1.3671875e-10,6.905339660024848e-13
77,1.50238037109375e-10,7.266773010126166e-13
78,1.385498046875e-11,1.9058221430659175e-12
79,1.4953613281250002e-10,3.6191325879818307e-12
80,1.35406494140625e-10,7.266773010126039e-13
81,1.5405273437500002e-10,1.93780613603364e-12
82,1.36871337890625e-10,1.3340755001461415e-12
83,1.42333984375e-10,2.685546875000008e-12
84,1.54693603515625e-10,1.8770171282570515e-12
85,1.50390625e-10,0.0
86,1.5380859375000003e-10,2.9296875000000004e-12
87,1.4990234375e-10,3.621190667527176e-12
88,1.412353515625e-10,2.363881436894165e-12
89,1.5740966796875e-10,1.4533546020252206e-12
90,1.48468017578125e-10,9.529110715329595e-13
91,1.5301513671875002e-10,4.21761320833901e-12
92,1.5869140625e-10,3.452669830012424e-13
93,1.62353515625e-10,2.9600477668413415e-12
94,1.5948486328125001e-10,2.363881436894103e-13
95,1.6284179687500003e-10,5.021231396778109e-12
96,1.58203125e-10,0.0
97,1.5533447265625e-10,7.696240364330208e-13
98,1.6064453125000002e-10,1.9531250000000046e-12
99,1.673583984375e-10,1.4800238834206708e-12
100,1.4767456054687502e-10,8.27358502912961e-13
101,1.5093994140625002e-10,4.844515340084068e-13
102,1.5829467773437504e-10,2.7633157237768393e-12
103,1.6622924804687502e-10,4.117838039071477e-12
104,1.6033935546874997e-10,1.654717005825922e-12
105,1.6571044921875002e-10,1.0047654805391976e-12
106,1.55487060546875e-10,1.1316220836022448e-12
107,1.57470703125e-10,6.459353786778843e-13
108,1.5490722656249998e-10,2.906709204050454e-12
109,1.497802734375e-10,4.254986586409522e-12
