,HEBT:XCB2:CUR,HEBT:YCB2:CUR,HEBT:XCB5:CUR,HEBT:YCB5:CUR,HEBT:XCB8:CUR,HEBT:YCB8:CUR
0,0.6131365794707115,0.6097962198072063,0.6082307047368841,0.3020756716972674,0.09880718982999319,0.461078715412633
1,0.3572227384903864,0.3749784035629303,0.3649840138967893,0.35724704358481196,0.26143687787254133,0.3074506555481898
2,0.35107562946110277,0.36541218424525695,0.3579928326621954,0.3516963667438646,0.24833905679358853,0.3050710026754912
3,0.3469546559973604,0.3577534707431692,0.35282424569481685,0.34753873476798075,0.24971315395714166,0.3035314672361964
4,0.34061942615696617,0.3544072713371105,0.34823114460802573,0.34471752246689236,0.25300505665837564,0.30171681758147084
5,0.3382000945955881,0.35053414753519674,0.34556452257942194,0.3420318539967737,0.2549720844872241,0.299473254221408
6,0.33556686110508027,0.3479857977515323,0.3425578276114965,0.33934862530756377,0.25660976849516504,0.29907233522407867
7,0.33400466476042895,0.34617439832650654,0.3401984203549381,0.33708169217994255,0.2571947197617292,0.2984520845119627
8,0.3326928568832508,0.34472688189320194,0.337654568714869,0.3351655043563023,0.25774642068547093,0.29843755570178
9,0.3310721469644329,0.3433995163184361,0.3358195972590254,0.3344547528405337,0.2586570615752714,0.2971814022824729
10,0.32991611708435226,0.341509107394692,0.3348497166384487,0.3334664492027565,0.25866327455905197,0.2971401356346283
11,0.3287504777971961,0.33998494736949875,0.33373795947851725,0.33269099506162464,0.2592778064321695,0.2966841075274511
12,0.3277285392806081,0.33906409139036625,0.3328544421854279,0.3315926146387654,0.2594082505884029,0.29658411833436804
13,0.3270580375839798,0.33822792161283477,0.3318681202544501,0.3307160154027608,0.25969187542428357,0.2961918001679418
14,0.3263185624671201,0.33725983233771084,0.3312167147337997,0.3300227747889833,0.2600230828252923,0.2959310947098761
15,0.32579284840009504,0.33656057454469684,0.3304210858490228,0.3292900953332657,0.2604172736813951,0.2957317148676362
16,0.3252368677551334,0.33592661602771234,0.32971638244577756,0.32882632605164586,0.2606784269761982,0.2955163167039574
17,0.32465381221137696,0.3352501983321468,0.3291220415202195,0.32836400833435203,0.260737021688209,0.29534992703073415
18,0.3241823261724496,0.33467539524222967,0.32863885499679035,0.3278968525341527,0.2610384990000386,0.295330137555137
