,0
0,3.6035156250000002e-09
1,3.7255859375e-09
2,1.7578125000000002e-10
3,2.1728515625000003e-09
4,1.1230468750000001e-10
5,1.953125e-11
6,2.8369140625e-09
7,9.619140625e-10
8,3.5986328125000003e-09
9,6.640625000000001e-10
10,1.025390625e-10
11,6.34765625e-11
12,2.1484375e-10
13,4.0185546875e-09
14,3.8037109375e-09
15,4.0039062500000005e-09
16,3.984375e-09
17,3.876953125e-09
18,4.0039062500000005e-09
19,4.072265625e-09
20,4.04296875e-09
21,3.8281250000000006e-09
22,3.3544921875e-09
23,3.876953125e-09
24,4.0087890625000005e-09
25,6.25e-10
26,3.9892578125e-09
27,3.974609375e-09
28,4.0673828125e-09
29,3.10546875e-09
30,3.9794921875e-09
31,4.0234375e-09
32,4.0185546875e-09
33,2.9638671875e-09
34,3.984375e-09
35,4.0136718750000004e-09
36,3.911132812500001e-09
37,3.994140625000001e-09
38,4.0087890625000005e-09
39,4.0039062500000005e-09
40,3.6572265625e-09
41,3.9599609375e-09
42,4.0136718750000004e-09
43,4.0234375e-09
44,4.0283203125e-09
45,4.0234375e-09
46,4.0625e-09
47,4.0625e-09
48,3.984375e-09
49,3.9208984375000005e-09
50,3.5888671875000004e-09
51,4.0039062500000005e-09
52,4.033203125e-09
53,4.0576171875e-09
