,MEBT:XCB5:CUR,MEBT:YCB5:CUR,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:XCB9:CUR,MEBT:YCB9:CUR,MEBT:YCB11:CUR,MEBT:XCB12:CUR
0,0.1369694463135247,0.0887907135864434,0.30353756759333195,0.46028927841829637,0.39391555187442967,0.43176832242915847,0.5056192112344187,0.41133802428271743
1,0.13362172323172564,0.08733010897513713,0.3073345916864988,0.5093128610992782,0.40932724576720797,0.43648101236284903,0.515689683441578,0.4142204622181509
2,0.1329139203960324,0.08702424848499736,0.30770253926413405,0.5202108144800861,0.41528390712306873,0.4566098586436912,0.5270222785168437,0.4430344640234383
3,0.13190978357962407,0.0871622116921694,0.3073802875905264,0.5359674208963939,0.4306318939284629,0.45805160583474025,0.5358578306914323,0.46675840869453966
4,0.1326279793276636,0.08725657465571539,0.30619041991878015,0.5522160233153197,0.432876642877539,0.4639316334169128,0.5399345486219889,0.4651666847701482
5,0.13197882842624764,0.08571589400121411,0.32195496685003433,0.5639879340348946,0.428853244859586,0.471462456919346,0.5447185657740893,0.4668162366719357
6,0.13013222988092352,0.0844131134590037,0.336870593162654,0.5837747754924916,0.4327361797905929,0.48014634131436695,0.5509986899176824,0.47166728781206757
7,0.12178456181913072,0.08319028841935344,0.4104895023715065,0.6293304404636807,0.4583435248483363,0.5132829849136219,0.5205299158544555,0.5154943148940554
8,0.11815510588545367,0.08109835996781953,0.473913471496698,0.6396910640353158,0.4629983393791277,0.538306135394045,0.5238549991209478,0.5277338015223538
9,0.11716090811821846,0.08008667071112405,0.47966754636674735,0.6535420239340157,0.4855374332295796,0.5379676511118506,0.5250344350104342,0.6150883904617687
10,0.11935446747029602,0.08054088324498469,0.4824102981823771,0.6937016258101438,0.491097164518428,0.5353240980392767,0.5422705497932072,0.6247833769210787
11,0.2827014093734639,0.14168344311477563,0.3493911235855228,0.40808286207970446,0.4077670989986396,0.36277217319745175,0.420851298630873,0.40939254452062473
12,0.10948967290301313,0.08078612165752629,0.5545201140032683,0.7312534103937367,0.49600103115796756,0.5433368601196331,0.5402586024683634,0.6253027623554342
13,0.11368200709773683,0.08636812875327307,0.41684432847463015,0.6789423315997407,0.424261391877218,0.46072849687052736,0.568456141899705,0.6420893539824161
14,0.11546005645448111,0.08729508099923053,0.4429436505689149,0.5968471578038951,0.4825069575009257,0.4931859775327873,0.5301729672624597,0.6019924144958302
15,0.11580735687353269,0.08396573302005303,0.4615844976130137,0.6877370654340556,0.5512332764573085,0.4623759553693148,0.5730735308754207,0.6099789041508188
16,0.11555110968947348,0.08383634970883058,0.4611483081006672,0.6978081681304342,0.5653191497937566,0.4721272584198526,0.5899945469811041,0.6111028759805439
17,0.11518297332534538,0.08362731624333232,0.45790145132013577,0.7073681865479882,0.5866987463955609,0.4697718288919134,0.6082771121982655,0.6138269338037855
18,0.11541812818983277,0.08387061050659042,0.46438622342377306,0.7158034112542302,0.6086160503206429,0.44764669053678935,0.6040398537196962,0.6124929201000675
19,0.11126834347969279,0.08171505113782802,0.5414369490091678,0.635806817325537,0.6148984191895701,0.5887893190257532,0.6771005371371096,0.6511287608619607
20,0.11067781676425803,0.08126958449891064,0.5421799559015035,0.6447779522723913,0.6184174710723732,0.608693274689119,0.6843264699738372,0.6689689159353559
21,0.11004239118762918,0.08058966807081115,0.5430113516819627,0.6702518039945204,0.6398353070519274,0.6080723549930672,0.691459694113071,0.6943807737829555
22,0.11021938197517535,0.08040040595074327,0.5452480243871513,0.6771896854858468,0.6446714954175748,0.6159450892160698,0.7019065064400005,0.7012378304612347
23,0.10984292725969012,0.08023797473551782,0.5467085947433985,0.688795436428153,0.6473786204355333,0.6364822471870606,0.7057011038751543,0.7055743256894016
24,0.10987276523033497,0.08015909660951182,0.5523776355146319,0.6959506599785548,0.6536525182263716,0.6431495188043365,0.7106806856841082,0.7116175442594729
25,0.10971516941698341,0.08002599012767964,0.554242173601549,0.6974236171748982,0.6688679496032712,0.6441932936953377,0.7171661209697004,0.7176487233711258
26,0.10938208534332688,0.07962986381266285,0.5555250647428002,0.6975897679674895,0.7065988940582492,0.6671847549470339,0.7152604137486075,0.7183511738325621
27,0.1084712917045977,0.07931440950780852,0.5550113992236396,0.688370748896013,0.7169172797725613,0.666847234482411,0.7396242510691816,0.7122948553099339
28,0.1075366980285881,0.07882099663416975,0.5519783844248249,0.7089741199129114,0.744168827684091,0.66034346287198,0.7417177422435747,0.7171811280573671
29,0.10713669384383488,0.07858919514982389,0.550246950623203,0.7165913045180301,0.7490332870364588,0.6588050665446368,0.7411068315153287,0.721930986924889
30,0.19245376759019145,0.14613114025256657,0.22948713896817224,0.287967806544206,0.3628639385684853,0.2994739170513395,0.3383784172819623,0.305238527175394
31,0.09908292712416604,0.07700340807129694,0.5294132448419249,0.7633023830700105,0.7779351938254667,0.6629387867251472,0.7196501236301346,0.6538190112249009
32,0.20200605980244365,0.15631683932505455,0.30423422372436637,0.3792896080963611,0.44132177959848995,0.3915701010038697,0.4011434598296234,0.37181133715763925
33,0.09835708967429048,0.0763760471063231,0.5297872001374369,0.7794290209087127,0.7823925088303443,0.6652337032536637,0.7217337207038774,0.6559299928628946
34,0.20245521843661118,0.16612853128606817,0.24920411374389684,0.31987624426121547,0.3738494857166575,0.3262114347396814,0.34432648360806134,0.3153217468156494
35,0.18268090100933077,0.1544110212780176,0.2069856696067353,0.27136408526761246,0.33739231736617725,0.2895238888974097,0.2969113363816129,0.26434419235884593
36,0.08650180017352535,0.06861942961707564,0.6260431610129286,0.7847676775129304,0.7477568670828788,0.6843207404842706,0.7740823420389598,0.6625262485273862
37,0.08645304727928664,0.06916047293280328,0.6529945981798979,0.7941126706078759,0.747608908014682,0.6877948397464809,0.7741072639632057,0.6652079530763872
38,0.08630502868468462,0.06925684703738272,0.660484416494429,0.8015108035065407,0.7598991137623071,0.6870981904052837,0.7716130628079964,0.6797885246637564
39,0.08599735881958734,0.06899498973555512,0.7115701839786324,0.8076993213070612,0.7605201441950987,0.6814320414475176,0.7792816763220123,0.6848674040213842
40,0.08567617939360517,0.06878724548337793,0.7143818137605781,0.8166943451931962,0.7702365648821516,0.6839184444119645,0.7824663437841105,0.7038762014300266
41,0.0848592809884473,0.06885254721984385,0.7128230394299907,0.822429227378636,0.7798035410257347,0.6790588423949189,0.7993877940963522,0.7101927903965707
42,0.08456509365694266,0.06871205021260375,0.7160827264118316,0.8205136624872347,0.8111708282241943,0.6706141603087286,0.8077657949585716,0.7181216370510761
43,0.0838272423104857,0.06855738294488611,0.7157449601950702,0.817680633485731,0.830722056958844,0.6992721547256235,0.8133670458446363,0.7262108070479472
44,0.08344860115767859,0.06854096604289159,0.721401997201891,0.8202517611141602,0.8388621896389157,0.7013429398640545,0.8200031961558834,0.7349641257954271
45,0.08487416679145952,0.06909496503858964,0.7253517866734676,0.8208677666922936,0.842584490121429,0.7076846944877633,0.8286558193487681,0.6926187263640019
46,0.08482961188693079,0.0690505094762137,0.7273129132145807,0.8227379775601292,0.848957555153452,0.7125232400737941,0.8324540819497147,0.6960047752063665
47,0.08448536951386316,0.06902723464006995,0.7340321604257152,0.8297660594328091,0.8558161964624874,0.7141713375913195,0.8365090357982984,0.697831099691573
48,0.08408423176567137,0.06889836812747213,0.7415635817946641,0.8345771564790359,0.8643723165939965,0.7157506233121399,0.8309460975503533,0.707141418688587
49,0.08396775560334309,0.06893976540835842,0.7476700548653396,0.8267864216622123,0.8713207113408808,0.7196900524406362,0.8334724907658706,0.7058794911701239
