,HEBT2:XCB2,HEBT2:YCB2,HEBT2:XCB4,HEBT2:YCB4,HEBT2:XCB6,HEBT2:YCB6,HEBT2:Q1:CUR,HEBT2:Q3:CUR,HEBT2:Q4:CUR,HEBT2:Q5:CUR,HEBT2:Q6:CUR,HEBT2:Q7:CUR,HEBT2:Q8:CUR,DRA:Q1:CUR,DRA:Q2:CUR
0,0.32553631231608443,0.221826117453288,0.36231624215899205,0.3540112736803968,0.4935215681123559,0.31161185661843904,0.20823168330741118,0.2100147623516005,0.09947453940325775,0.4235799492563128,0.18016041084183632,0.1427448784031751,0.1930073264666394,0.13739136808354305,0.13212856862200678
1,0.3359452472040955,0.23272822102145468,0.3721935594556349,0.3645107487849062,0.5008359771786285,0.32503192040748285,0.21915170859676045,0.22240016005957605,0.11346731950858842,0.43304355584635834,0.19417075067119574,0.15458082012818522,0.20384276417900546,0.1485827057357071,0.14203200643524058
2,0.3460037265417424,0.24358017372191682,0.3817756135453662,0.3743322362866902,0.5073472558883914,0.33581945189752077,0.229915072193712,0.23355083746568686,0.12254908983593256,0.4420989589780505,0.20483258193351803,0.16505075972177088,0.2148334802752648,0.15849508568448967,0.15233589969239902
3,0.35590903397191853,0.25387397325927624,0.39083936287415333,0.3833974296931947,0.5137116391883897,0.34581334654091983,0.2403863667990179,0.2440490189029006,0.13209770069970092,0.45000743979859753,0.21532772034126776,0.17503327935678428,0.22641786050392837,0.16926894765394224,0.16299289090803964
4,0.36532288031481996,0.2638080664170704,0.3996246446922945,0.3924888888768949,0.519444846206338,0.3555911816782128,0.25072197457734136,0.25492903137065925,0.1412661894591351,0.45750883693300426,0.22538904970257342,0.18570722113705165,0.23726999489972128,0.17977687023442784,0.1725664475097383
5,0.3336000847876404,0.3418686335595032,0.32765078146569737,0.32816945980286394,0.3040836929976413,0.3352937990676665,0.3406948899017305,0.34158024289780686,0.3043230822484342,0.31654258743513525,0.3390018948483095,0.32796466464409463,0.3399080933398477,0.32742746297305303,0.32400969502995136
6,0.34179283918344855,0.3440079169926,0.3379994572608063,0.33820257857439157,0.318637708189969,0.34271697518958116,0.3426375729832188,0.3433869591992012,0.3150821362752433,0.32984532217238205,0.3407450321633516,0.33219954436892163,0.34156135398391807,0.3316978369816598,0.3292276381405618
7,0.3367044565336681,0.33579933961925806,0.33661024859028243,0.3367271702980376,0.3375857213269471,0.3369396411610513,0.3356926137579832,0.3358148274533313,0.3353515423468125,0.3372752164088316,0.3358172589380015,0.33562234753018677,0.3357810923705857,0.33572979011587883,0.3356372011292893
8,0.4000396278242899,0.3012285341827148,0.4318792201369717,0.42628637878253084,0.5420573421311672,0.391976990001563,0.2897333814075319,0.2926881376272806,0.17668154824055726,0.4856860993473897,0.2639839649664077,0.22393937720104823,0.2773963773578595,0.21773027909249965,0.20963997400348475
9,0.33644310788689546,0.3363279974015962,0.33638538518587896,0.3363197425285656,0.33708550790382336,0.3365639927661385,0.33619732452482504,0.33630055938214287,0.33296872977533143,0.33684196630765806,0.3361919798944954,0.3353275166969595,0.33616374901959656,0.3352747100683813,0.33501235119320383
