val_run_idx,condition,seed,t_peak_observed,t_final_bois,wall_seconds,run_dir
495,surrogate_mean,0,0.5461967417660812,0.20796966989199944,,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment/bo_runs/run_495__surrogate_mean__seed0
479,default,0,0.5432192365644217,0.3484519387468234,,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment/bo_runs/run_479__default__seed0
479,surrogate_mean,0,0.5432192365644217,0.20796966989199944,,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment/bo_runs/run_479__surrogate_mean__seed0
693,default,0,0.5083349683112248,0.47594029385495196,,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment/bo_runs/run_693__default__seed0
693,surrogate_mean,0,0.5083349683112248,0.20796966989199944,,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment/bo_runs/run_693__surrogate_mean__seed0
517,default,0,0.4831329768060294,0.20796966989199944,,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment/bo_runs/run_517__default__seed0
517,surrogate_mean,0,0.4831329768060294,0.4681226403113497,,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment/bo_runs/run_517__surrogate_mean__seed0
170,default,0,0.4720837119370987,0.20796966989199944,,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment/bo_runs/run_170__default__seed0
170,surrogate_mean,0,0.4720837119370987,0.26360081099633703,,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment/bo_runs/run_170__surrogate_mean__seed0
255,default,0,0.4695618912069371,0.43087457577932353,,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment/bo_runs/run_255__default__seed0
255,surrogate_mean,0,0.4695618912069371,0.20796966989199944,,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment/bo_runs/run_255__surrogate_mean__seed0
