val_run_idx,condition,seed,t_peak_observed,t_final_bois,wall_seconds,run_dir
263,surrogate_mean,0,0.5480509887075427,,12.840524673461914,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment_update/bo_runs/run_263__surrogate_mean__seed0
495,default,0,0.5461967417660812,0.42278705353829527,162.34195852279663,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment_update/bo_runs/run_495__default__seed0
495,surrogate_mean,0,0.5461967417660812,,13.117869853973389,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment_update/bo_runs/run_495__surrogate_mean__seed0
479,default,0,0.5432192365644217,0.2778591100717699,135.80172491073608,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment_update/bo_runs/run_479__default__seed0
479,surrogate_mean,0,0.5432192365644217,,12.726134777069092,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment_update/bo_runs/run_479__surrogate_mean__seed0
693,default,0,0.5083349683112248,0.47179243641501595,176.00138425827026,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment_update/bo_runs/run_693__default__seed0
693,surrogate_mean,0,0.5083349683112248,,13.252912282943726,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment_update/bo_runs/run_693__surrogate_mean__seed0
517,default,0,0.4831329768060294,0.4378094400291187,137.02383685112,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment_update/bo_runs/run_517__default__seed0
517,surrogate_mean,0,0.4831329768060294,,13.298027992248535,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment_update/bo_runs/run_517__surrogate_mean__seed0
170,default,0,0.4720837119370987,0.3342699465174346,108.89579153060913,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment_update/bo_runs/run_170__default__seed0
170,surrogate_mean,0,0.4720837119370987,,13.165690898895264,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment_update/bo_runs/run_170__surrogate_mean__seed0
255,default,0,0.4695618912069371,0.20796966989199944,82.26308417320251,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment_update/bo_runs/run_255__default__seed0
255,surrogate_mean,0,0.4695618912069371,,12.796414613723755,/mnt/c/users/alexa/onedrive/triumf/bayesoptr_research/bayesopt/runs/bo_experiment_update/bo_runs/run_255__surrogate_mean__seed0
