,IOS:XCB1:VOL,IOS:YCB1:VOL,IOS:YCB1A:VOL,IOS:MCOL3A:MOTOR,IOS:YCB3:VOL,IOS:YCB4:VOL,IOS:MCOL3B:MOTOR,IOS:YCB6:VOL
0,0.33790598303810004,0.3664909704413286,0.3515759983677781,0.42819782243861587,0.42865818514276943,0.29944092745827805,0.054731940804715364,0.4046465931911604
1,0.33584052908123796,0.33659447084479877,0.3519837543704023,0.37022434846391905,0.3692544784397827,0.33905809911156737,0.17982485098447828,0.3533391726200664
2,0.3283084353770533,0.33199336012035124,0.3493299101581433,0.3650522941086505,0.3697279895015207,0.3390691127800436,0.18438868182583082,0.34709543040078844
3,0.3277236364619309,0.3313974412185937,0.3492438937713914,0.365126018408396,0.36281534556690315,0.337205756181296,0.1897204464234849,0.33696708148468496
4,0.32706300490642093,0.3233178808050026,0.3453940637754659,0.36520891935262434,0.3645404873952825,0.3338417932320552,0.19105279419860602,0.33779089917675625
5,0.32723978251347824,0.32125069694580444,0.3346339955914693,0.3660486445962837,0.36607572096684887,0.3315596037202125,0.19241035523926053,0.339632694721378
6,0.3247257630393577,0.32160249289723614,0.3322685210218265,0.36851847537345156,0.3659178253226185,0.3234696910281247,0.19299959238074726,0.3412360153834346
7,0.3247260470993764,0.31784878826584223,0.33292347727311805,0.36973317976523756,0.36056702523327505,0.323392174312227,0.1925995030765176,0.34248960422747743
8,0.3204422220346002,0.31589998868183744,0.32967132150211104,0.3724554768778732,0.3621870736096363,0.32160692075768965,0.19243623895120315,0.34345136302574814
9,0.3203141404188512,0.3127719247032247,0.3300535823293299,0.3736226119092837,0.3609257797728702,0.3205217397304605,0.19180058806792688,0.3430952703756335
10,0.31700577806934394,0.3111740958714909,0.3305106739612338,0.37464072489829203,0.3627824141829192,0.31807158434843547,0.19218238351334083,0.34001131188651257
11,0.3177586050048307,0.31168825020929897,0.3290781152606142,0.37702341531630323,0.36625949582924544,0.3084883165787893,0.18912157141365912,0.34207893242636694
12,0.3097453136319489,0.3097266975268047,0.32995265476357377,0.3796403417842632,0.36872597998055295,0.30787505063748277,0.18907493126816138,0.3413741280037032
13,0.3104574177278722,0.30163623551291874,0.33082960200666794,0.38273463121876883,0.3709754626957661,0.30597208472243576,0.18727168598826993,0.3422384688026484
14,0.3048511578009329,0.30208272410140496,0.3329893482323769,0.38638011082873797,0.37036168134264835,0.3007933573563789,0.18547784768720826,0.3447437420105277
15,0.3049753874600411,0.29456885798368077,0.33442502127638873,0.3894225186604702,0.37019566079225513,0.3005804461053861,0.18504982221239283,0.3445600956016612
16,0.3054214623833064,0.2955186793498696,0.32818614059021356,0.3913704638697828,0.37100321659362057,0.29904510296500536,0.18374748258615756,0.3450135990324269
17,0.30560251826440377,0.2963561984230703,0.326358982542462,0.39351443381405543,0.3722536618263087,0.29825279385955056,0.18069087448289767,0.34476763588050396
18,0.30347340860806576,0.29465257302266196,0.3240171931314387,0.3958815222147498,0.3709280531633623,0.2993805936662718,0.18009632134696063,0.3474177016464691
19,0.30445827427467165,0.2949235732102584,0.32668593276480845,0.3988579131839233,0.37325565454400267,0.28651356775660025,0.1784431329271093,0.3468242539288675
20,0.2960242706680919,0.2922432724477014,0.3287711478779539,0.40011105126482555,0.376188221132544,0.287850755830825,0.17830091044959998,0.3456981890255908
21,0.2953757616760043,0.2828850777598737,0.33131138962632156,0.40370646416803124,0.3784792575571364,0.2862472479235154,0.17598167614810273,0.3477073071893812
22,0.2942948037753482,0.28257832667886995,0.3331812924991281,0.4065549450448137,0.3787031882195131,0.28226571679511386,0.17265466894874107,0.34832034770130615
23,0.29489990306315567,0.2824756189925577,0.33443430579315087,0.40907465466866044,0.37906180446805327,0.2781190215612844,0.1692138013574236,0.34871046373728565
24,0.2895092555530822,0.28273558983650365,0.3280491674962538,0.41176019693654964,0.38177573341898746,0.2793391719482919,0.16904174418283616,0.35073095268752563
25,0.290036409780874,0.27709494135030593,0.3241864182946025,0.41292559095166714,0.38248142590866974,0.28131040983965727,0.16854642658572105,0.35348012402183865
26,0.28454834267943224,0.2776750316146534,0.32320638702571736,0.41523720652445006,0.38515764767718846,0.28090456202587805,0.16612961086469596,0.3548977966964424
27,0.2832842523352857,0.2782502304617557,0.3233335176705451,0.4152873070738496,0.38623643053614887,0.2772973658044945,0.1651645659471208,0.35601723366840576
28,0.2843721248122642,0.27902099077364284,0.3201010462278956,0.4147533390144271,0.38842014264555946,0.2791413846740217,0.16527596403961609,0.3486230847923707
29,0.2832811256878545,0.27996555932468625,0.31911710169603563,0.4150877877563601,0.3881410280773162,0.2772490094958429,0.16395815400306477,0.3504654018506505
30,0.27910707600037926,0.28062118691188137,0.3192255636324069,0.41722761382047424,0.3871920452050384,0.2772562921010265,0.16244930620368211,0.35139880955901875
31,0.2804648608965971,0.28103243993238425,0.31941179760164995,0.41960498672339974,0.3899328962643304,0.27236743315410256,0.15984542667217688,0.3465889541664192
32,0.28125743545985493,0.27893720751139955,0.32167950068473916,0.4232374450607292,0.3921869353649469,0.2657864876011613,0.15596717554275452,0.34437005435323265
33,0.27411976782463165,0.2745033077500392,0.3216717254002059,0.42589658256875784,0.3951962148968511,0.26721659881923465,0.1550679024545677,0.3473509012403762
34,0.27261190780456734,0.2737647784616912,0.3215747423054633,0.4276725741349741,0.39624371834625643,0.2652723470413055,0.1513941818776624,0.3490591450141792
35,0.27088869029293794,0.2732268134472408,0.32114231855184566,0.43098606231618375,0.3981336331669732,0.2615570453828472,0.14661524086590993,0.35129070923513045
36,0.26949446470235666,0.2734628143406974,0.3225861780055224,0.43344449497536347,0.40114255810375926,0.2566016517864686,0.14103258686493467,0.3503928944382717
37,0.27317866450554423,0.26296965716481013,0.32494570701287995,0.4306158705495048,0.3946115083174218,0.2614661352957081,0.14693862119859297,0.3530984409394869
38,0.2724842242800497,0.2642647794217527,0.3213555821152473,0.43220871410203215,0.3961579840397689,0.26200915608055725,0.14518643443259166,0.3507935830714798
