,IOS:XCB1:VOL,IOS:YCB1:VOL,IOS:YCB1A:VOL,IOS:Q1:POS:VOL,IOS:Q2:POS:VOL,IOS:Q3:POS:VOL,IOS:YCB3:VOL,IOS:YCB4:VOL,IOS:Q4:POS:VOL,IOS:Q5:POS:VOL,IOS:Q6:POS:VOL,IOS:YCB6:VOL
0,0.4123461133144199,0.3790520759602825,0.397511137704209,0.09328708910236423,0.17918824499930341,0.4537339902208245,0.3831873733678861,0.395562114656496,0.5223962306865779,0.36843086557388943,0.47902791291403324,0.37971299853660156
1,0.3347989287373734,0.33137328907425967,0.30597770089989945,0.23896292976416322,0.17231785175561146,0.29876613644829864,0.3439835293564412,0.35685123552658987,0.3830719557783821,0.3375039478592317,0.4039445358128215,0.3571795455589355
2,0.3349780125218284,0.34220304105565924,0.30510081655389887,0.3559276700790853,0.14434004802772216,0.2976407948878734,0.37213891709410385,0.36506273214724444,0.38456044524620075,0.341739698011855,0.4136700288795667,0.35938637900507964
3,0.3045117635629841,0.3632030031938739,0.347657996414655,0.4660811706872333,0.07727908316164088,0.33217917941888964,0.39306871227591245,0.3567325899090027,0.4016813058299928,0.3509360457450399,0.45468863257415354,0.36320907864854696
4,0.2784531580896971,0.37089219914124777,0.383875750253549,0.40323425001492713,0.04402298646857709,0.3096422424143012,0.39396684439273877,0.33878559045077655,0.33633186343960925,0.352092536328183,0.44486219807015104,0.3543596265459182
5,0.2837751763624062,0.3716532178148095,0.38757571629181475,0.4041369868621683,0.0477039137067912,0.3173442260870524,0.3965538050359576,0.3417629637638411,0.3262457211310051,0.3526538633391237,0.4388871297288981,0.3553040216586996
6,0.28128298581321143,0.37007849907816903,0.38585167732429737,0.372693134431421,0.04354805076283737,0.318109069870086,0.3885646361271038,0.348172867564904,0.3441446384500608,0.35110723980477854,0.44128239419600235,0.3486449811224307
7,0.2884265519108828,0.3999119315065731,0.3931732044674019,0.39620354993416396,0.0404911323427685,0.3729367303475165,0.3883082888753371,0.33622949870867486,0.380310164925576,0.3591578758942962,0.47217684388921455,0.36173432560780694
8,0.3023891883492927,0.3889556905253376,0.4008383881328657,0.4389488401606423,0.039737802769459686,0.40829536337579114,0.4054691332588519,0.34871458679967554,0.4057844899623953,0.3612217171373415,0.49019847505135683,0.3684427004017054
9,0.31016579776379816,0.4241961266632428,0.4164878364694045,0.4697429391095559,0.040609831628993696,0.41344506261672526,0.43618816737294724,0.40091614668816744,0.433392623519969,0.3630448249892188,0.5027671962102302,0.36861159741549937
10,0.283557757205526,0.4973342471474626,0.4259387812095949,0.4266192619864846,0.045885533377785274,0.31882294430655816,0.47645462275867223,0.5052515570529404,0.4490436760215044,0.3514033243154733,0.4715177338943485,0.327447695917643
11,0.3436627084783623,0.5052528889700116,0.43217194112084334,0.44941377800242466,0.04543240688101261,0.3469235623096182,0.49521017102960413,0.5402244613368773,0.543592338204449,0.35439827898450876,0.5185003707270884,0.3556022309721884
12,0.4105500620108781,0.5080428158862259,0.445536400889444,0.41734835250530555,0.04728157685350187,0.3810010922752388,0.5014681404615302,0.5427506063126076,0.6285761738262469,0.35657540886860417,0.5418514293151162,0.3844615640023021
13,0.4131199613732634,0.5146648192305595,0.4736391414550922,0.45521418157889537,0.04676936076660033,0.38220506729079584,0.5073847257417659,0.5530068459647833,0.6380509524147666,0.3657667426939615,0.5493261989063475,0.3878640304573914
14,0.296128803014007,0.44019323963593826,0.4318935544737202,0.4582214411015215,0.04853756612794079,0.4155478875118977,0.513130437387574,0.5145796276946384,0.6253142999861708,0.33628575710983555,0.35804388171186585,0.37018599084428583
15,0.35890937126428235,0.41976932661905997,0.42760607091260827,0.5161965684292726,0.06296709075084245,0.4830382109874951,0.5345927447680597,0.498670723076563,0.538103364598636,0.3303040668768322,0.13376246895664426,0.411075020911429
16,0.3538155624280718,0.43074255297230335,0.42784021616291246,0.5190756356286486,0.061557023985757346,0.49179575083871285,0.5338128987224569,0.49912251321908674,0.5423135531561498,0.33108816633327376,0.13557300785331083,0.41161238139142714
17,0.3610384882301131,0.4426961027438632,0.3998130435045394,0.5295707316703729,0.06602379912283046,0.5135621780766847,0.47354747890413984,0.4808920259824375,0.5569477075745688,0.16486543771768813,0.1391347684862251,0.35714998235900797
18,0.3925116720609381,0.4585134756356605,0.4541511332649404,0.568484686588989,0.07010721793024194,0.5213619884174983,0.5406257028610378,0.5004625760113678,0.5309452243746982,0.22340187918315324,0.13324738604703482,0.43692556496557855
