,HEBT2:XCB2:CUR,HEBT2:YCB2:CUR,HEBT2:XCB4:CUR,HEBT2:YCB4:CUR,HEBT2:Q5:CUR,HEBT2:Q6:CUR,HEBT2:XCB6:CUR,HEBT2:YCB6:CUR,HEBT2:Q7:CUR,DRA:Q1:CUR,DRA:Q2:CUR
0,0.473924620142671,0.42213347527138945,0.42941541802137556,0.47915797525006554,0.5123555094527841,0.23530311300618995,0.4267902222706523,0.4562300725770194,0.38038458347339654,0.3895157744195885,0.10402467402371766
1,0.4835463195703127,0.42921468097380866,0.43960616676005987,0.49418027228927514,0.5233410173263182,0.2557073126995032,0.43628691144859105,0.46481188659841166,0.40322694984306295,0.3939292151588755,0.12160126437168137
2,0.3381082876913095,0.2828505372355957,0.3534724813041525,0.3604107035753477,0.3558876072334532,0.3296759903468366,0.2993980202184557,0.33971523893685557,0.3555344615253642,0.266794599540635,0.27402309963384713
3,0.4182796659832986,0.37960300057629853,0.40969994787130326,0.39579627160153347,0.44959540769660267,0.3501893703980757,0.36981737903437895,0.39442281460455086,0.41130206892743626,0.08692103731183969,0.25304809521969573
4,0.40988690336942907,0.08803075686927865,0.3985163337640584,0.26167880490838835,0.47481505713182,0.3759063493363805,0.3539674767015736,0.31646093683249515,0.3706015909779614,0.3924175250060429,0.2968684545559152
5,0.40743050047365403,0.08883761074883631,0.39646674067844484,0.25178929616910245,0.471300710762603,0.3761753685256445,0.3488706360842837,0.31321475782133834,0.3603296218047071,0.39108241949073597,0.2916310234971905
6,0.43904014203145836,0.08797311638396427,0.47856423042578333,0.24543281525646937,0.47760923126469235,0.3837251920269801,0.3461062562784211,0.3174539998682654,0.3601657073547826,0.4116761806292751,0.28507802501240653
7,0.07495028008748163,0.35798098345107554,0.17272265435226766,0.21484069308473677,0.4307627772042878,0.41177604869028583,0.39864329437025686,0.3907325273782514,0.4886094980043392,0.33126438690409965,0.2907195558207952
8,0.21202680900741527,0.33344630458124896,0.24218524532927677,0.3911855082665798,0.39511312737268317,0.3824910194299746,0.3374685400448904,0.35896175890859944,0.39178595049893183,0.30404629411458106,0.31389438810459563
9,0.28961478034921184,0.33990671298455843,0.29720877353359026,0.38593799384034333,0.3660302694251222,0.33149481314424045,0.3094175300991456,0.3449857891910244,0.35180977572158134,0.32515929410477584,0.30741196331792664
10,0.3099530805950285,0.3372592141176588,0.31387645315887164,0.38527119250343617,0.36188396716010324,0.3343452697717323,0.31310865148229583,0.3283244980819109,0.3419927538591261,0.31610543283414616,0.3090290013556126
11,0.30356880077991416,0.34086152898480243,0.33168433020396504,0.3762374383350848,0.3607199941052801,0.34159011453172244,0.30489194751439985,0.3287133848516535,0.34352680574225375,0.32512858830938496,0.31267799131444995
12,0.30158255773756487,0.3368345553259712,0.3200756219313747,0.38492030878299693,0.3655389738884423,0.3518890699907194,0.2940969801348657,0.3266328590351981,0.34964743053562997,0.31621670912892513,0.31428125482938957
13,0.30174238204409093,0.3360341799093579,0.31780929924409795,0.38857628573169695,0.3660192337544664,0.35457409743145907,0.2907731333425337,0.32602356034072594,0.34994149094799065,0.31436959326826475,0.31386019524373643
14,0.29298707780916133,0.3334767703957253,0.3094611711399802,0.39120435030439527,0.36858023779596627,0.3586858133441152,0.28129015997415946,0.3242681375894101,0.3537216955569194,0.3072693330725409,0.31490348186887807
15,0.2797797197427037,0.3313850341600747,0.30094912000637686,0.3943610616125176,0.3703084302957041,0.36346582710511666,0.2730836713035201,0.3222529536984823,0.3564588508869502,0.30102407765700345,0.3157063330901994
