,HEBT2:XCB2:CUR,HEBT2:YCB2:CUR,HEBT2:XCB4:CUR,HEBT2:YCB4:CUR,HEBT2:Q5:CUR,HEBT2:Q6:CUR,HEBT2:XCB6:CUR,HEBT2:YCB6:CUR,HEBT2:Q7:CUR
0,0.35486819321890245,0.41165822405600794,0.4084728144912745,0.15175885525673072,0.45809602289370016,0.3344462900251922,0.2625651195730085,0.38136651404115707,0.3344462900937616
1,0.3346533612176027,0.3441910786484861,0.33127978064584196,0.2156093588707605,0.3645999385760296,0.3344473690900598,0.3459260740512734,0.3410803978273115,0.33444723225427253
2,0.33298848061790254,0.3459227190249343,0.3168750432698145,0.20384639469366966,0.3706358137717393,0.33444279840514385,0.33743432850990807,0.34630228539860614,0.3344425830835002
3,0.33085910855485545,0.3428697382674988,0.33905545808107995,0.2355793355675176,0.3609240909959065,0.334445978123981,0.35201444411875416,0.33909456548996425,0.3344458786301843
4,0.30314698685096264,0.3379895603017936,0.34236434014201345,0.25495033689180197,0.35312398479553675,0.33444432492525533,0.3528496983327605,0.3359293468431638,0.3344442698680581
5,0.2951309743019564,0.333990272470161,0.34325417839447997,0.2749712531962094,0.34871241267577535,0.33444996494164597,0.35131773405697586,0.33422005010104483,0.3344499337212712
6,0.3071526947873903,0.3342614803200278,0.3372348759145637,0.2899488639987522,0.34613430378635524,0.33444242720168704,0.34374355841456883,0.3333771637887691,0.33444240684895027
7,0.29849588812757993,0.33453568184213406,0.34442601887528146,0.28017997361008407,0.34737517657608163,0.33444253675927504,0.3485983701666486,0.33556036035721515,0.3344425113403745
8,0.29420746994643887,0.3345803325864898,0.3469722559978696,0.2754515742666259,0.34756913840116194,0.33444080779210716,0.3506684660039672,0.33656419133759086,0.334440779898319
9,0.29874729553301144,0.3316254202024739,0.3428291894210905,0.2808000004280273,0.34621245026828285,0.3344409928130584,0.3518480307820697,0.3361553615942053,0.33444096869990386
10,0.287652515131862,0.34890141013262194,0.3394159370682751,0.2680522987171995,0.34952629705292104,0.3344395164681082,0.3508220932520951,0.34336348472721345,0.3344394870324764
11,0.278064206703996,0.356668418385467,0.3377146957094364,0.25824220987183877,0.3512528416105124,0.33445375031997854,0.35033633360319155,0.34738319400762757,0.3344537206776278
12,0.2702041515461891,0.36093479610480234,0.3367497763567534,0.2518022750548947,0.35161934412210316,0.33443931578528624,0.34997660321928137,0.349697373783544,0.334439280596906
13,0.26174911546131296,0.36462944782541845,0.33589047393422156,0.2468886748004058,0.3517497595588062,0.3344394081585134,0.34971764206578804,0.35130276844761477,0.33443937229712317
14,0.28178299246861327,0.3686115053712085,0.33534334344490907,0.2544314455613034,0.3485778414502104,0.33443206709582185,0.34760992969537985,0.3355279185053615,0.3344320268671231
15,0.2839991155961399,0.36530514352446314,0.33614521104653267,0.2597588423875881,0.3477432234003733,0.3344398079168251,0.349110354504251,0.3343762833571943,0.33443977377477074
16,0.2803880356297332,0.36640385010067644,0.335807788073934,0.2581736453007659,0.34770479424676115,0.3344461712506057,0.3500709902426735,0.33696712196906825,0.3344461401274357
17,0.27180170435831985,0.3678482538796342,0.334130560124677,0.2574189023447417,0.3479579901762559,0.3344567894278858,0.35186249155538457,0.3403188067893053,0.33445676338123587
18,0.2629146043892054,0.3693394215819389,0.33317888004196383,0.2546526732483163,0.34820600302758786,0.33444916243282785,0.35287382369804343,0.3428754489277758,0.3344491239255775
19,0.02956890812274453,0.37680906637618866,0.34313466722713026,0.33013812435789003,0.37474693076485177,0.3344397080488543,0.12762126124697173,0.30918164064034226,0.33443968372879934
20,0.028087723971731877,0.3751091688142931,0.35102372915634605,0.333959766736607,0.37802614050524497,0.3344582153109368,0.11436053972898978,0.3041147004895338,0.33445822220005406
21,0.028188425841990612,0.3756088011967272,0.35217501914141136,0.33710445354205976,0.37872594602779597,0.33442363400243524,0.11501723182786604,0.3034151905834551,0.3344236401299898
22,0.028109147816324523,0.3732307270799492,0.34835583934141773,0.2898411066413726,0.3763114534806376,0.3344172481775406,0.10160066610570948,0.2953050382033889,0.3344172246347118
