,MEBT:YCB7A,MEBT:YCB7B,MEBT:XCB9,MEBT:YCB9,MEBT:YCB11,MEBT:XCB12,DTL:XCB2,DTL:YCB2,DTL:XCB5,DTL:YCB5,DTL:XCB8,DTL:YCB8,DTL:XCB11,DTL:YCB11,HEBT:XCB0,HEBT:YCB0,HEBT:XCB2,HEBT:YCB2,MEBT:Q6:CUR,MEBT:Q7:CUR,MEBT:Q8:CUR,MEBT:Q9:CUR,MEBT:Q10:CUR,MEBT:Q11:CUR,MEBT:Q12:CUR,MEBT:Q13:CUR,DTL:Q1:CUR,DTL:Q2:CUR,DTL:Q3:CUR,DTL:Q4:CUR,DTL:Q5:CUR,DTL:Q6:CUR,DTL:Q7:CUR,DTL:Q8:CUR,DTL:Q9:CUR,DTL:Q10:CUR,DTL:Q11:CUR,DTL:Q12:CUR,HEBT:Q1:CUR,HEBT:Q2:CUR,HEBT:Q3:CUR,HEBT:Q5:CUR
0,0.3511013428184182,0.3500217221896911,0.3536669020536572,0.3471934214775577,0.3478860715751006,0.34776745148059857,0.34615102414188426,0.3485283541168152,0.34796213385183966,0.3544066925362605,0.35402066126750453,0.3405387549358922,0.3598413998348615,0.34390669306323285,0.3461224212404741,0.3452829437851342,0.34535449413685393,0.3520381972443991,0.3441847232087895,0.3583235193028167,0.3535186390916549,0.3516698357214453,0.35339924261091965,0.34782307068363527,0.3527409367776038,0.3478675132453279,0.34947251548549696,0.34071588581634094,0.3553959949525577,0.3537998464726467,0.3473161843685566,0.34930685291466373,0.35258180399100003,0.35330942436325835,0.3553189156478983,0.3532760413816336,0.34575341107536084,0.34994860216508705,0.3472501320946608,0.3495663035838227,0.349635898014662,0.3465350060299447
1,0.3496355610220455,0.34853320426916323,0.3520520455554255,0.34611569140825504,0.34682551665835915,0.34648935176486545,0.3451793582416783,0.3472922688125913,0.3467080034356127,0.35284987123646006,0.35243497857143874,0.3400577879222317,0.35782029222432593,0.34305073045008105,0.3449994674872217,0.3442443641808604,0.34435864910453184,0.3505326454967443,0.34341221172704833,0.356348536271929,0.35202129993006054,0.35022355553659623,0.3516678400122388,0.3465957095819371,0.35105929298273403,0.3466131484699496,0.34822466684040415,0.34030358981221837,0.35351416015069564,0.3521554851340684,0.3460690166373261,0.3479389681118231,0.351019225987216,0.3516319845768871,0.35355590926504854,0.35166964395976263,0.34476505017026926,0.34853191006739936,0.3461295222920606,0.3483408595104706,0.3483470019505338,0.3454301411735562
2,0.34859756477172493,0.34748459756245637,0.35086317444422543,0.3453344882562846,0.3460454839559852,0.34557034564431455,0.34445438205036666,0.346400169662475,0.345819351821673,0.3517274578355675,0.3512597308778814,0.33956118164427,0.3561595151133045,0.34237645322389776,0.3441809006418018,0.34346987080247326,0.34361088794937394,0.34943297855857963,0.3427927138191129,0.35474908811446165,0.35093079456422316,0.3491696451145079,0.3504063665646194,0.345722400003904,0.34979722224729237,0.3457187814995691,0.3473316750096878,0.33983496694909293,0.3520872314393251,0.35093742427023,0.3451874211679613,0.34696927141115397,0.349899379665552,0.35040495437394037,0.3522144708916052,0.3505055490378176,0.3440372763547233,0.3475134859260188,0.3453179135309901,0.3474793755945845,0.3474258873459116,0.34462225225879267
3,0.3477741994978733,0.3466048407466452,0.3498935566202339,0.3447487096594158,0.3454283077669521,0.3448623273004436,0.34389001175741946,0.34570269525561154,0.34516056503031967,0.35085270709425465,0.35024171399321347,0.33925891075113174,0.3549701374271755,0.34186379863049215,0.3436056189526536,0.3429140268217074,0.3430085871258765,0.34855146344465987,0.34235587681089485,0.3535961733785251,0.3501231036204937,0.3483823735612862,0.3494123834784839,0.3450416308208021,0.3488796901574478,0.34505545411081423,0.34665577268941705,0.3395521314665594,0.35101695121958093,0.3500142922905762,0.34452132695416393,0.34624506136713246,0.34898674668997764,0.3493116406992142,0.351200442093353,0.3495781819604085,0.343532035516998,0.3467097670825935,0.34471670767010226,0.3467245636453887,0.34675331243751134,0.3439790601558388
4,0.3470722127477669,0.34594673854961755,0.34914132586779434,0.3442111958552687,0.3449292813468928,0.34424413064791165,0.3434343947283931,0.3451126610586603,0.3445225581122448,0.3500740979465487,0.3495594005793818,0.338970712017538,0.3538961866789929,0.3414621272911097,0.3430102242643532,0.3423787679117691,0.34256579964796013,0.3478422508199273,0.3419564565080457,0.35255268834509407,0.34933752063560114,0.3476466407718229,0.348581914453685,0.3444544926761118,0.3480033598082425,0.34441905873541184,0.346030003143809,0.3393047782419583,0.3500671205758061,0.3491850033190266,0.34390066927869845,0.3455508597431008,0.34825752233509144,0.3486232979457578,0.3503096987215704,0.3488065884539675,0.34300174215365775,0.3460365628771784,0.34415045337583167,0.34621389593827295,0.3460800122451408,0.34347199543627555
5,0.3465985990637517,0.3454654257718697,0.34860089551355583,0.3438641410125817,0.34458099323566477,0.34383350420796294,0.3431155063657766,0.34471368478569636,0.3441241985036531,0.3495608164841666,0.3490208756640023,0.3387812736069468,0.3531702761989575,0.3411744628375875,0.34265173468038423,0.3420424062460697,0.34223777789967885,0.34734492932620253,0.34169385087478465,0.3518522175844657,0.348846115617157,0.34717583196197055,0.3480088827055819,0.34406149257507573,0.3474431871255889,0.3440195396751386,0.3456284821855539,0.3391302359618587,0.34942795791662673,0.3486377414896355,0.3435042454464697,0.3451143174856343,0.3477442589557506,0.3480569177609482,0.3497107328148982,0.34827564327832,0.34268363419177106,0.34557619718307725,0.3437900379584697,0.3458156667629511,0.34566704095306056,0.343113522909134
6,0.34615043605393125,0.3449957557356238,0.3481070379999488,0.34352004702432304,0.3442428255609055,0.34342762942006666,0.34279447772958765,0.34432750959320296,0.34373316782612123,0.34910190862205615,0.3485322435467813,0.33856476078331815,0.3525240109523322,0.3408695138398881,0.3422903371613453,0.34169866787579656,0.34190084599735543,0.3468821322126005,0.3414182291262347,0.3512262145187539,0.3484080481459314,0.34673964694626735,0.3474690052410665,0.34366942546130586,0.34691906302003706,0.34362706985675223,0.34524531414593573,0.33892844595503324,0.34883395780142773,0.34813665152299167,0.34310887223620445,0.34469242213267515,0.3472666946041286,0.34752833882114,0.34916876959601933,0.34778705583818675,0.34236007949438746,0.3451308178590958,0.34343427942127874,0.34543284695899995,0.34527573357207186,0.3427538137764544
7,0.3457905378736393,0.34465397631730343,0.3476709224886495,0.3432640705048148,0.3439752895324042,0.34312950442872303,0.3425613472975263,0.3440253114383148,0.34344003113649096,0.34867220030266,0.34809282300634603,0.3384241581961913,0.3519110027566543,0.3406709275863551,0.34203020441370563,0.34145636647097416,0.34167054957986576,0.346489441567452,0.3412289391844342,0.35063786187130913,0.34798933485149425,0.34636038421456605,0.34703838253885544,0.3433918665216894,0.34648090001544224,0.34333264630362265,0.34493551878513784,0.33879761347652426,0.34833988564442225,0.3476951955323426,0.34282681357399847,0.3443666881255828,0.34686764985041924,0.34709590950158853,0.3486761823889675,0.34736587943214864,0.34213065115429186,0.34479208430457775,0.3431670815897018,0.34513872147856106,0.344951999431959,0.34249599542499504
8,0.34548768034500754,0.344338623760261,0.3473292606458764,0.343042791183316,0.3437630776610033,0.3428568171313146,0.342360689113851,0.3437711490435041,0.34317918287070615,0.3483569769787243,0.34776385653851444,0.3382812254446349,0.3514052255462634,0.34047444052673664,0.3417862486506128,0.34122672849244057,0.3414553818829195,0.3461739530508314,0.3410570714010105,0.3501530026672203,0.3476846036407195,0.3460583117771742,0.34665327761927334,0.34313262591377375,0.3460966378442312,0.34306942025874954,0.3446823407101879,0.33866760001964397,0.34789836162018384,0.34733693699779244,0.3425626292368281,0.34408008462270256,0.34654242647715716,0.34673777601791755,0.34827990611476267,0.3470279570567982,0.341919849071801,0.34448789713330463,0.34293425319792725,0.34490135958568596,0.34469007882075076,0.34226385500494577
9,0.34522672969314605,0.3440839225163972,0.3470195227054477,0.3428501629492227,0.3435617700390677,0.3426353742778208,0.3421799954197266,0.3435473149789289,0.3429634982643019,0.3480588644595981,0.34744933409825335,0.3381725246485189,0.3509856538382549,0.34031901758901384,0.3415937382648672,0.34104539208903883,0.34127635063988915,0.3458905869704119,0.3409077167989533,0.3497498430633499,0.3473958478709702,0.3457893590795163,0.3463437740598319,0.34292428233997696,0.34578791222631833,0.34285268655425155,0.344456512968955,0.33856216007742196,0.3475495151329744,0.34702685470827865,0.34235404667451774,0.3438431987740845,0.346256321783241,0.3464218437778255,0.3479376084242005,0.3467290582642724,0.34174711264113816,0.34423925837081,0.34273508713632267,0.3446775583819912,0.3444568736868088,0.342066749633328
