d_z,n_seeds,mean_best_recon_det,std_best_recon_det,min_best_recon_det,max_best_recon_det,best_epochs
5,5,26.549067,0.374748,26.103230,27.030788,135|40|146|97|225
8,5,26.498518,0.339791,26.089779,27.020036,293|225|88|45|173
10,5,26.479619,0.323825,26.092373,26.977827,290|152|36|82|81
12,5,26.460643,0.286134,26.174273,26.844678,294|147|26|191|187
