d_z,n_seeds,mean_best_recon_det,std_best_recon_det,min_best_recon_det,max_best_recon_det,best_epochs
5,5,26.206043,0.353271,25.677064,26.682602,62|252|271|246|252
8,5,26.168248,0.342375,25.716718,26.679681,215|210|195|236|192
10,5,26.108342,0.358675,25.627611,26.605407,179|156|154|148|163
12,5,26.132611,0.347523,25.628397,26.637217,176|158|138|202|114
