,0,1
0,1.7603759765624998e-06,4.614885312964103e-06
1,1.3732910156249999e-09,1.9058221430659178e-10
2,1.8026733398437503e-09,3.900404370875382e-11
3,9.7686767578125e-10,8.153319317361523e-10
4,6.346435546875001e-10,2.251750622632879e-10
5,1.217010498046875e-09,6.203617597366027e-10
6,4.25189208984375e-09,4.481223451064895e-11
7,3.005126953125e-09,3.78662109375e-10
8,2.13299560546875e-09,3.4356046458164105e-10
9,1.175262451171875e-09,2.866890077860036e-10
10,4.808807373046876e-09,3.7343528758873865e-11
11,2.8802490234375e-09,8.96244690212977e-11
12,3.0131835937500004e-09,1.03125e-09
13,2.0745849609375003e-09,1.1652016602187601e-09
14,1.650604248046875e-09,8.391461136250166e-11
15,1.3494873046875e-09,1.493741150354961e-10
16,1.8570556640625002e-09,6.9772554504118135e-12
17,1.519683837890625e-09,7.468705751774792e-12
18,1.348480224609375e-09,2.39803509334163e-11
19,1.5488891601562503e-09,1.4388210560049747e-10
20,1.731170654296875e-09,1.8867639216352546e-11
21,2.474395751953125e-09,3.734352875887406e-11
22,1.255828857421875e-09,3.117445621344111e-10
23,9.08599853515625e-10,8.017672887839165e-11
24,1.7009582519531252e-09,3.916790652457986e-10
25,1.4804077148437502e-09,1.0141051364276013e-10
26,2.5740966796875004e-09,5.786076026348126e-10
27,1.8328857421875001e-09,6.977255450411724e-12
28,1.6375122070312502e-09,6.318655080818131e-10
29,1.60595703125e-09,6.1767578125e-10
30,1.6757812500000002e-09,3.3490826161976345e-10
31,1.952728271484375e-09,1.1311172675538632e-10
32,1.88726806640625e-09,2.3402426225252192e-11
33,1.46429443359375e-09,3.996725155569373e-10
34,1.9809265136718755e-09,5.750903428866602e-10
35,2.4582824707031254e-09,1.199017546670813e-10
36,1.39581298828125e-09,3.6769871431238243e-10
37,1.2366943359375e-09,2.5156852288470142e-11
38,1.7623901367187502e-09,2.5065573733336434e-10
39,2.054443359375e-09,9.768157630576431e-11
40,9.502258300781251e-10,4.204121931870723e-10
41,1.023590087890625e-09,5.0123122362633676e-11
42,3.106842041015625e-09,1.142584166144026e-09
43,3.21258544921875e-09,8.153319317361522e-10
44,1.968841552734375e-09,1.7178023229082053e-10
45,1.692901611328125e-09,5.5371090722462475e-11
46,1.33740234375e-09,0.0
47,1.7321777343750002e-09,1.3954510900823448e-11
48,2.5418701171875e-09,2.688734070638929e-10
49,2.589202880859375e-09,2.4646728980856864e-10
50,1.5871582031249998e-09,6.279529905370563e-10
51,1.216552734375e-09,3.120323496700316e-11
52,1.6344909667968752e-09,6.474694752022386e-10
53,9.74853515625e-10,2.808291147030281e-10
54,9.02099609375e-10,1.6872272270995655e-10
55,2.639556884765625e-09,9.037133959647518e-10
56,3.33544921875e-09,4.8339843750000116e-11
57,1.408905029296875e-09,6.916514240799821e-10
58,1.82281494140625e-09,5.328966874092488e-12
59,1.6284484863281252e-09,1.8384935715619114e-10
60,1.7321777343750002e-09,4.0564205457104053e-10
61,9.909057617187502e-10,4.0502461987738895e-10
62,1.0963439941406252e-09,2.885121296475413e-10
63,2.72918701171875e-09,1.5986900622277533e-11
64,2.135009765625e-09,3.1203234967003254e-11
65,9.124145507812499e-10,1.3261374860976318e-10
66,1.13641357421875e-09,3.6220826359362045e-10
67,4.5318603515625e-09,6.420970727781924e-10
68,1.7865600585937499e-09,6.554629255133773e-10
69,3.0313110351562504e-09,8.580889615925851e-11
70,3.649658203125e-09,9.58740234375e-10
71,1.7200927734375001e-09,4.680485245050468e-11
72,2.2165832519531252e-09,3.124464927999008e-10
73,2.3364257812500004e-09,3.8368561493465997e-10
74,1.9617919921875003e-09,6.977255450411635e-12
75,1.2779846191406252e-09,7.468705751774794e-12
76,1.8036804199218752e-09,2.2406117255324377e-11
77,1.924530029296875e-09,7.993450311138835e-12
78,2.16119384765625e-09,1.6431152653904583e-10
79,8.98681640625e-10,5.495233985008081e-10
80,1.2088623046875e-09,3.6260585143806453e-10
81,4.929656982421875e-09,3.8090399334051533e-10
82,2.441162109375e-09,1.69189453125e-10
83,2.4975585937500005e-09,2.7909021801646895e-11
84,1.6798095703125e-09,5.093396478800568e-10
85,2.4421691894531252e-09,2.477969596453012e-10
86,2.263916015625e-09,2.81982421875e-10
87,1.461273193359375e-09,4.824481206001761e-10
88,1.7513122558593753e-09,2.452793098125836e-10
89,1.7764892578125001e-09,6.977255450411724e-12
90,1.9255371093750002e-09,5.0313704576940284e-11
91,2.154144287109375e-09,7.355822091268673e-11
92,4.280090332031251e-09,7.833581304915974e-10
93,2.3807373046875e-09,2.238166087118849e-10
