,HEBT:XCB12:CUR,HEBT:YCB12:CUR,HEBT2:XCB2:CUR,HEBT2:YCB2:CUR
0,0.3786042278728803,0.29568583875034293,0.2797019758368744,0.5141060016413409
1,0.20639340057092104,0.2917012049767284,0.22700382095413923,0.4310882867200248
2,0.22474310995640373,0.2836856354765073,0.31555529160214046,0.3972084075797896
3,0.23076690862836516,0.3157100346568964,0.32551538261635155,0.3941883665791598
4,0.2237442105850197,0.25799844749348844,0.35794307993210706,0.38830295266394643
5,0.23728069525739695,0.31342266961927445,0.3133357403998728,0.39237605968907363
6,0.21906989516423273,0.31757558605945146,0.32094381644292386,0.397986730291618
7,0.1862462806049313,0.16340691926022588,0.22143430494004387,0.4150475090306136
8,0.18206582077415706,0.15202087493322247,0.21447207833823814,0.4124196367009804
9,0.34855091997327,0.0955541414653601,0.16105984977398444,0.30038264369268336
10,0.3362320424340737,0.10453191640402365,0.19390151975368375,0.32574155108294517
11,0.07937880500957378,0.17298171626190664,0.16812031205621614,0.4898991061064638
12,0.09672690105558186,0.11287861937923688,0.20104045976781218,0.2952972642692437
13,0.09898384774241756,0.11064241854007205,0.19893234586203348,0.3111385419276042
14,0.10196414133624748,0.09368812193238017,0.20547264001965906,0.3186869446781594
15,0.13622579994680975,0.09464146537883669,0.18477190256309273,0.33377971466631146
16,0.16082827977378586,0.10187644203424946,0.1999885417090733,0.338151382040872
17,0.14379470838943847,0.08754579421815614,0.18940569506906466,0.36811616663254954
18,0.14438527073132637,0.08577357046361817,0.18406524670063237,0.36120838504611585
19,0.14568599210318645,0.09850981551048238,0.2183763596145577,0.34885055620447214
20,0.14499756095310726,0.09566491532652861,0.2294604556319802,0.3509594721780557
21,0.1517697069607618,0.10427852498267089,0.24295838260262778,0.35411943432441084
22,0.15129274780672133,0.10454476884590311,0.2470965081051893,0.3513941794442157
23,0.14916102610038415,0.10542537910936915,0.2283778756128678,0.3605614320995421
24,0.14444625258634147,0.10957816160584871,0.2399127227035614,0.34973664100163626
25,0.14393474584907473,0.1084974781023795,0.23832261566095403,0.3480445289190944
26,0.14718327452017427,0.11470039891686824,0.2570910037276467,0.3523780775396413
27,0.14771805066052182,0.11499311056904724,0.2778569668099217,0.351782246280652
28,0.1468071289788656,0.11430604083517953,0.2767024692251283,0.3502094447216447
29,0.14581759076756196,0.1123792234668463,0.2840991378190448,0.34456025391279776
30,0.14250428001283616,0.10971263029724986,0.2933044845853069,0.33498681401780694
31,0.13549317747685402,0.10655617449444936,0.30730193647798604,0.3242826291918637
32,0.13006446968537758,0.10410954772294087,0.3099766729193285,0.31912079822063755
33,0.12415042622111176,0.10211819433246182,0.31236037321511173,0.31787257146734493
34,0.12483401372123427,0.1036875935348251,0.2988571326815038,0.32117162348481026
35,0.14948766873962865,0.11668780936995395,0.327723755863515,0.3507531752723955
36,0.05172935250138391,0.18412776941791045,0.22289772928965387,0.2019480932798065
37,0.140687500750716,0.1045186251076721,0.31820134051923654,0.33952509117688867
38,0.14427888129148658,0.10555095940496126,0.3158551753971812,0.3429437486782443
39,0.13761496159783565,0.10386827019366524,0.3196589449706253,0.34106783959008546
40,0.1373249935081745,0.10378622660999223,0.3250560439802258,0.34182856445535326
41,0.12809450415757184,0.09990268796213427,0.3793957626874128,0.3385014074686183
42,0.12681460477021814,0.09954797380270797,0.3748391734016441,0.3546525183796646
43,0.132185363995135,0.09912571049384691,0.374933169132676,0.3615208658939072
44,0.12981163914592497,0.09831944310290182,0.3926196398479931,0.36466442055246
45,0.12227178018722414,0.09882793523081276,0.39964364056942914,0.362831009661351
46,0.11854577401522712,0.09742173913693417,0.4144497712822807,0.3604091227881646
47,0.11724215219253292,0.0967804013830353,0.4368566439029725,0.35795063573327046
48,0.11512838144969367,0.09712398956076769,0.5102591502549354,0.3482072793619451
49,0.11847755031688186,0.09897032890943135,0.37108258350357454,0.38439025810520105
50,0.11330799502635275,0.09694924524244687,0.3639831709244159,0.3822538771334915
51,0.10875007243276634,0.09504429504461426,0.3561198121513168,0.38200488490022466
52,0.1086644193795795,0.09480926121607845,0.35470243391893286,0.38439822212244235
53,0.11067127197927876,0.09678657845587448,0.3542394221250282,0.3828294819459114
54,0.11579602423760314,0.08881618042939132,0.36231614030710413,0.37902427824192964
55,0.1122677382429412,0.08900366399498498,0.35326152254895704,0.3951846079288516
56,0.10378386004824265,0.0821802501482915,0.23422003850348352,0.4091815528865162
57,0.03501327074581352,0.20760353494494851,0.2293150768366899,0.2806192833773254
58,0.10215095900070179,0.0817811539906996,0.23776713543999506,0.41196098716493634
59,0.10308648593762576,0.08212577910114756,0.23965138017183363,0.4159510292721567
60,0.10334608907826304,0.08278918348754755,0.23934492157760034,0.41814841112518
61,0.1040513989861396,0.08434813465191865,0.23984077602727338,0.42178952200504605
62,0.10918869312302751,0.08727250860700819,0.24259743505455528,0.43567968286827036
63,0.1066228548394828,0.08533639745772713,0.2386046407717016,0.4324325820670517
