,0
0,1.4648437500000002e-10
1,1.806640625e-10
2,3.3984375e-09
3,3.3935546875e-09
4,3.9599609375e-09
5,3.61328125e-10
6,5.37109375e-11
7,1.6943359375000001e-09
8,4.8828125000000004e-11
9,1.6455078125000002e-09
10,1.6015625000000002e-09
11,2.2216796875000002e-09
12,2.9589843750000002e-09
13,3.999023437500001e-09
14,3.9599609375e-09
15,3.8818359375e-09
16,3.9697265625e-09
17,3.96484375e-09
18,4.0185546875e-09
19,4.0039062500000005e-09
20,4.04296875e-09
21,4.0234375e-09
22,3.9501953125e-09
23,3.9257812500000005e-09
24,3.9501953125e-09
25,3.955078125e-09
26,1.3525390625e-09
27,3.8818359375e-09
28,3.9453125e-09
29,4.0136718750000004e-09
30,4.0380859375e-09
31,3.9599609375e-09
32,3.8623046875e-09
33,3.9208984375000005e-09
34,3.8378906250000005e-09
35,3.76953125e-09
36,3.3447265625000002e-09
37,3.911132812500001e-09
38,3.857421875e-09
39,3.818359375e-09
40,3.8134765625e-09
41,3.955078125e-09
42,3.88671875e-09
43,3.9794921875e-09
44,3.8720703125e-09
45,3.8281250000000006e-09
46,3.3544921875e-09
47,3.8671875e-09
48,3.5498046875000003e-09
49,3.735351562500001e-09
50,3.8818359375e-09
51,3.88671875e-09
52,3.7939453125e-09
53,3.8671875e-09
