,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:XCB9:CUR,MEBT:YCB9:CUR,MEBT:YCB11:CUR,MEBT:XCB12:CUR
0,0.374850938730826,0.35359557962976135,0.26276050777118976,0.2376521459587324,0.39638618300441353,0.2637405535879936
1,0.36536486884095687,0.36291671844967394,0.2534317021086554,0.23132871324636822,0.39933830722585645,0.24215462707627464
2,0.3708165330329327,0.37184035748016075,0.24819107514056513,0.2397993909481441,0.44367870621263206,0.23621485480602353
3,0.37243820085261914,0.4217805669089487,0.24245921336198178,0.23878266951376295,0.4479431461065502,0.23096416046009546
4,0.37286641506857904,0.42559194685347584,0.2654507716371403,0.2437255891113091,0.46231131000035286,0.22799380073691436
5,0.37444615917811896,0.43527334782521593,0.2796421219514935,0.240464581169326,0.4646406428924208,0.24861083812638687
6,0.45667560084084624,0.4513797571736824,0.26666024362742213,0.24206741542710225,0.46210413496275266,0.25005191362796486
7,0.46602048756364955,0.4595242016062065,0.2659972118494795,0.24400957030005155,0.5282926835977755,0.24972595204399708
8,0.47015934759859224,0.4938643465585665,0.2634042630764873,0.24629692169964088,0.5595842435875317,0.25006633268101874
9,0.47933179130278825,0.5077664640022312,0.2734676186236408,0.25063100017269513,0.5742750810883934,0.252665085006153
10,0.4896880744434021,0.5304869941566352,0.27543877176807563,0.25229640512652723,0.5861540809076966,0.24921039182304838
11,0.47237727318581485,0.5973886864719933,0.27589417684072803,0.2507472897833335,0.5943921350269351,0.24257532219528735
12,0.5157316435017313,0.6100087392463441,0.2705599671932536,0.2576828437491424,0.585484277121711,0.24262447469399892
13,0.47781257762314533,0.6626431249917188,0.2848623596170375,0.26702705212437733,0.6295744103114914,0.2543154488639731
14,0.5324762526519422,0.41719634053266647,0.31996881906794206,0.2642857406525916,0.5288040610555771,0.2863385443931552
15,0.5815658352208375,0.421149723902073,0.31746281033968804,0.2658087570634792,0.5205312363964667,0.28916983346609476
16,0.6144266329990965,0.42124894940076096,0.3167254440385113,0.2694630175841847,0.5397514166905049,0.29439528014592314
17,0.6011821835632895,0.4367309963588223,0.31515850943187607,0.2747636561025617,0.5747908454209186,0.28955951006502595
18,0.6043865342133462,0.44058949117298546,0.31340791067706747,0.2868630484819112,0.5845302405391399,0.2938669713772459
19,0.6021238792125773,0.4403908433565927,0.3197445570788911,0.2874749751782633,0.597355383604814,0.3018308165665622
20,0.6519383838671473,0.4407563422533803,0.318565363436067,0.28959837589288073,0.5880566815219426,0.3045882548230309
21,0.6498055723132573,0.44659481301886883,0.32401404349467017,0.2944283657919149,0.59147494419907,0.31242010008780047
22,0.6271514814570468,0.45663328634249734,0.3234262525324213,0.2955186884195642,0.6118934371734133,0.3020169978324757
23,0.6109395413069245,0.4616494956035865,0.3314831650870051,0.30007726938690005,0.61789068570372,0.29534253421184287
24,0.5969165284121872,0.46721016552097405,0.33167020867278957,0.2995354944431418,0.6221692584789753,0.2899032919719373
25,0.5961591181628516,0.47863786966986577,0.33504662998494045,0.3047048752185965,0.6376192886663199,0.28523319986154827
26,0.5298377596518026,0.491869777701464,0.33187400787432203,0.29905885672749827,0.750301583921895,0.25579308666966893
27,0.576212727150864,0.47745242163349577,0.3363036881504144,0.30066860347971014,0.7275505085783859,0.27355717155285075
28,0.6114221810813104,0.4726347058236292,0.3367961419461026,0.3060123213842968,0.7133799226655231,0.286593465255397
29,0.60368788340774,0.4840283376038985,0.3419608316690432,0.31281978147820333,0.7338258557296213,0.28371621423508986
30,0.6271789519766183,0.4815639879077618,0.34763319062948583,0.3152003323491761,0.7150968203633539,0.29209697183352934
31,0.6185635035783119,0.484274984350613,0.3511232437517243,0.3163251682200843,0.7571153441237154,0.2865537105395262
32,0.6028054780793209,0.49280563835092295,0.3516517543588642,0.318654255940694,0.8077239799481981,0.2773511979439606
33,0.5771750937738338,0.49408036622883766,0.3579773970711833,0.3149172462120471,0.8337378941218287,0.2729572951648695
34,0.561102482898291,0.4969733533129,0.3583626573556407,0.3140536803015539,0.8720234147724384,0.26498345952329516
35,0.539503651861496,0.5078764274915395,0.3591570492333865,0.3116910744638536,0.9205674183079128,0.2561092969240842
36,0.5498585411497448,0.506489752016234,0.36273059826109755,0.312598489254214,0.9110938643561765,0.26062215777091147
37,0.5478825336055934,0.5073508197637685,0.37303582042887984,0.31392646392366097,0.9097126725577671,0.26381408205256013
38,0.5555272203266526,0.5113721120018344,0.3751232817663403,0.31646294700243294,0.9153257912344062,0.2680036659661127
39,0.5983647012931714,0.5071888941896978,0.3801346849572484,0.32104482697100795,0.870278113509473,0.2875819334149811
