,MEBT:XCB5:CUR,MEBT:YCB5:CUR,MEBT:Q6:CUR,MEBT:Q7:CUR,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:Q8:CUR,MEBT:Q9:CUR
0,0.3053321717176892,0.28472886125262464,0.35777920309907213,0.35084027260484074,0.34721289669884653,0.3178002419618547,0.2895103852517433,0.3392665399566366
1,0.31502739479174846,0.3045652606118506,0.3483051730266753,0.346989114424275,0.3386970930522848,0.320338031060341,0.3078991062460539,0.3359187489417854
2,0.29951583452846686,0.2825042494621914,0.3527534428224752,0.3466264809584066,0.34561491102185987,0.31273494353352715,0.290211460552648,0.33246579704598284
3,0.36336877114765365,0.34390859091188897,0.35295013133676284,0.3121138884858241,0.29749327355208566,0.34766429035990754,0.3289450285432169,0.36916004126641494
4,0.40502486449327024,0.394162957650844,0.4009524520026404,0.2410455042832742,0.2567871866452533,0.41835888336524163,0.3806169996232343,0.43815013735280556
5,0.06374265406627469,0.40584046924422656,0.427722362238574,0.14693603471270544,0.428640858799503,0.464711561293054,0.4232018406123035,0.49476339831851657
6,0.1847481405373566,0.3532121461335315,0.40302503948036983,0.40764859223932803,0.06995188859705151,0.46396863214867445,0.40633124451507424,0.4568279705765699
7,0.31179876250507066,0.3079251965098012,0.3443671841954411,0.32988336292770576,0.31294457818083465,0.35988436431924226,0.33931563413157934,0.3753126837897771
8,0.03830815723469577,0.12992084610314802,0.3705734356831071,0.39886958459586924,0.48268561693785744,0.40430818643271593,0.4110864803807013,0.46340968427630985
9,0.03793534397358931,0.1275603863253448,0.3681643284918542,0.39440016784716686,0.480987453188118,0.40219973069873893,0.4093477612593451,0.4619144386128776
10,0.04234744752286513,0.12183737194711121,0.3700345904179114,0.19685580602813052,0.4801631538959168,0.34539810264591175,0.40010719168624004,0.43896311204177274
11,0.04395487635919284,0.1402355005414319,0.3074404844300507,0.34662581912752094,0.4626798547033323,0.36580926162113425,0.38709992962659767,0.41691140726685155
12,0.03907585442583046,0.373887604810272,0.31214973878534913,0.2791200830952282,0.3813291118955525,0.3582408958495747,0.3375701146164921,0.08041740095695492
13,0.03794324350350185,0.3934310045733422,0.354296170068593,0.2273486960654149,0.46790687708153406,0.3705690799449987,0.3765884438398497,0.07941201352472783
14,0.038635035565240165,0.3545999401997335,0.2340629463551846,0.34539945536055283,0.4688863402749503,0.18293299784323097,0.3386876671346446,0.08798687446767268
15,0.03855736085246396,0.34355382724208094,0.24233026152165127,0.3503414186384123,0.4794733574048651,0.1685260588811938,0.337549988810586,0.087250569651416
16,0.03896338047031095,0.327399336063303,0.23391316607933302,0.3517344972151517,0.4915615820987581,0.19123180121086075,0.23377113781227482,0.08926838908138614
17,0.3206821341297192,0.06491136549225764,0.4404025338080251,0.16150216033321363,0.34087262613847263,0.4373126213045099,0.4463620470558116,0.12740462309572356
18,0.06342681882852635,0.08440878190898468,0.39590138570991196,0.1821227726793123,0.5128522986131747,0.4311349925087884,0.30631023610521824,0.08879016362650921
19,0.06064578135398852,0.08863272718350969,0.3900004198045752,0.17080472769750013,0.5294959458334216,0.4131752256407196,0.2644576128335296,0.08899070726546865
20,0.05906367377244455,0.09207557255653243,0.4018666873927704,0.16259040790705637,0.5482856474258111,0.42396311383683,0.24219919224461764,0.08939642632787428
21,0.0574485879601759,0.09258369871856983,0.420331498981103,0.16045240432900854,0.5579418328655248,0.41466746654202136,0.2600920259902731,0.08805321479612306
22,0.057569101458645335,0.09591199804425381,0.42864860556517176,0.15304987431168038,0.5902436835589864,0.4220078032567104,0.24453141175653062,0.0889280442963633
23,0.05934922419924668,0.09684666060060972,0.4386924449417112,0.1497611520346109,0.6054698538183474,0.42361488436491,0.2393742540305492,0.0906504565569477
24,0.059140489387778335,0.09802722859651639,0.441023747226209,0.14822304882935916,0.6218066329601017,0.44520366498539293,0.2408580031401907,0.09158406984034743
25,0.0466001687448388,0.08981753058280614,0.42725160044028615,0.4007513759702499,0.5819609494775917,0.5360570533935121,0.2898227292643667,0.08129042455026081
26,0.04817038264226693,0.09087895768038884,0.4660264906213654,0.38225639936378775,0.5451118507330367,0.5097735922739333,0.29418878716737296,0.08057163822939595
27,0.06397657440243054,0.08982678946344526,0.4986820645777107,0.09328250959207178,0.6448743010567751,0.5631286686003988,0.31845471514199664,0.10079151672363346
28,0.06313188181194826,0.08906875876639783,0.506024746706984,0.09213062802826345,0.6470309063643964,0.6042371461160205,0.327820826084245,0.0984199028453861
29,0.06199014606338875,0.0973711199844803,0.45578778838572975,0.09657198060362521,0.6603108150120575,0.6312673388430651,0.21812036765273368,0.10137961503861817
30,0.06312166276594983,0.094395206960283,0.36321819395194826,0.09657817942407858,0.6424054774346856,0.6214544981952663,0.29326439148269795,0.10153716268566931
31,0.059491189120740987,0.09750328474535315,0.37802876883900854,0.09634095086537088,0.6276780290825612,0.6398440673974437,0.268128109709635,0.09730576187545233
32,0.06540447183836937,0.11017545022287922,0.4923072456793528,0.09943985396827061,0.6634723654693342,0.6352549744981688,0.17860627000266102,0.11880828325855684
33,0.06494422350266428,0.11043554721798347,0.48459654313395695,0.09911405346423495,0.6741371197640414,0.6398917980576524,0.17867313529936857,0.11727221821394684
34,0.06507973898937874,0.11012059043312254,0.48892629433255597,0.0986757947660136,0.6807681145545786,0.6441849209158096,0.17949974074425085,0.11632951357533067
35,0.0630619185054073,0.10811909399308253,0.5064223899614583,0.09687901892588029,0.6666185836640042,0.6493708149840955,0.18983427651418933,0.10776639455940501
36,0.06673790360888048,0.09678893772812396,0.5255512936121184,0.09521201643260073,0.5927773514306781,0.6318556550033441,0.30967288875597526,0.11075805191991295
37,0.0666066375497937,0.09681477815604352,0.3226427368849439,0.09706062054225711,0.5954987876472698,0.6566798961871337,0.3383998148507843,0.10400228846647769
