,0
0,1.46484375e-11
1,9.66796875e-10
2,2.9296875e-11
3,1.34619140625e-08
4,0.0
5,1.46484375e-11
6,7.03125e-09
7,1.16015625e-08
8,3.6474609375e-09
9,1.9189453125e-09
10,1.171875e-10
11,2.34375e-10
12,1.81640625e-09
13,1.58056640625e-08
14,1.22607421875e-08
15,1.38134765625e-08
16,6.73828125e-09
17,1.06494140625e-08
18,1.5205078125e-08
19,1.3974609375e-08
20,1.66845703125e-08
21,1.41064453125e-08
22,1.13232421875e-08
23,1.81201171875e-08
24,1.87939453125e-08
25,1.751953125e-08
26,1.6875e-08
27,1.8061523437499998e-08
28,1.7578125e-08
29,1.87646484375e-08
30,1.85595703125e-08
31,1.828125e-08
32,1.82958984375e-08
33,1.798828125e-08
34,1.91162109375e-08
35,1.6962890625e-08
36,1.87353515625e-08
37,1.90283203125e-08
38,1.9541015625e-08
39,1.763671875e-08
40,1.90283203125e-08
41,1.94970703125e-08
42,1.921875e-08
43,1.90576171875e-08
44,1.77392578125e-08
45,1.974609375e-08
46,1.92626953125e-08
47,1.9130859375e-08
48,1.81640625e-08
49,1.93798828125e-08
50,1.93505859375e-08
51,1.564453125e-08
52,1.87353515625e-08
53,1.9306640625e-08
