,train_x,train_y
0,"[46.52516867976745, 28.701906260320122, 2.5246328215835216, 18.40112203976745, -0.5805765103183242, 1.2043184608806574]",14.648437499999998
1,"[-13.397077439222935, 20.591444519026105, -9.965736974831493, -24.63413362071673, -0.4321269183093139, 0.28103159615604617]",966.796875
2,"[24.604899566473378, -16.738878189512654, -14.943897250163513, -26.97040071758023, -0.15778070096161786, 0.3303644769086408]",29.296874999999996
3,"[-0.2669275132343105, 17.079388803148888, -13.796954911778744, 10.916816426675569, 0.16392399513958975, -0.6251683771084638]",13461.9140625
4,"[26.630690475277788, 37.9273543318249, -15.002597479495892, 16.47806551653118, 1.0144945823053573, 0.6500116633124177]",0.0
5,"[-26.579365069443327, -0.8429351847383882, -1.3481229779187096, 45.5841442427985, 1.1992270995139644, 0.5782531216910828]",14.648437499999998
6,"[-1.6025612674196767, -22.888395240507098, -17.891059206961735, -24.996776626550293, 0.02278440497209111, -0.44761581885125795]",7031.25
7,"[-27.001520864059437, 2.812189715465186, 24.015092893816714, 3.625763414570653, -0.42818381539683514, -0.3285605596692545]",11601.5625
8,"[-32.05532302120118, -12.626118515202984, -29.495907346482603, 8.521320824670623, -0.7950772750050868, -0.20172911811535685]",3647.4609375
9,"[3.6525991072163877, -18.478730229631942, 10.658600799386722, -30.191913552599352, -1.0087548259802592, 0.2547540780182886]",1918.9453124999998
10,"[19.959213451406264, 10.608665584839414, -14.505153487750125, 0.24165986472549947, 0.6807426013176517, 0.11055366257776657]",117.18749999999999
11,"[-1.6348492995919706, -34.13248990977142, 1.5443281732949241, -30.642184614004545, -0.6488474589969845, 0.4188035587508248]",234.37499999999997
12,"[-11.054179412721197, -13.095921946439795, 6.933556790180644, 2.745386858855536, 1.3926268954084382, -0.09241612002470784]",1816.40625
13,"[-10.495380310618636, 26.792622448029014, 16.423884988949503, 12.53085748459679, -0.34661324807289173, -0.7742412942583017]",15805.664062499998
14,"[-36.01602346996644, 43.672352729439076, 11.223841898996307, -3.3171809987199055, 0.0011171573297873508, -0.8515679673344254]",12260.7421875
15,"[11.182999921790914, 11.874458406441802, 23.82274831591754, 25.753404202536483, -0.6009729321395593, -0.7723580394937628]",13813.4765625
16,"[-0.9983420990086112, 36.043424958984716, 15.615478003252084, 1.9034202101353441, -0.7221467786563082, -0.6642834541405995]",6738.28125
17,"[-7.167318577245938, 8.289580616029093, 20.408039992452633, 27.92744741109639, -0.1517519211577264, -0.9148218880436567]",10649.4140625
18,"[1.4407641358431182, 14.183599016498896, 14.964706575853272, 10.173182223058408, -0.18887678270782082, -0.6797967939780908]",15205.078124999998
19,"[-17.685033865887597, 36.31875417321209, 10.761855004209224, 15.015802445655254, -0.214681886783576, -0.5991189924383302]",13974.609375
20,"[-14.420874150652285, 5.465996434682801, -2.986247119415786, 8.384483153731134, -0.22336265781616696, -0.8919434634799619]",16684.5703125
21,"[5.366626342037444, 15.886097401534858, -14.84730710161839, 8.13044308686094, -0.15743004749176784, -1.0871468329683824]",14106.4453125
22,"[-28.8476843343304, -6.8745419791957145, 13.08901370097367, 8.41902132911354, -0.231868967146357, -0.8636854318249907]",11323.2421875
23,"[-19.45707011256756, 16.916164882418638, -4.611504905212188, 8.583836739753185, -0.24940485485801456, -0.77408352865089]",18120.1171875
24,"[-28.686488915791653, 16.273601794776308, -11.215103397050735, 2.4774001972780506, -0.2038526893660641, -0.7788488651905182]",18793.9453125
25,"[-24.962180803712776, 15.161234020466106, -13.412818542782157, -6.831977202001711, -0.23868249510188924, -0.7886882546654683]",17519.53125
