step	sqrt(chi)	param0001	param0002	param0003	param0004	param0005	param0006	param0007	param0008	param0009	param0010	param0011	param0012	param0013	param0014	param0015	param0016	param0017	param0018	param0019	param0020	param0021	param0022	param0023	param0024	param0025	param0026	param0027	param0028	param0029	param0030	param0031	param0032	param0033	param0034	param0035	param0036	param0037	param0038	param0039	param0040	param0041	param0042
00011	   3641.65    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	   0.00000    	  0.126955E-01	  0.436567E-01	   13.8000    	  0.207172E-01	  0.190414E-01	   7.50000    	   0.00000    	   0.00000    	  0.363182E-02	  0.272247E-01	   0.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00012	   325.677    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	   0.00000    	  0.126955E-01	  0.436567E-01	   7.80000    	  0.207172E-01	  0.190414E-01	   13.5000    	   0.00000    	   0.00000    	  0.363182E-02	  0.272247E-01	   0.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00013	   464.121    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	   0.00000    	  0.126955E-01	  0.436567E-01	   7.80000    	  0.207172E-01	  0.190414E-01	   7.50000    	   0.00000    	  0.200000    	  0.363182E-02	  0.272247E-01	   0.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00014	   332.727    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	   0.00000    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	   0.00000    	  0.126955E-01	  0.436567E-01	   7.80000    	  0.207172E-01	  0.190414E-01	   7.50000    	   0.00000    	   0.00000    	  0.363182E-02	  0.272247E-01	   6.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00015	   2263.35    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	  0.666667E-01	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	  0.666667E-01	  0.126955E-01	  0.436567E-01	   1.80000    	  0.207172E-01	  0.190414E-01	   9.50000    	   0.00000    	  0.666667E-01	  0.363182E-02	  0.272247E-01	   2.00000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00016	   883.796    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	  0.500000E-01	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	  0.500000E-01	  0.126955E-01	  0.436567E-01	   4.80000    	  0.207172E-01	  0.190414E-01	   9.00000    	   0.00000    	  0.500000E-01	  0.363182E-02	  0.272247E-01	   1.50000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00017	   984.568    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	  0.166667E-01	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	  0.166667E-01	  0.126955E-01	  0.436567E-01	   10.8000    	  0.207172E-01	  0.190414E-01	   8.00000    	   0.00000    	  0.166667E-01	  0.363182E-02	  0.272247E-01	  0.500000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00018	   541.009    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	  0.416667E-01	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	  0.416667E-01	  0.126955E-01	  0.436567E-01	   6.30000    	  0.207172E-01	  0.190414E-01	   8.75000    	   0.00000    	  0.416667E-01	  0.363182E-02	  0.272247E-01	   1.25000    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00019	   407.573    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	  0.805556E-01	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	 -0.186111    	  0.126955E-01	  0.436567E-01	   7.30000    	  0.207172E-01	  0.190414E-01	   9.91667    	   0.00000    	  0.805556E-01	  0.363182E-02	  0.272247E-01	   2.41667    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00020	   686.840    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	 -0.159259    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	 -0.481481E-01	  0.126955E-01	  0.436567E-01	   7.13333    	  0.207172E-01	  0.190414E-01	   10.7222    	   0.00000    	  0.107407    	  0.363182E-02	  0.272247E-01	   3.22222    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00021	   412.077    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	  0.110185    	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	 -0.120370E-01	  0.126955E-01	  0.436567E-01	   7.63333    	  0.207172E-01	  0.190414E-01	   8.30556    	   0.00000    	  0.268519E-01	  0.363182E-02	  0.272247E-01	  0.805556    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
00022	   390.904    	 -0.189628E-02	  0.833834E-02	  0.776528E-03	  0.327412E-02	 -0.271157E-01	  0.160748E-01	   0.00000    	  0.192486E-01	  0.481605E-01	  0.360523E-01	  0.540207E-02	   0.00000    	   0.00000    	  0.219136E-01	 -0.129295E-01	 -0.250605E-01	   3.80000    	 -0.241131E-01	  0.117709E-01	   0.00000    	   0.00000    	 -0.107716    	  0.126955E-01	  0.436567E-01	   9.07778    	  0.207172E-01	  0.190414E-01	   9.32407    	   0.00000    	  0.608025E-01	  0.363182E-02	  0.272247E-01	   1.82407    	 -0.202868E-01	  0.326832E-01	   0.00000    	 -0.251146E-01	 -0.130777E-01	   0.00000    	 -0.442988E-01	 -0.493751E-01	   0.00000    
