,MEBT:XCB1:CUR,MEBT:YCB1:CUR,MEBT:XCB3:CUR,MEBT:YCB3:CUR,MEBT:XCB5:CUR,MEBT:YCB5:CUR
0,0.14091248617786403,0.2950875724489891,0.1684900822297166,0.3706638473991842,0.47035704479837287,0.4285204780911945
1,0.13710284433447936,0.2870705666973459,0.16554399749344328,0.36789280607765823,0.4988340963130664,0.4334413882999196
2,0.13325969995934672,0.28662417981406163,0.1602567642407779,0.36239462496070596,0.517306940484665,0.4996999450168966
3,0.13715522060306415,0.3222114270908471,0.16155545124009307,0.34575693827966497,0.5338675125139136,0.5095379289570805
4,0.11214744669365717,0.2208719560773591,0.16962255120521824,0.4220711279976317,0.5575591490812688,0.49655271104046417
5,0.10727136358000888,0.2095431338384297,0.16590324805465548,0.47085801336609195,0.5899381870596764,0.5064378133180305
6,0.11875211906718151,0.24499634478859666,0.164703844638804,0.4959581390466654,0.5928941383853793,0.5268984192932492
7,0.1185589613670311,0.25980991337928844,0.16663941968378676,0.4944188038468218,0.6324337893657687,0.5247861413389261
8,0.11275378709925296,0.2437560089332486,0.15711613549139278,0.5459253872479781,0.7419665377720631,0.562174421904887
9,0.11256490732557649,0.24608278567036473,0.15797489845102192,0.5694696974820211,0.7597972754615453,0.5804188447863393
10,0.1116238979389813,0.2452015519229387,0.1621707177181951,0.5792072631255757,0.7868852076282556,0.6238568240269156
11,0.1084301088492578,0.24040391367200753,0.1591400529118053,0.5928930497810333,0.8131553447990642,0.7318804612231304
12,0.10987519189445957,0.24874854999765783,0.15895723784731797,0.5889776382126025,0.8160565967314373,0.7193184152346341
13,0.10310800144211288,0.24170319016242087,0.16287002598464623,0.6753556836097814,0.8349445613625384,0.7826807024047053
14,0.11890659975204064,0.3233475651669439,0.13750643650212824,0.23732462758008332,0.8729432310697564,0.8031444514270142
15,0.12204296191357147,0.35059102813846,0.1391890571689136,0.23812666686084122,0.8898387768875096,0.8167766826139827
16,0.13381068665691145,0.18972279225993982,0.15540820625203294,0.21387563294377818,0.8144458084251713,0.49280714483203136
17,0.13268663736113853,0.1894774006719945,0.14426354286751172,0.2683379819613997,0.741414778789374,0.5034447920353736
18,0.1298054800558282,0.19152269417464557,0.14043597788835235,0.2606817499323072,0.7946884808563821,0.49527802440718405
19,0.12740695365617796,0.19202200027879504,0.13504526767703515,0.25888892930588486,0.8198524752078351,0.4894141218491982
20,0.1296020167788636,0.19549624865604204,0.13913205567261502,0.26095040965564675,0.8275628801771427,0.4732798923129139
21,0.1305244603092713,0.190527204875728,0.12427094355468588,0.27985515398990796,0.8225048385637761,0.4962972949355997
22,0.1302635180665349,0.1943015906133714,0.12227717554856934,0.2774053602976085,0.8521803008165088,0.4885947427030647
23,0.13231248351392574,0.19291615336137483,0.12199100110873175,0.2849277907446284,0.8544774647720792,0.4955656611589664
24,0.12567618656108473,0.19392285791047606,0.12254175063714301,0.28189948969586054,0.8863280303452941,0.5168690315976088
25,0.1284241423109728,0.19829310083823715,0.12363676305171517,0.28288170491523934,0.9102035212421326,0.5109147134014833
26,0.12543885114154413,0.19541548279785892,0.11898850113712098,0.2836866120894253,0.9338658615575326,0.5244581749524597
27,0.12731072466384713,0.19334833409182609,0.11011117791701387,0.26863336625045553,0.9875309005709955,0.5642807131484995
28,0.12702241459715516,0.19195720500903218,0.10701093876616621,0.26499200614764745,1.0268369081779913,0.5770384614741638
29,0.12682363967553623,0.18782235633477004,0.10682272377172264,0.2601454595576485,1.0451030184188288,0.6058183147906596
30,0.12735082098014697,0.19015020216542752,0.11276005041296125,0.26197598893149937,1.068894203574292,0.5914370885578688
31,0.2764573556519513,0.3755146428692667,0.3399575938663667,0.26296809875425536,0.4421058188565904,0.33682912534292897
32,0.1193409740371657,0.16641285859512525,0.10535937552735918,0.2558602692403905,1.0726130697167218,0.7166770067581716
33,0.11708662486376588,0.16220262648098024,0.10094492161311878,0.24764689983056157,1.1405024730349567,0.7670010317729979
34,0.11615672468777072,0.1495919736339714,0.09743503821779398,0.2745535785682232,1.1274657507844665,0.8005272174765838
35,0.1172086804768676,0.15181578410288352,0.10069987709920619,0.2730613317094473,1.1409291838925217,0.8058965044246826
36,0.11920925609904681,0.15181513971327848,0.09975451841736796,0.2804832275530374,1.1476819890158856,0.7968757752337043
37,0.11858819283068354,0.14722316102650734,0.0973677717027801,0.27629864985847574,1.1537976747042211,0.8999156001818236
38,0.11865105051189495,0.13780947372506278,0.1122568685654936,0.2721515997611015,1.1643459371586302,0.9389493724522416
39,0.1197647199858984,0.13731753207030972,0.11283629842383634,0.26520955352508224,1.1782054647127524,1.0184553055152654
40,0.12013895260301684,0.1431044740153188,0.11314685140642936,0.2561932747500981,1.196453366047467,1.039352595303427
41,0.1257602086241213,0.14223527096174088,0.11421686833489333,0.25433553797014813,1.2495380293397524,1.0494777085718519
42,0.1298719356909612,0.19289343930996636,0.10632287020128316,0.2035736441421931,1.3305243966440092,1.0962454182322243
