,MEBT:YCB7A,MEBT:YCB7B,MEBT:XCB9,MEBT:YCB9,MEBT:YCB11,MEBT:XCB12,DTL:XCB2,DTL:YCB2,DTL:XCB5,DTL:YCB5,DTL:XCB8,DTL:YCB8,DTL:XCB11,DTL:YCB11,HEBT:XCB0,HEBT:YCB0,HEBT:XCB2,HEBT:YCB2
0,0.3519150870739307,0.34184098896513204,0.3260247091545095,0.34651502077014223,0.3334941416458919,0.3460958061612179,0.34883697568268357,0.34097943137423636,0.33976408352226983,0.35146454094180635,0.3522554702890335,0.3493107677901726,0.3522506409910623,0.33780369929227866,0.3418023660177032,0.3185842443349146,0.2889301877348151,0.34865793974224846
1,0.33653085348762346,0.33601564482330715,0.3357935010454941,0.33599491829973294,0.3357200751365551,0.33621083349741027,0.33581380088816687,0.3358188842034442,0.3358199611775282,0.33665459817834176,0.33606082689479233,0.3361878456962118,0.3360968402833972,0.3358148673240236,0.33554499331333854,0.3355799413113441,0.33417338579538114,0.3360760130843858
2,0.3462271308589979,0.34155493681944743,0.32902360831077926,0.3445308130996393,0.33489778799560893,0.34451166631480196,0.3458602641689257,0.3405950225672575,0.33960203602191064,0.34519096565962354,0.34765380179717614,0.3463303370271276,0.3473629453779227,0.33812861158633756,0.34078250883232464,0.3236178210420551,0.29852899256653787,0.34593575790786757
3,0.3362976555488908,0.33729479294943515,0.3349442415795921,0.3376855002978764,0.33589184667015587,0.33793913219840543,0.33746045261332236,0.33692520315130137,0.33674206781604155,0.3351118800860962,0.33752216184796574,0.3380435233254217,0.337169816059742,0.33652552750106046,0.3366298377977442,0.33384497903428223,0.32764213290245414,0.33783446106777126
4,0.3293539386570262,0.33513245723581725,0.33520473203596296,0.33449133860688585,0.3352797354092333,0.3349513151577138,0.33359180416792517,0.3350467502371237,0.3352297667725326,0.32763227831918396,0.33222418690797473,0.3340095418482275,0.331313443125858,0.33523455063208135,0.33469348970400686,0.33463200765603535,0.3301147781135169,0.3341768671322681
5,0.3205381041142966,0.23777193464804813,0.19868556924490996,0.25269557148266136,0.21409190516941884,0.2485476050780423,0.2651904935581044,0.23409724132438695,0.22774303800219411,0.33622055020629793,0.2869448535487143,0.26492608095009074,0.2976052562696811,0.22484200203239352,0.23641655012123883,0.18919757003602633,0.15096150555306548,0.25960398280842184
6,0.4448498015915258,0.30634793413033296,0.24254634383978974,0.3317904416740011,0.2674822949175439,0.325864067918022,0.35412964829069116,0.3003029844188737,0.2895334022585519,0.4699864708613193,0.3893412715617779,0.35206821237560254,0.40655035253450755,0.28508360729769794,0.30480986095142787,0.22739213478645634,0.1696595952124443,0.34287282713020156
7,0.3520491697661114,0.35188818141209505,0.3384089704034155,0.35437178766229716,0.3448925681990133,0.3543097103369579,0.3552422282339604,0.3509936271225364,0.34931914237847145,0.3495513644699188,0.35545012004612236,0.35552261534770624,0.3546096210315394,0.348417556454722,0.3512673072233118,0.33302720664577035,0.3037502151554595,0.355214075646913
8,0.3907019226634882,0.27605056059936417,0.22500395691970007,0.29611917675979443,0.24466357601210964,0.2915976224279278,0.3159145134723826,0.27188698502463354,0.26160058161549565,0.4134732224068626,0.34371474238823085,0.3119550294018504,0.35924362291989537,0.25797511634960546,0.27423444208725867,0.21316536828728908,0.1662807220098129,0.3062843431868034
9,0.32878911171664515,0.33849341398234306,0.33492433943048816,0.3380663969432152,0.33701627767951203,0.33856224231603316,0.3369080892618622,0.33827314794206625,0.3381198286854967,0.3255429255374665,0.3346187794285587,0.33742930038231417,0.3328683448182507,0.3378829597797738,0.33804944702879647,0.33261409457312585,0.3179022429844871,0.3378132610183681
