,MEBT:Q6:CUR,MEBT:Q7:CUR,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:Q8:CUR,MEBT:Q9:CUR,MEBT:XCB9:CUR,MEBT:YCB9:CUR,MEBT:Q10:CUR,MEBT:Q11:CUR,MEBT:YCB11:CUR,MEBT:Q12:CUR,MEBT:XCB12:CUR,MEBT:Q13:CUR
0,0.33722092333365833,0.3665193695187412,0.40371324295386996,0.22833159445048792,0.40513786402054064,0.26867444202704127,0.17493904768826318,0.3665317944189923,0.36348749159227356,0.40839461923236053,0.40706661169604635,0.4192828724481878,0.06818413975451788,0.24719650288971212
1,0.35659618189982545,0.34701226179697336,0.31266910137868714,0.21098377701681095,0.06326763837014432,0.2555372858596748,0.12530570715418346,0.35004802221165415,0.26881298745209026,0.28824040752668634,0.38391940513788014,0.2816504603904525,0.32627808423976096,0.30959208197245025
2,0.31720961871219755,0.33208907051677244,0.3145001451766572,0.30483239956125335,0.10498201708111007,0.3332153984548426,0.19201918227042283,0.10803204259265771,0.3197442549669838,0.11907827153838899,0.32600740025072517,0.2211597283787727,0.32389621817879927,0.36893962181432877
3,0.3339862760596579,0.3617128974995237,0.38567464876872687,0.3009729259356321,0.38974273912143154,0.2584752081399554,0.10929971089701458,0.38391230766908674,0.3437450230747126,0.388680833176888,0.36853433183712825,0.36378523553145425,0.029581032409234775,0.2702954356266309
4,0.3365162915672432,0.36425307812036417,0.39126851741983387,0.30028647461708835,0.3963012679821758,0.26278181188725885,0.10930294703182292,0.3882151144137134,0.34964795315722097,0.3927731830446934,0.376792019633323,0.3665807709294703,0.02970400530433434,0.27330263664943455
5,0.34955650117729886,0.36368422683433177,0.4089702315450114,0.30409611265219394,0.3960228982685222,0.26280769678514443,0.12603080426507365,0.39906905815603505,0.3536972741542479,0.4061137926875581,0.37581779846628005,0.37374443112580347,0.028641195218670475,0.25441569037938633
6,0.35369332435889383,0.363892323422162,0.4132109326051159,0.29923444865361326,0.39835548162244827,0.2709956607889997,0.12952827968020192,0.4012314127135395,0.3534947164901651,0.40713772730504233,0.3761960923605225,0.38000793381319165,0.028806507238778374,0.24792709132218493
7,0.35739679656368395,0.3648487716617272,0.41736573315910197,0.29909648089028074,0.39813162906358057,0.2685637556522115,0.13387345506333212,0.4069400011588763,0.35529375878060704,0.4095896539043177,0.3789532013465014,0.3824337249249018,0.029660976229277405,0.24262722869757047
8,0.32687083601012773,0.3582458784286191,0.17984250466457236,0.2533984016527525,0.35979862210712565,0.19315244649415736,0.20027187951815226,0.3120281638640835,0.3556176673276562,0.32421265852289033,0.35134926619929296,0.03234135722931587,0.3963838993209564,0.3071048302938373
9,0.35434513379379157,0.3390229692212364,0.3851253757076977,0.2903749053833538,0.3183001903665419,0.2320392237542594,0.15891160726026746,0.25492009839902313,0.29580819898950217,0.36811227769477334,0.3631913888968594,0.37095251045577265,0.034208646906099933,0.2261091879877471
10,0.3732568989643424,0.3010262867942307,0.3890900624263828,0.3070564080924087,0.3417036001893098,0.36759074397113606,0.30792330268930557,0.2187784132267191,0.06820113000792347,0.39460697188687655,0.357178364137241,0.33447874030061725,0.039290313526547896,0.26963288781415684
11,0.36471757888048373,0.3259139938303778,0.2935849641651454,0.267658947464759,0.30436490714647885,0.3288776281695855,0.1886885350200745,0.3350549279780016,0.3449154828251036,0.28646725076374396,0.35687588996796665,0.3045685326339357,0.2719121284144439,0.3348158220603934
12,0.34170650786495116,0.32923227212133244,0.30753907084067933,0.3088662024980521,0.3055391162723092,0.3334792754549978,0.27116065065018125,0.3314700561632632,0.33108835513856116,0.3146464191856599,0.3398450716986891,0.31177095010385614,0.3042808543350076,0.3260810974742445
13,0.3349513189291593,0.32884294421284305,0.31104376828460817,0.30875768319965813,0.305429000211756,0.33219749204665894,0.29000058150926483,0.3283874110508048,0.3298351759214785,0.31958825892202875,0.3360080088400823,0.3131186634595661,0.3136183221776615,0.3253303467115442
14,0.3320972217675195,0.3279827632244625,0.30966041308750664,0.30563964320318543,0.302981894106575,0.33201233564775134,0.2958680404089038,0.32569190816350213,0.32879006768530394,0.31980449120269294,0.3344262618671824,0.3097921929107528,0.3184888194089323,0.3247774251054212
15,0.33084950897574145,0.32839463128093455,0.30843114234687785,0.30615059966985914,0.30510313385256743,0.33302143256714684,0.30165326824303185,0.3242461049712579,0.3279934023842783,0.3196169970415439,0.33347505202205463,0.3086312793156009,0.32003721562184473,0.3249392296374493
16,0.33023121552608886,0.32838395141696763,0.3115873806130985,0.30685994816911877,0.2998843007593705,0.3327620779432502,0.3047866669920572,0.324785417636029,0.32806031633348903,0.3227367171607908,0.33285548191749403,0.31227472427845765,0.3200103871119754,0.32294450596314056
17,0.3297264845489578,0.3277466545751196,0.3126598482974993,0.3042300690464449,0.299828185540719,0.3338611178495171,0.3080575035477977,0.32457762741365787,0.32876744893341936,0.3201294981427498,0.3322424048465528,0.3119150223531465,0.3231387242951509,0.32431280205424395
18,0.3311578336450905,0.3278871722998837,0.30969516888356124,0.30385562349135226,0.30098697217425424,0.33530656003498843,0.2996534593860404,0.3241522860909613,0.32828814086511404,0.31869520212564445,0.33196279291521524,0.31047092853477043,0.3201527833210104,0.3240099745277809
19,0.3319712149841827,0.327347846385936,0.30496119023619,0.29963893559764004,0.29585043695829966,0.3355321649558993,0.287590348258093,0.32319785849597815,0.32799090169869627,0.315947685082518,0.33221934969648703,0.3062755515159089,0.3160042360381856,0.3236952642873124
20,0.33279843977143403,0.32612819583693836,0.2974423313103195,0.290068161011941,0.28746003678723975,0.3353755306036378,0.2693100837865715,0.32115522963449816,0.32700704622155424,0.3107722205066404,0.33243478556718054,0.30069275148356694,0.31404621785388465,0.3220218793972699
21,0.3346114625997174,0.3247796270006726,0.2868976749691372,0.2707761821858641,0.27321881284712646,0.33730538544314626,0.23774902370904158,0.317371704572964,0.32550991297424026,0.3041963918218309,0.332641099987255,0.2906968502037488,0.3090589498035863,0.32374675034366973
22,0.3323318128535174,0.3242838743079102,0.307035381099344,0.3025539881378454,0.29988655436853906,0.33632915998460955,0.2925847952928463,0.31735751535432977,0.3270957136740993,0.3178936687886539,0.3315241142292367,0.3082174199952691,0.31863329035246446,0.32554263653667587
23,0.33391904828727187,0.3266955879760567,0.3035212768128446,0.29988086463216446,0.29378542289530163,0.3362483734481,0.2843263224131265,0.3229918515486298,0.3279143723137211,0.3150728223517766,0.33273985065761125,0.30543341464491364,0.3154698937601464,0.3258393347151448
24,0.3350145603995737,0.32757079237325265,0.2984647420533095,0.2935722052411574,0.28545332747056296,0.33639393891902003,0.2728461059622027,0.3248214071741591,0.32777889695636087,0.3109743741861008,0.33339153246746844,0.3005232489019386,0.3114836921576742,0.32538589596621353
25,0.33617015263451144,0.32662669710371445,0.29200738286639016,0.28219944187271795,0.2751902235550271,0.3365969961958539,0.257472744848025,0.32477077560673734,0.3286962559237837,0.30609192475597813,0.33354367262554163,0.2939121605545558,0.3070168164566437,0.3240232140696641
26,0.3369587307717153,0.32644417671948284,0.28372013616903435,0.26262780393395113,0.2621141588365927,0.33734161640922433,0.23166264065257686,0.32011907801808587,0.3270783560617844,0.29900462972953495,0.33332215782829455,0.28448434937164807,0.30769341930766847,0.3248753534237374
27,0.36468290754764715,0.3413904758137759,0.31720872274390066,0.32641707052473035,0.21287954426620942,0.4126760782630235,0.04225030153646866,0.03770531283496991,0.3504773159665804,0.3011854990325125,0.3202684123314618,0.2183391377440608,0.37640681039573504,0.3526542401691579
28,0.36603310730899374,0.33695402948091213,0.3104876663051114,0.3209212892672319,0.25216376753185,0.4208190787633408,0.04349364136677911,0.03640601502364947,0.3550515210409976,0.30567482437969923,0.31651607398650466,0.20085152125255745,0.3735679786664911,0.3541147497539488
29,0.3673697497396907,0.33921544467562653,0.32490914408457794,0.3206480818727728,0.24838862358043867,0.42405897809677756,0.04625830219527236,0.03564341418355817,0.3595813777217665,0.3123315874051231,0.3236797899282545,0.20083992121375688,0.37773452633059273,0.35398015706247243
30,0.36987401654347973,0.33631449512089234,0.32352470952362,0.308508783748697,0.28309139591331606,0.43494328508380803,0.050747408994527045,0.03393775034683525,0.36078699275180637,0.3267910141581537,0.3201709236840366,0.18371513960162297,0.38017919489783997,0.36292778836983197
31,0.3709947516975862,0.3360721568853453,0.3300075191036003,0.30936337977530426,0.27452706668652355,0.4387171217705992,0.050667008647790106,0.03456537827819223,0.36246767091136156,0.32560494186969824,0.3340396923147292,0.1937408709168551,0.3789296620496127,0.36434026255075347
32,0.3706507454374785,0.3320713934558138,0.32726179986824777,0.2934186134751146,0.30319800019166065,0.44398778180076204,0.058484871495765575,0.03267833862094826,0.3697206235668693,0.3426677963482987,0.3376507787674934,0.17437642225455902,0.37773185991641456,0.36850049455728406
33,0.37275410422948463,0.3430157783662012,0.3393180422298089,0.33174884754731915,0.2329526510087577,0.4302373753942904,0.032176779598315434,0.04413708119421467,0.3633391922894131,0.3170969512422139,0.3489076434021106,0.26888475226101916,0.4033755139879244,0.3505363356352001
34,0.37553137155300287,0.3474400908448698,0.35650384487113135,0.33206123295117357,0.22708259914032844,0.43306846489949863,0.03201412095384604,0.0467182585320959,0.3715565301807273,0.31433853229840275,0.3518454668400399,0.2669779553142882,0.41791415104763974,0.3534120601088661
35,0.3591853708072131,0.40669742192934916,0.3864796711632193,0.31555159983864084,0.4112687747189608,0.4005627085202633,0.008984709970486827,0.3652734271092385,0.3749536797176628,0.3576199023178561,0.3796817205646237,0.09489918409086583,0.46273799498516965,0.35381706023631854
36,0.3610493174908543,0.29994608224606756,0.3356323590186858,0.045752408263483126,0.3244223800694739,0.4388887364614222,0.034608790629546415,0.08937152178523809,0.32955250528745655,0.31785829529251336,0.3816574916860192,0.31324696820133285,0.4034721826707389,0.35007331176602513
37,0.3615680433591478,0.4023779273736285,0.384741716295,0.2980724633076363,0.41730729717788373,0.3947865763938243,0.008991465593491167,0.3400872627087006,0.37357535442925466,0.3645339334925519,0.38170978319877413,0.10755413882734505,0.4820722172889371,0.3582583337065172
38,0.3647533045891163,0.3303386617728219,0.34503853918830146,0.33186369213352446,0.11812136516557459,0.37815039561438357,0.025216682521018993,0.057822208644769016,0.3515581303974267,0.2713721218337818,0.33387294183733796,0.3037374438433179,0.34872613982616907,0.335384434823466
39,0.364703063216697,0.33211394134083605,0.34643421114985257,0.3325384691942152,0.11749406953769792,0.3816302486673594,0.025261808869112685,0.05713764785518354,0.351948150077822,0.29116252556881506,0.33426397849753753,0.30379313113665185,0.34633519553904013,0.3352183032822106
40,0.36661587704826415,0.33285362099911475,0.3460114193765962,0.3321271140527443,0.12569995202238665,0.3820776724008279,0.024945582900895866,0.05728242518792265,0.35496684054371963,0.2747063495259448,0.3348030275497302,0.2987767230337282,0.3536967022241544,0.33520330207745125
41,0.39580497534290343,0.031101750163089994,0.3433656285674104,0.05672458605009854,0.26945202561645176,0.4249401686466076,0.19684624165310743,0.34923069232529613,0.3320073847422561,0.35182460489857365,0.43291031202321933,0.27534929677235076,0.3775359775733219,0.38858239854048576
42,0.3712941896482829,0.26435483499141776,0.33352869203709806,0.032055640653815075,0.2541954380539857,0.4527126103703726,0.04271678433078372,0.07605638251366341,0.329250226284719,0.3485255657932664,0.3861469395035999,0.33466755338729426,0.4321428934576769,0.33634958727723674
43,0.37270231573548757,0.24534230375850036,0.33263534948662565,0.033119647222902275,0.2571527013816694,0.45474544002328254,0.04249028251615314,0.07599967895589713,0.3323841417811771,0.34997841489178294,0.38902552963755566,0.3342123333991631,0.43231304205744603,0.3327330473066349
44,0.37519399878296716,0.3351217941119409,0.33776592186695753,0.01710172781377921,0.23933082005181028,0.4437804544199247,0.191637637673293,0.09297617949757181,0.3356492795290899,0.4062324668312295,0.40801758479099814,0.33892498371122937,0.3910947666891392,0.3749345752420817
45,0.374829629682202,0.35083439682331125,0.3666639339106361,0.3253620397933933,0.2545488543239068,0.42525010624206994,0.03579634704036707,0.04836129512413152,0.37603460385039605,0.3379167678984496,0.37923381840528914,0.33997687634530516,0.34833955679971546,0.06509231328397098
46,0.37422956520538025,0.34957365879120245,0.3662316613235114,0.32567501100120655,0.25663814026717297,0.42907950391344185,0.03555045943732436,0.04854612793712615,0.3753442041292683,0.3400945317731373,0.3784789502837084,0.33952914875672396,0.3519358366936419,0.06558305402980437
47,0.37420404285999237,0.35255763344937363,0.36777942641019906,0.32283190187497735,0.25759748705933005,0.42860527078106847,0.035660829759418866,0.0491554571978758,0.37541799593375363,0.34178998041934655,0.3792074168126366,0.33935352401348473,0.35096251670176026,0.06519685878582739
