,0,1
0,0.0,0.0
1,7.9345703125e-13,2.927143263740674e-13
2,8.544921875000001e-13,2.1143198334581023e-13
3,6.103515625e-13,2.1143198334581023e-13
4,1.0986328125000001e-12,2.1143198334581018e-13
5,7.9345703125e-13,2.3638814368941756e-13
6,2.1362304687500002e-13,2.4222576700420447e-13
7,4.8828125e-13,0.0
8,2.44140625e-13,2.44140625e-13
9,0.0,0.0
10,9.765625e-13,0.0
11,4.8828125e-13,0.0
12,4.8828125e-13,0.0
13,4.577636718750001e-13,1.1819407184470878e-13
14,3.3569335937500003e-13,2.2632441672044872e-13
15,0.0,0.0
16,8.239746093750001e-13,2.2632441672044872e-13
17,8.239746093750001e-13,2.2632441672044872e-13
18,8.239746093750001e-13,2.2632441672044872e-13
19,3.0517578125e-13,2.3638814368941756e-13
20,4.8828125e-13,0.0
21,4.2724609375000004e-13,4.844515340084089e-13
22,-6.103515625e-14,4.844515340084089e-13
23,4.8828125e-13,0.0
24,6.103515625e-13,2.1143198334581023e-13
25,0.0,0.0
26,5.493164062500001e-13,1.6148384466946965e-13
27,2.7465820312500004e-13,3.439156393305861e-13
28,1.312255859375e-12,2.2632441672044867e-13
29,1.220703125e-12,4.228639666916204e-13
30,1.171875e-11,0.0
31,3.0517578125e-13,2.3638814368941756e-13
32,3.3569335937500003e-13,2.2632441672044872e-13
33,7.01904296875e-13,3.8481201821650673e-13
34,0.0,0.0
35,-3.0517578125e-14,2.0921797486575454e-13
36,6.408691406250001e-13,2.2632441672044872e-13
37,7.324218750000001e-13,2.44140625e-13
38,-3.96728515625e-13,1.9058221430659174e-13
39,9.765625e-13,0.0
40,9.765625e-13,0.0
41,0.0,0.0
42,4.8828125e-13,0.0
43,2.1362304687500002e-13,2.4222576700420447e-13
44,0.0,0.0
45,5.79833984375e-13,1.9058221430659174e-13
46,4.8828125e-13,0.0
47,1.5258789062500001e-12,4.844515340084089e-13
48,9.765625e-13,0.0
49,1.46484375e-12,0.0
50,1.7089843750000002e-12,4.2286396669162047e-13
51,1.52587890625e-13,2.2632441672044872e-13
52,9.765625e-13,0.0
53,3.0517578125e-13,2.3638814368941756e-13
54,9.155273437500001e-14,1.9058221430659174e-13
55,2.1057128906250003e-12,2.263244167204487e-13
56,1.46484375e-12,0.0
57,9.765625e-13,0.0
58,3.3569335937500003e-13,2.2632441672044872e-13
59,3.4179687500000003e-12,0.0
60,2.044677734375e-12,1.905822143065917e-13
61,1.6479492187500002e-12,3.811644286131835e-13
62,1.46484375e-12,0.0
63,1.708984375e-12,2.4414062500000007e-13
64,8.544921875000001e-13,4.727762873788351e-13
65,1.129150390625e-12,2.2632441672044867e-13
66,1.46484375e-12,0.0
67,1.46484375e-12,0.0
68,2.777099609375e-12,2.263244167204487e-13
69,2.13623046875e-12,2.363881436894175e-13
70,3.1433105468750003e-12,4.2176132083390067e-13
71,2.8076171875e-12,3.2296768933893924e-13
72,9.765625e-13,0.0
73,1.1901855468750002e-12,2.422257670042044e-13
74,3.204345703125e-12,2.422257670042046e-13
75,1.28173828125e-12,2.363881436894175e-13
76,9.765625e-13,0.0
77,2.44140625e-12,0.0
78,1.953125e-12,0.0
79,1.46484375e-12,0.0
80,4.8828125e-13,0.0
81,1.495361328125e-12,1.181940718447088e-13
