,MEBT:XCB1:CUR,MEBT:YCB1:CUR,MEBT:XCB3:CUR,MEBT:YCB3:CUR,MEBT:XCB5:CUR,MEBT:YCB5:CUR,MEBT:Q6:CUR,MEBT:Q7:CUR,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:Q8:CUR,MEBT:Q9:CUR
0,0.32938864767574394,0.33393418265869995,0.3216547472727602,0.3304357327592234,0.3265861605536702,0.3258747915458082,0.3292196651897883,0.31467950643141285,0.33098190964499186,0.30942998773430824,0.33612976865041033,0.3305354847336739
1,0.3308454114197332,0.33417309722379446,0.3255206339441944,0.33157103979444313,0.3282513076692302,0.3281342857724338,0.3306045325219095,0.31991848093941294,0.3319354397249178,0.31583578156133524,0.3359367036347386,0.3317382708416541
2,0.3294132816149137,0.333722881869235,0.323016036178148,0.33074495431808965,0.32703647514445366,0.3265064117276483,0.32942570309723546,0.31689457876801674,0.3309603862884483,0.3111888814556278,0.33580134101406556,0.3306291984423341
3,0.32972501255819064,0.3337296858588739,0.3241121539317118,0.3311090324100965,0.3275246551979043,0.32713778512557473,0.329778192923141,0.3185517029461386,0.3311632441329608,0.3128316593939143,0.33570081119146455,0.3309047081158772
4,0.3248447611144991,0.33258030269813027,0.309676013415806,0.3263348297411465,0.32104554978058475,0.319352085976298,0.32537441959352503,0.3000220278809295,0.3279857240193159,0.2927396238469123,0.335835642506646,0.3268705717142383
5,0.3259677304817982,0.33273529764152054,0.314108891323015,0.32741349622967575,0.32296837156526764,0.32139186470438147,0.32629201892758564,0.30508862433236134,0.32870072614092294,0.29865449466541094,0.33568303102292757,0.32787877165784307
6,0.32254248279851405,0.3340426298395469,0.30158364003545757,0.3233695254673088,0.3234072036214633,0.31434377603365216,0.32270104692984725,0.2834086099685239,0.32664802680803756,0.2852035206006831,0.33676085506035075,0.3255718123334282
7,0.3242168215620336,0.3299878456173771,0.3078028192834378,0.3250505439911638,0.3207871011032043,0.3178565879632405,0.3243078934376339,0.29433609902300323,0.32764328607665055,0.2922393137370512,0.33497971729842013,0.3263524295021512
8,0.326978501175077,0.3322492274438141,0.3023807802086798,0.32310068469169506,0.31842781479454363,0.31697462884404765,0.32475112037455145,0.28981874919372763,0.33048447634589634,0.28854333272417343,0.336129399307303,0.3279103157033878
9,0.3265121398437096,0.3299433372019084,0.3060905779570654,0.3241232005444706,0.31897619204835576,0.317408132576049,0.3247305261196866,0.29106528419301864,0.3295706612926504,0.29206965969079257,0.33535141948800656,0.3275540733032524
10,0.32897706658201986,0.32139779682157027,0.30142675655396944,0.32253081520577515,0.3196531591518507,0.3149187434476929,0.32564054853438074,0.2826227428830147,0.3324948368826212,0.2890696060741494,0.3361733009467702,0.3291690041973666
11,0.3279094296965829,0.32393578197205386,0.30319515591253837,0.32289139503588304,0.3188768819667138,0.31566713639619043,0.325015482764723,0.2851179441310477,0.3312358698116511,0.29019228819543397,0.3355519495917396,0.3283680492968141
12,0.3279182696117161,0.319947271666955,0.2996511905627559,0.32147753890554415,0.3180291728397708,0.3148449239456541,0.3245616532579517,0.2810550523955664,0.33172405726862886,0.2868095832471532,0.3351486400975434,0.32821256824370226
