,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:XCB9:CUR,MEBT:YCB9:CUR,MEBT:YCB11:CUR,MEBT:XCB12:CUR
0,0.390719716021284,0.25375962116391215,0.311245975699044,0.38516924914516876,0.16514023317730075,0.3599110055324523
1,0.37800948891706326,0.24950673086320233,0.2999373826950711,0.3725577750611083,0.15328523813971495,0.3406011485074847
2,0.27110134154750287,0.2907801370968922,0.3037412508706224,0.32689817246116765,0.17806598989426456,0.3305015997036116
3,0.2828591230189488,0.2822116580679945,0.31385763627893576,0.33950882347824046,0.1838742898957661,0.3271595631375591
4,0.32549628997547436,0.323520754717658,0.34952463784720444,0.2161194585687904,0.3872423451657052,0.3430064821798581
5,0.30937016636944664,0.2324959791628799,0.3035701451968604,0.27505474244044015,0.286948678898476,0.32141789768118034
6,0.33284843356088495,0.2079222044169089,0.2997347538433285,0.2804336986233719,0.31411481882828746,0.2693158909454437
7,0.353662170024102,0.198404870746871,0.33052863783708014,0.3080185149756676,0.34001838037741916,0.2587837065660235
8,0.3629482607297185,0.20464261107094867,0.3343468525285454,0.3211317977370784,0.35254793649595645,0.2639385271212656
9,0.38347189175253843,0.1949317818892593,0.3309813272596474,0.37429344603823284,0.4240295113980023,0.26077117690994994
10,0.3785677352735548,0.20068583635115975,0.3410590247357474,0.3748969148379728,0.4121519506707868,0.26598456458357617
11,0.39504354130761643,0.19038992746030375,0.3662155088027297,0.4406223416879833,0.4153006471998046,0.2613599858592726
12,0.3969269123462471,0.18441026216639644,0.3799107631077417,0.4924988168715719,0.4093136630569752,0.25740228831396017
13,0.3688767364261505,0.19435692665324766,0.41350574426569403,0.31610910632211153,0.44352426394924155,0.27079293865102033
14,0.44067481049428925,0.20268660109480868,0.4209930035992486,0.3214396406103,0.4730537477754503,0.26564094528301974
15,0.44555343603554387,0.21779414506914238,0.4194362753131437,0.3239596407986657,0.49139170425736667,0.28597196702716576
16,0.43605097653114305,0.2150520128264897,0.41558171669023364,0.3204388382112012,0.4906958037243355,0.28221690752002265
17,0.4396907765957818,0.21858963748465338,0.41637530338259787,0.32549301542678294,0.5031844320084088,0.29470804895605435
18,0.4374066600114119,0.21627008282081778,0.4351394200263408,0.3241507452986679,0.5059193355511808,0.2922969115658565
19,0.4360388233229555,0.2204839617049159,0.43421652818919765,0.323978646613056,0.532494897371379,0.28999317294170157
20,0.44218452633567445,0.2217140755778566,0.43614018608168925,0.33464007697877823,0.5477588527573819,0.28610657052961475
21,0.445825505593668,0.22592621802514556,0.44364112985354553,0.34181894318782563,0.5717068892965567,0.28544686071253605
