,HEBT2:Q7:CUR,HEBT2:Q8:CUR,DRA:Q1:CUR,DRA:Q2:CUR
0,0.3277003751377196,0.3103041167204365,0.33260054127686867,0.3744986112199812
1,0.3338041389816017,0.30195169460504506,0.36712782792004894,0.37457152654526477
2,0.3597724748276915,0.3090192125490807,0.35766453424248396,0.42346318922066467
3,0.3603898509049773,0.3169035643908098,0.3481382394112466,0.43519203559557856
4,0.37149909874948833,0.3219233985190519,0.36134393687956873,0.4506425124641455
5,0.3626014383672252,0.32539251201059544,0.3915570797235051,0.49764664215200877
6,0.3432546521292537,0.31024688454750715,0.390079748718004,0.47760159352388354
7,0.35115117894086273,0.31963554428258595,0.3771993517135871,0.4704767249299959
8,0.33931625412282584,0.3398744898819364,0.39631767186192285,0.4550244666750182
9,0.3460965568642917,0.3332715109753185,0.4283032839988361,0.4497247878990561
10,0.335363128416955,0.35272652322234704,0.4215028548184764,0.43626949503050727
11,0.3265053571022957,0.3806082180405273,0.4609205402512627,0.4231186687440985
12,0.12237736043479627,0.43205305926286863,0.39441438039908006,0.5812095966386196
13,0.12110111544779138,0.4404152480365954,0.398907644431296,0.6211963532627648
14,0.12396196398986781,0.4206838378106468,0.38545112759380895,0.5520856654750608
15,0.13283130803019544,0.35876039927424036,0.4066762078431057,0.49470548240476464
16,0.12624411908172922,0.4139491289886363,0.406822102258331,0.46551617561714365
17,0.12456938783878369,0.3644693485854718,0.3934266297767529,0.5844050453126594
18,0.14195885464013724,0.2942358096643281,0.3754465487242558,0.6646086439198096
19,0.138610327892498,0.3164263241818467,0.38042271351417906,0.65689300002495
20,0.13696267336786502,0.32169928324468544,0.3866142639606509,0.7127712988531274
21,0.14365174141695453,0.3543264142164502,0.4090716754643621,0.7369223053619826
22,0.14315943022310912,0.35577981650481333,0.4067011144771161,0.7381030184607602
23,0.13997717543567273,0.36119879557102896,0.40306689182508926,0.7711975924815829
24,0.14929959157963518,0.30272786516491496,0.41871748435490747,0.6452082552107018
25,0.14750091514278046,0.3211977717046701,0.41889585298767174,0.6654277539165666
26,0.1485147787910741,0.32809180052512626,0.4196964348297105,0.6763081810103029
27,0.16626956274608742,0.3511136127670142,0.45738106300957493,0.66585863328603
28,0.16948584569521497,0.2960227760717625,0.43393676965988043,0.7136352984696867
29,0.1904448296129368,0.3316368400000617,0.46444641157266137,0.6676406425133318
30,0.19647337699260137,0.3233355216511671,0.4590302488774438,0.6520205381321813
31,0.19741872883120404,0.3166917010832095,0.45165035838151796,0.6336929107638658
32,0.1966598388148321,0.31739494115164285,0.46303175095737403,0.6317265314273532
33,0.1939810390772115,0.3224982053206956,0.462347056450931,0.6391143692451879
34,0.19102696340462386,0.31721712019051734,0.4564751438423255,0.620598936220386
35,0.18930541191310285,0.3198720863188834,0.45743751670593946,0.6356703235634896
36,0.18866901953004583,0.31968288874070994,0.45530087291799776,0.6379069955482035
37,0.18646410729628043,0.31902213385154954,0.4522222156176528,0.6339615008182703
38,0.1844818716495513,0.3181237163686074,0.44962471850296837,0.6256635960736772
39,0.1817278334409895,0.3165797032754574,0.4465010690129007,0.6164481891600825
40,0.18083667510215046,0.31664995394703,0.4445910269210179,0.6159457865812585
41,0.1869900044366548,0.29431808837861545,0.43998598893573565,0.6855753391304794
42,0.18552141964066649,0.28484202890504506,0.4311525427624414,0.7344404545496995
43,0.1830793832738694,0.28217839424076,0.42711589839453507,0.7497622277205894
44,0.19104927414116152,0.2782499211345653,0.4234114134752681,0.7386474367409838
45,0.1914485553496612,0.27744403905951803,0.4203644472547275,0.7574068509910405
46,0.20099755486018994,0.29335977484140296,0.44043895948217,0.7798558129405173
