,HEBT:XCB0:CUR,HEBT:YCB0:CUR,HEBT:XCB2:CUR,HEBT:YCB2:CUR
0,0.2425497713871828,0.5969740375965662,0.219519205386339,0.4525450937376308
1,0.22752520519897257,0.5832548187767251,0.17355737336488608,0.47861369273218096
2,0.1696089974822529,0.5817008872096873,0.2251512420903242,0.5556172715053149
3,0.17349304477006997,0.5741459686159646,0.28070781493415803,0.3945921077827162
4,0.2974246249860769,0.4171522528686573,0.32894134594138835,0.2666456471600278
5,0.2978270173447431,0.41950120297444027,0.34010138524516154,0.276809784318087
6,0.376117919105786,0.38944828843309304,0.3138504174346332,0.16600653824647532
7,0.37559608433671543,0.3835107553013106,0.32983097872576633,0.1586870728274884
8,0.3788271447038203,0.3757400809856851,0.3320503875208979,0.14521948559279377
9,0.37651610757794696,0.3693992895651456,0.33745855183877843,0.13615745100903207
10,0.5650125012456351,0.20082657130454754,0.5527079564656052,0.054383752909658266
11,0.25198286527327474,0.44800739168367654,0.3680153344603558,0.23882615317987188
12,0.2549065406625877,0.45343942614189436,0.37129592606052375,0.22875032172405502
13,0.25242325609478816,0.4594905174422427,0.37402944384127457,0.2284355149939181
14,0.2528822397559039,0.46370783696268475,0.3759517332871387,0.22181000241158022
15,0.24888885988061843,0.470546007530238,0.3765582220419939,0.22135301103997962
16,0.24701441109496838,0.4709743065499562,0.3758696835343363,0.21286018447984312
17,0.24418018229864213,0.4757969850935868,0.37558638596407384,0.21087618965190236
18,0.24347625406741014,0.47536591497177916,0.384552925720123,0.21071042750839564
19,0.2370373864657015,0.47985942943141413,0.38224373094051534,0.20884398483681474
20,0.2399398541401377,0.5021689083538365,0.39194522824454064,0.19633983830704949
21,0.23213552149216576,0.512491442668945,0.3886276227650818,0.1948378728147125
22,0.29507223270749694,0.4938137278933521,0.3808000322859035,0.17920303632248444
23,0.25960508721863385,0.5096543467375025,0.3815175880462791,0.18620173903985354
24,0.243223709758143,0.5287417207507847,0.3751884605893229,0.19297281032773747
25,0.22287329946321183,0.5400878213969041,0.36816289918830025,0.19233228966010285
26,0.22228996894911585,0.5190324943944844,0.42014930037693526,0.18423653791560696
27,0.07015921414226205,0.8421909441213025,0.7827923056797478,0.12026547233444597
28,0.0673000737028888,0.8384605239259202,0.7559030767814773,0.12039712572838224
29,0.5061253301211022,0.531283721895187,0.2880002002568694,0.1904868541247646
30,0.4842984403534528,0.5669759406704825,0.18615288142328712,0.1869457895552438
31,0.5058739982906363,0.5597316380125124,0.186994968445247,0.1830882599742423
32,0.5151919732885606,0.5745702032827311,0.17875431498169858,0.18161762937729975
33,0.5121535074067455,0.5780332947063225,0.18075069634088395,0.18761965691130672
34,0.5154579153972008,0.5887254609531087,0.1750894917382663,0.18698703888946644
35,0.5222801953546936,0.5974779987085859,0.1697253618581169,0.18636048418570744
36,0.5104438617312551,0.6401005092887103,0.16279401223471965,0.18643195386204467
37,0.500388142440251,0.6855173401394509,0.15944689531027686,0.18445101024227803
38,0.49302143041555374,0.6962073617496338,0.15546752460256744,0.18434596606005005
39,0.3404999341910266,0.9357267092103233,0.5919726788648726,0.033052221871095376
40,0.4017870775548605,0.737588767814131,0.4727467104017836,0.03465191858190031
41,0.218092511290267,0.46592577015630937,0.24199851474926967,0.06904655595878992
42,0.4186285861493975,0.6936776655346344,0.4681165592170636,0.035100334926447395
43,0.4185251209126745,0.6593185027295937,0.47162809599006283,0.03578629972272161
44,0.4217335487746091,0.5992609601497021,0.5042341659097015,0.0368860267254124
45,0.4223847407343859,0.5382976012563003,0.5494629505571177,0.03821007572938529
46,0.4033805858541486,0.7250953154470753,0.4626971132655371,0.03533057681136593
47,0.43956169112710536,0.5113335357216655,0.5255783505681492,0.03849561685102089
48,0.43754145580127113,0.4787265523178543,0.5354709272328072,0.039057563533417265
49,0.41740732881816056,0.49438275064803006,0.5321302976882798,0.03970930224533436
50,0.4187066452020588,0.49100335202278955,0.5460072310815922,0.03933029578506683
51,0.41619559419499075,0.4994697446742318,0.5452537115787809,0.039569411426066584
52,0.41843333181116704,0.4944937239462291,0.5708496801268631,0.03853537121290062
53,0.41672179809649834,0.48919754304588636,0.5946135779148802,0.038363909533343524
54,0.42027587362858465,0.4992372419225385,0.5898741261163968,0.038142616023505445
55,0.4324617505110351,0.4941499732198016,0.5853664436410908,0.03824488895944224
56,0.42811968872412115,0.5016174379129241,0.5936650320420163,0.03798355381561621
57,0.42329562926127473,0.5065685182432206,0.601582460332365,0.03793370594975789
