,HEBT:XCB8:CUR,HEBT:YCB8:CUR,HEBT:XCB10:CUR,HEBT:YCB10:CUR,HEBT:XCB12:CUR,HEBT:YCB12:CUR
0,0.43593453196945753,0.33761351847919857,0.31505662206158025,0.3275768639852704,0.1927253623861564,0.19658180134718384
1,0.4039712478263801,0.32556151197713346,0.29667865818534,0.28170827267380527,0.17704509261366716,0.18264188428848335
2,0.38215050394818223,0.32519677184201784,0.30255377965455715,0.2748677213160135,0.19123684693587545,0.19099190759955997
3,0.3955357380287444,0.3179899309478772,0.2949593899644971,0.27700021555171517,0.1784997386451854,0.17529738825619218
4,0.38239742411361377,0.327166839292645,0.2985964985193668,0.27336567454817984,0.20286150216349197,0.20022049409995252
5,0.3584916720571602,0.3303578508673914,0.2982625514917006,0.2790880053723751,0.28519415762248906,0.269427343666854
6,0.3605893305204265,0.33203181422804195,0.29603176393764613,0.27524217267623197,0.28403181948215145,0.2696115379995291
7,0.3640252642755381,0.3362080400961636,0.2935174434058954,0.27256198086459854,0.2800806416400262,0.26616658081435485
8,0.37194449690202497,0.33718702574227327,0.2950380017015741,0.26918715397749354,0.2720068838095092,0.2589647471079796
9,0.366226602441574,0.3360855412300368,0.2946290452346332,0.2697518942663738,0.27517839306466285,0.26377327822707
10,0.36185702885039883,0.3303913836430569,0.30025424495704783,0.24708826573953868,0.2935637231025017,0.27972468421447283
11,0.3652748980195729,0.3335575064917058,0.29642372369010506,0.22741096399359143,0.2897634250339503,0.2766211096256856
12,0.3717022478849512,0.34135843184701486,0.29114191288204855,0.18478302041360126,0.28197343195656976,0.26366349404123074
13,0.36908903353615274,0.3383007170008998,0.2919860099769655,0.1984494990325743,0.28655761264433116,0.2702160433573228
14,0.36601171074005856,0.33596633699539563,0.292386455172462,0.2068681274695821,0.29030273083806124,0.27278839229432816
15,0.3558448215599433,0.3265294785884806,0.3037391565672359,0.26311712186317315,0.2818473322477015,0.29257236570096473
16,0.34246779858003407,0.32023045031554925,0.30377180825786093,0.28705214166511117,0.29928304598220723,0.3050392443438291
17,0.34527192406531526,0.3215198220543781,0.3042587140580054,0.28360447454291576,0.2972766579175441,0.3028089802195086
18,0.34761593113076716,0.3233074383745455,0.30280512297437634,0.27720596075721093,0.2938097540140354,0.2990966705889088
19,0.34519868529401804,0.32163209208298316,0.30575898909371135,0.28433872100553176,0.298001806009227,0.30343782661514485
20,0.34683082389624864,0.3231045393514921,0.304203460716961,0.2795473750951854,0.29469838781605917,0.3052093199889851
21,0.3502504028351587,0.3251999020764107,0.29827047678053065,0.2692537830242062,0.2868628353284169,0.3053449405942053
22,0.35477586822018103,0.3272119633977547,0.2877068882229112,0.25434688548677076,0.2744212047850155,0.29906303668698503
23,0.35812893990172207,0.32865421838321773,0.2790497975920875,0.24126972591154988,0.2620831820288067,0.2917739404359461
24,0.3548382482527749,0.3271046405242193,0.28532629094117595,0.24926077077165432,0.2707057695544265,0.2982458184279608
25,0.3443882475540543,0.3271972571135611,0.3058957473375714,0.27937850849468826,0.2918631230952374,0.3168477101828455
26,0.344058466165,0.32490831578584617,0.3075352727858965,0.2816642124162324,0.29333804909024214,0.3171992310942851
27,0.3413892324489053,0.3236911042870532,0.31003327831411126,0.28610928205536756,0.29772617852525246,0.3155354619045869
28,0.33748018002340574,0.3226807894439769,0.30846121836027884,0.28343173272720584,0.3055601424540459,0.3197848238547365
29,0.3378795027979693,0.3235265461872698,0.3061198416982305,0.28539052376162677,0.30647879812544193,0.3198645309480556
30,0.337147781528644,0.32304400491558943,0.3075901447663788,0.28698351300900216,0.3074964030890034,0.3192365557679556
31,0.3396158937386555,0.32260176535643165,0.30197151766998576,0.2753070727560312,0.306616743123629,0.3205761636426363
32,0.3378736497520203,0.3239306307126143,0.309388370108283,0.28883799610340405,0.3080925031173964,0.3200901131318919
33,0.3387210494689139,0.3215126850055017,0.3085014899747256,0.2905605105036529,0.30821572286054244,0.3238636131388287
