,MEBT:XCB9:CUR,MEBT:YCB9:CUR,MEBT:Q10:CUR,MEBT:Q11:CUR,MEBT:YCB11:CUR,MEBT:Q12:CUR,MEBT:XCB12:CUR,MEBT:Q13:CUR,HEBT:XCB0:CUR,HEBT:YCB0:CUR,HEBT:XCB2:CUR,HEBT:YCB2:CUR
0,0.3566495319731382,0.33144984468842276,0.3430864305532074,0.23594207685541702,0.3855170251831155,0.3303349434028905,0.3662914383477981,0.30340638435212564,0.24551460190750923,0.3168453087064438,0.3177679995321203,0.3514787416528536
1,0.3529557143168424,0.3303269447089718,0.3429987490713251,0.2560226684423471,0.3756023155664042,0.33466334573858014,0.35998444791541945,0.31424504772313216,0.25806787407296056,0.32062398643515383,0.32463021078612886,0.3510573527506443
2,0.35345753524642903,0.33041370946123233,0.3431457045264146,0.2529948239905,0.3774072270602341,0.33465999639653526,0.3609529380889489,0.31278360387039417,0.25553351703453214,0.32014370142708903,0.32381611493956436,0.3513677884087746
3,0.3540136563907784,0.33050934313602987,0.3432152224224537,0.24897553079499746,0.37950294367442544,0.3343884362109526,0.36214498219102553,0.3107963206139281,0.25248257048485895,0.31954106705633334,0.3226018653560238,0.35160412883964415
4,0.351948039690142,0.32997380127956943,0.34301195986610855,0.26056893347186155,0.37372311423134214,0.33649838792671044,0.358643681191195,0.3167133807667539,0.2599734595686546,0.3218014420656125,0.32598725259252403,0.35108246702080115
5,0.34861084489908967,0.3292990766137752,0.3420642676326559,0.27768337653799385,0.3648595486716723,0.33848949273774787,0.3532579170204718,0.3241257342156228,0.27232085999946143,0.3249401244115839,0.3296104023720561,0.34935974571050565
6,0.3468808752192494,0.3290446676076216,0.3414358190886757,0.28565895146145737,0.36046971758290625,0.3392225990342952,0.35056378331083904,0.32742891759592224,0.27864201794124477,0.3264576934784197,0.33093041876792034,0.348228342643469
7,0.3457214890713252,0.32877366249636847,0.3408907438284563,0.29160762537875184,0.35700191663176506,0.33962915689792206,0.34876461558350785,0.3295383649750876,0.2836427339862435,0.32747434476766046,0.33157489230300424,0.3473006548493582
8,0.34586896247621524,0.3286102768813901,0.34106837298575743,0.29035602501910096,0.3592022728326392,0.3398883409374671,0.34958811352948604,0.3292427051334032,0.28250122808194134,0.3273462233562866,0.33145853396140096,0.3476854843327495
9,0.34660943329696264,0.3286889097504405,0.341386263302276,0.2862260868320197,0.3615163729099829,0.3398051201762451,0.35083631904760276,0.3278501004175046,0.27880199863300875,0.326591315512434,0.3308919633051459,0.3483581205335916
10,0.34711664913990437,0.32868920613193914,0.3415955682904012,0.2832963742571782,0.363079673212931,0.3397643064589736,0.3517127356398048,0.326830481722522,0.2761589242025203,0.326060767306024,0.3304342450465263,0.3488274348415085
11,0.3467345289780894,0.32854060642212735,0.34145558105891793,0.28544646414461106,0.3620573049926857,0.3401349512451441,0.35118720809795895,0.3277281923098315,0.2776187342885546,0.3264571422092941,0.3306867415548074,0.34859469541728877
12,0.34485534003834045,0.3297570068852811,0.34048171475528666,0.29138935671630817,0.35189468349365566,0.33827084978469885,0.3460450734417533,0.3293097570751216,0.2838718402910689,0.3272736156588103,0.33101328339991415,0.3461825115571344
13,0.3442815121129742,0.32965731234146156,0.3402993440978756,0.2934839329157716,0.35140026436566935,0.338679639207707,0.34539999680018985,0.33041611864109327,0.2858198945538132,0.3278329652873285,0.33131094771643055,0.34584350107058653
