,HEBT2:XCB2:CUR,HEBT2:YCB2:CUR,HEBT2:XCB4:CUR,HEBT2:YCB4:CUR,HEBT2:Q5:CUR,HEBT2:Q6:CUR,HEBT2:XCB6:CUR,HEBT2:YCB6:CUR,HEBT2:Q7:CUR,HEBT2:Q8:CUR,DRA:Q1:CUR,DRA:Q2:CUR
0,0.39212656533761797,0.3956246962008012,0.4036073053201401,0.3813867697539396,0.15958274272197667,0.3003370218999809,0.425400299751119,0.37776745188894667,0.453161232851612,0.34029711424571396,0.4517835397589236,0.2768251082358899
1,0.3172773321088758,0.3349234016205694,0.34086667097659307,0.3336981326342866,0.2785797867299714,0.35006703245972975,0.33341158464987614,0.3313567891216599,0.3157893014807992,0.3356631110457078,0.2929934762529566,0.2905603187829335
2,0.2656334983380601,0.3315990587561093,0.33909545995874624,0.32155081725208884,0.3024281684419464,0.34636883007955366,0.3305283368111134,0.3315873137408213,0.3208593689983741,0.3348682705078258,0.30771354308439847,0.3035068921434551
3,0.2692975072069098,0.33133398691767263,0.3368465290181061,0.2827073249714749,0.308324246301812,0.3441639136013029,0.3301442579602253,0.3315942702317658,0.322154094436972,0.3347308718204962,0.3074095148059971,0.31003327899177713
4,0.2726611693499029,0.3274122150829644,0.33345863683123234,0.28439195467152195,0.3093821566206767,0.3435385977360669,0.3220445472818622,0.33154367350050795,0.322404587044341,0.3346867948121536,0.3091383050672728,0.3111853115892208
5,0.26738283006261404,0.33515309673057414,0.33831257988838587,0.28495805132046714,0.30834566605940705,0.34403238415479936,0.32154472437831727,0.3323231727469659,0.3219998819536509,0.3347164888284208,0.3079510820752956,0.31007018629485184
6,0.27530532049624046,0.335593799097315,0.32585388606843496,0.28998483293335636,0.3110582847392178,0.34305910739479695,0.3124808829813562,0.32519140245515143,0.3228101199492222,0.3348455445860856,0.3025376916604039,0.3124739579291893
7,0.27740923095673353,0.3352192077918065,0.3257534378520879,0.29074262646520854,0.31192833285131705,0.3429059616350637,0.31242093857768877,0.3148231102453358,0.32314828113162786,0.33482513689881405,0.303446757660907,0.3124233885697236
8,0.27989314896466133,0.3224196571570193,0.31360310490325755,0.2850204983113342,0.31251472552306214,0.3414792697190579,0.31017114617176966,0.31335918882197844,0.32415724855634687,0.3348935245462109,0.3096799737851896,0.3130696321177263
9,0.2796985901661775,0.3220782555245733,0.3137977825010636,0.28528429242704184,0.3125909170851653,0.34148098867318477,0.30860811960950474,0.31307721943227174,0.3242300749333423,0.3348581866885167,0.31010400094832,0.3131681124615747
10,0.2825205656288905,0.3177253094874166,0.3115088856356043,0.28544694720801717,0.3132831232421345,0.3410894145613129,0.3102371557386218,0.31251436810918626,0.32438936452878614,0.3329618527640114,0.3097228699769857,0.3113462572244239
11,0.2824993566653686,0.31806288452460313,0.3118594664266028,0.2860895195577333,0.3100449937644726,0.34122189002789727,0.3104645543337672,0.3124048260872288,0.32462983054709826,0.33310949085578345,0.30945473530619483,0.31059980558859485
12,0.28572387049199777,0.31986084199949993,0.30713648271284555,0.2894992011392648,0.31114836825546216,0.3405598762970229,0.3114463039669202,0.3143567062395911,0.3249846707069312,0.3136247822211645,0.30731902504790437,0.31148098844425304
13,0.29070196450582375,0.3199345526608992,0.3085567628340258,0.2909891081284749,0.31194449374065025,0.3128838388642804,0.3124131670704174,0.3161333637202729,0.32563417618184526,0.3147021482780073,0.30749095215578126,0.3115759449269797
14,0.28814473771145604,0.3180324160683536,0.3088346513574377,0.2914413758234307,0.3122652783954245,0.3131197680774626,0.3123474012549498,0.31601111820160926,0.3257257913420257,0.3148681923817905,0.30793228508562137,0.3111586372356922
15,0.28751233781238117,0.3191737493882538,0.30948725856400705,0.29060306322547796,0.31154449644314436,0.3129180447015961,0.3129855245506957,0.3162081280789274,0.32817908959981906,0.3145107509878701,0.30727271997788225,0.31087944910759574
16,0.2874498740021788,0.3161431844194638,0.3101518745806884,0.28911670761535607,0.31159935274496525,0.3129724446304979,0.31339807007858983,0.315295764923584,0.32827908615666906,0.3147598143258915,0.3079663514472697,0.3101032079313783
17,0.28433102546469313,0.3142835715565794,0.3108599939885116,0.2884777930122944,0.3123335111934528,0.3135750274016915,0.3112724521228921,0.3147466255267313,0.32859329944029275,0.3153065868855397,0.30895922439984963,0.3102248161408668
18,0.27994746585338426,0.31408520544378143,0.3126419674910444,0.29048342907389324,0.31379256842890435,0.3152541896709814,0.31018625130461513,0.3136841987142312,0.31711983349135175,0.3154922919435059,0.3104375156655781,0.3096290226785596
19,0.28286811205142215,0.31540618455603403,0.31406603594414795,0.2926240209323805,0.3070844622565553,0.3160054785514936,0.3022649618612306,0.308392149178082,0.3178516215436845,0.3164054168442003,0.31250240629384035,0.30854351166394756
20,0.2822699619613967,0.31495516273326624,0.31381398533663446,0.29214623825477004,0.30727253106930863,0.31605656642357605,0.302582025208424,0.3070942238954608,0.3179276011769632,0.3166723319307892,0.31259774740283036,0.30844045247316015
21,0.28183127666660646,0.31446543004839445,0.32030602852263773,0.2942174871816871,0.3064506432511156,0.31549216048610024,0.3022033512282123,0.30756765394561364,0.3174882000901013,0.31615261624249297,0.3114717003926936,0.30743476269950276
22,0.27950048098115593,0.31348274180455016,0.3219899068169928,0.29353372076640466,0.30619811567198735,0.315325173961876,0.3059820137011538,0.3070855942032776,0.3172548307839767,0.3154581795413086,0.3168836930802545,0.30671863586462
23,0.2790858962543346,0.3122180994501549,0.3219683736079024,0.2934166631196372,0.30634763236368867,0.31525409598497234,0.30591357685434395,0.3071242260987935,0.3173056550031223,0.315665494917863,0.3169877704320928,0.30680622664069224
24,0.27678803376889677,0.3155748354611209,0.3219141137016736,0.29359883498825295,0.3090597241188202,0.3147740459323074,0.30430208287225596,0.3080791161666603,0.3166806840808196,0.3151608344803581,0.31765534129909595,0.30875466517900824
